Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3426597008928.4253,199053100239.54355,8052921463.112981,111914273407.27194,254577704801.68658,19216123415.88926,25226337284.257927,6883187931.216398,35321928852.38187,87040734312.56146,23165708469.852287,15397694236.585192,5207889776.129539,5132898752.13027,11910345330.608486,10910626791.698673
Etats-Unis,14270208922.854717,4386435195322.0967,4932113601.536219,107789073790.74356,59686193617.10999,8042209672.852586,18518590238.117077,3214042399.6422157,52597687396.88242,57793602424.19136,52332809352.979385,2204095863.1222076,12161718918.386574,47212775957.9583,8012382292.07591,60728317072.63545
Inde,3849989728.219566,26091925329.39787,1344767404770.5176,35655482143.8181,34939232730.729225,9704406796.76929,25297161164.937542,2472395176.7525163,13485688078.57481,6927191207.175163,4036728285.261748,1396184403.0289059,1178561682.2897847,1323615662.9381166,2708729112.394297,2634773862.4360695
Union européenne,16855602944.775917,127697875504.46545,7118859958.276544,3222369806983.1333,56179496701.42949,28323841025.51375,42638070929.69648,18767921068.2216,122275462633.57187,28434486949.642494,27352604036.92011,4782146224.975124,9672974943.588802,8864648822.444853,10104956983.837046,11474237367.594154
Asie Pacifique,58153983428.6411,209079300008.2731,20688689352.96505,187558942984.81512,1377231607182.2712,32226000784.05361,37327606704.05217,23424783821.965744,75079841386.81258,98694494883.78003,31125786551.69436,36065847459.45236,8898893205.00873,8967619448.486712,31392362017.33125,15084600975.344803
Afrique,8419458651.048786,111330784972.33116,22104138384.376827,202906504178.97055,28352254235.614502,1142180283119.8777,11075700112.39032,2545889323.1783466,42014419237.48244,17408947179.882355,10738271409.310379,2610104150.3981466,12373407250.678776,4063607330.0690966,3900940937.5226116,7713415077.301744
Moyen-Orient,13754895077.498886,85651162154.66727,17233433398.10743,126323954296.17258,61498786241.53426,13193311614.043354,769351304442.9319,2635441310.180344,39915732983.77632,80787472645.80475,7168984797.607299,6067835644.950197,6592041998.5613575,3874752773.7692966,6518840062.221934,6532710494.733192
Russie,26018673999.482685,65059218721.261154,7388294746.45145,400254243863.38293,98340683379.847,9199662860.369257,24170002652.788063,825177182884.6876,136897649860.6326,24216730113.07873,27181562575.652966,3100488094.1910067,4070760307.054367,3678541374.5001845,3581421804.7033105,5197105445.7832
Europe,5731452277.968773,54360762983.12674,3287976782.60736,148324993889.71942,24666438070.869698,8968352730.018356,18059176079.217503,56632986469.575035,1099366785109.9717,7971674125.551673,8557926151.873556,1728508169.5106773,2251488868.1639423,2729488862.753332,3315801366.213146,3921006214.4981565
Japon,9053549613.90025,73124830849.59505,1712890369.4347556,23428096600.6366,45685656242.937195,2024920669.1304092,6864675106.63253,547225491.8451064,7883593725.820542,898970009326.2542,6733534413.759233,1461945854.030712,1344417483.094645,2153970663.252381,3123153441.657233,3154992383.8912773
Amerique Latine et Caraïbes,5028287856.620516,121762979768.308,2042578476.6458113,61152779653.51942,12392766938.387358,4326343454.619875,11183599056.266987,1790888969.7464528,15589787267.552029,9909944095.822193,656134169896.9034,929789197.0755422,31436381633.4624,5113364757.407661,1675667476.594826,5588847700.163706
Indonésie,10364772372.242716,27932292208.930435,3670372074.3860283,23352317603.83924,51648954149.790504,3201771375.335912,5935273777.309713,825970447.929925,7190381818.818435,21356342936.462585,3673170739.8218856,275256805013.5096,1082145954.3477802,1084718704.7074656,9115899162.751602,1800571036.3622732
Brésil,942470222.6692537,10547684757.386309,296321521.5853231,9572998694.53729,3967715582.1228905,900082484.9678774,2628436020.676143,333116607.1194587,2103874671.711467,1335438137.2264824,14939833048.263895,184967101.26096213,628680237701.6459,828584485.5036362,296984461.9466689,672481249.7739527
Mexique,509977581.23050135,53098622382.781845,268483250.1630872,4372097691.4024315,1788249227.532414,329825436.2231621,649396129.4351428,119511876.740017,1227292055.4102464,1061948710.6649214,7552542401.072578,135939554.0484817,889861101.4783103,360275137462.29913,322925928.2723591,1499733305.2218926
Australie,10161860432.396658,24311700699.74948,7484054399.788632,21232983586.759308,45203338052.51718,3136530360.51263,6776065212.069591,1026423918.5879148,8388567716.781439,24424362463.24263,3141605999.634183,2205946914.1570697,1294752727.4387686,1310522828.68045,354401526712.46216,2448898947.0925713
Canada,4376281324.6009,168417542435.37485,1154257789.3811884,20965851252.505478,9637999559.373905,2818719479.0550046,2905828622.250961,746307508.0021408,6907035354.928497,7637734656.260757,6583820042.968385,761586016.310726,1839481775.4844487,3654572261.165565,1469513751.1552658,322155843473.3412
