Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,9991301720107.35,427124062850.4827,95643077162.9959,249957227890.48788,613522629372.3665,101439319595.97867,162123145906.17303,38409602899.70856,82402768895.2624,122486134897.76285,104664277934.8763,42252105688.36406,38651496473.092316,26529392614.121586,41973341090.29693,43428777297.32169
Etats-Unis,81273750719.64592,4287282084863.012,20783865301.020447,82993007965.91557,81273110785.62347,15495776621.988144,31087019139.16736,4920312807.357069,30503630995.787598,41729788127.641594,74062467587.44838,4597129014.0632,19014007031.133305,64586274874.96399,7451565873.1066475,67328908707.7892
Inde,45215170778.90191,72087357777.28285,2867283332460.962,65137471788.74465,96572227500.20274,38688162592.48265,96990332572.1081,5415371293.146244,25887674125.236168,10347737513.326735,12672970937.01626,11720361089.26679,5022134430.933388,3948062928.826261,6223470552.875921,5353979008.776309
Union européenne,92854386291.64752,123635554071.11134,20534387295.462482,2798196568706.742,74888694793.68933,56711701930.08632,69395983804.10672,28285787275.6225,185853999766.28674,21241650346.563217,25948418472.514973,4291617173.7996664,15882690348.05035,8799780756.247786,11219637852.927729,15477030322.20312
Asie Pacifique,532711933020.87213,264170539717.76196,99155866946.71523,282594121439.2514,2216775763220.1587,82748803651.67778,99413986315.21217,42475146706.398384,94293080926.90457,132684942492.11884,47976257513.10984,77592928423.54796,15980451503.325954,11967118680.512358,72620471235.93265,22745213729.678623
Afrique,79377095050.90208,61979262048.428085,53795427181.46607,154359383901.44888,56547482471.35591,1872300758852.4878,71601132637.84964,6880985931.485678,34151817294.81875,10165150630.730639,10222364255.90068,5374626289.75467,10133984264.116478,3230021804.4610634,5528900926.999595,5171157109.803739
Moyen-Orient,239004351214.54028,169315494070.2088,118184400166.32257,182541803956.291,214074437141.92676,89398825974.57077,1437954697609.9294,16838329356.084194,69081471846.0338,86663658731.67918,20828661532.8816,17239055664.101032,12290367935.703117,7563432334.179234,17060088458.90723,12112839967.776314
Russie,144439516540.19684,49844381415.50824,19271716478.103863,307642932264.0803,130321207213.98839,27741790206.343388,39006644408.62191,1073657163036.7211,150935812615.72894,24947666768.801247,15726493601.922754,4594281399.0356455,6115672833.39202,3316627860.191821,4236819622.6163692,4746297160.8764925
Europe,31859222596.867165,48183772925.655846,9483399339.963213,175617713036.14954,37290334366.09099,30604513357.249462,59078515982.44481,45244590822.21451,1020925407305.1101,7202040438.137033,10084446200.567623,3107151160.777327,3569456136.1511474,2012861047.535952,5742869463.251266,5405115995.625334
Japon,90308656354.1249,52661882475.67283,11021413502.274437,25681703725.459064,82369770610.87924,5386968028.418155,14769127832.143368,3066991746.3317304,8127370731.096851,875732048492.551,7055985469.909124,7532423511.942141,2608668187.62298,3011947663.035285,5958344534.075426,4652263397.432339
Amerique Latine et Caraïbes,104498849572.81071,101384772639.352,17856855268.78148,54705064174.84267,37561477896.843124,13232531497.022022,23645985481.09333,27925308050.65613,25345647531.64067,10252243703.93645,919454095463.6458,2304069253.8738,29319614109.025703,10430776474.243303,2214170380.3572116,7365680135.400997
Indonésie,65804051050.575264,25090905754.815514,37331668576.43539,17302065836.076347,81972744328.39958,6752455458.412044,10999070379.821682,2222516247.281309,5342222725.799275,16855077818.213879,4089597684.7125673,650663566407.3827,1829739284.70768,1257210572.5365238,4464811604.105886,1982311261.2613897
Brésil,77112295982.79758,32166110051.425632,5585014444.701344,26458752537.633175,35172325272.2795,9528468090.443213,44691908696.09452,2046688654.6007018,15060874187.993946,5472296382.214831,42767178715.311584,1868097188.1199796,743258594672.771,2804793550.077973,1250009495.923545,3087410492.550697
Mexique,8225600709.43773,119909232848.74097,3978160662.082389,13033164206.32143,9492777416.367777,2053204866.2222185,2724295703.9540467,470890548.23156244,2886047190.9100084,6256097567.59264,16039371345.002533,376707238.29791445,2645364830.2625318,462625121592.91046,783119911.7182046,6195848548.99584
Australie,80450420542.21986,26559825476.866737,21793963903.207882,17820985590.257175,59512160686.49458,4898158191.87944,13706275833.670246,2446649830.6900206,7847365581.419975,31743468841.81859,3420701840.940491,17374790156.794914,1678623527.4965038,938148955.862712,385699687459.1192,2331296313.120452
Canada,25374530756.204254,223435241611.2656,2927488690.345715,17369646461.35299,12519135683.119648,3608762307.5426626,4481632798.43659,778051367.1238286,6129990673.0769005,8461026571.050494,13879153623.171751,1047443825.9599682,2910724656.0575037,10227763166.484125,1014744110.3922693,326840788760.6611
