Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,10150743494501.334,412428747080.3687,80963453712.59552,242755423256.86047,588886331691.724,97260344936.63669,158946121244.18872,37501899542.51063,80764648912.84058,120486719665.7599,94080503683.7096,35378854102.08451,35823226753.1152,24734591728.07912,33597496288.251457,42137917335.53522
Etats-Unis,79831597036.455,4280278509169.216,18915451588.92176,88326998857.3783,85292721279.09259,16424938011.183556,33659258735.73035,5248733541.565261,32295302286.542427,42076042695.19185,74269722583.55934,4388281684.077084,19783242190.69199,66253724768.17415,6585319519.002924,71104610011.58252
Inde,40677819458.255745,69275112756.39262,3031609904431.4453,61178607589.177826,108663708204.77238,38783576719.26576,100944257707.85283,5282623347.504828,25027523287.688015,9534528511.999748,12003473399.707956,10035062074.175917,4936046194.550307,4341914792.982505,5274494275.9003315,5380608314.373087
Union européenne,85857594690.30879,124300126590.93298,18275731073.428905,2747334751326.546,74340179518.38774,59174239773.45188,72371801326.6865,29046359030.101418,195678976749.93158,21014165088.40481,25080958630.29657,3996211763.1051407,15721488412.428785,8879358613.902863,9699486377.581438,15917190573.463383
Asie Pacifique,474528984234.8516,232186910179.0034,84922403496.21661,247053550200.61096,2459060989825.509,82645880709.01756,97615087901.06276,42361854812.81379,88141692648.0903,123770958573.95082,38908024824.50575,67089330730.43897,13771141122.332645,11090590571.342018,65960279052.080925,21157498564.810486
Afrique,83303430315.6545,67157505439.38055,50773143646.593796,163740127834.03827,59169939707.01725,2063513909517.266,77427869640.14078,7438737993.365767,36709643228.96701,10436573866.351553,10223588666.227133,5767944208.201849,10333396129.228197,3389331942.5248313,5176876658.873691,5500678746.793833
Moyen-Orient,211539933191.41782,151960311045.89685,102514682619.37897,161759419988.25986,193144034423.3718,81539203963.0232,1610393809408.1692,14977344019.826094,62142248863.044624,78541844777.97743,17586007081.888885,16119763020.347263,10901852467.948282,6489478450.097856,14299963992.155556,10763965763.666124
Russie,135896632449.48982,46677347277.16113,16330895085.082287,281810735348.44965,124431232455.18466,27554934602.574104,39551851050.8347,1198680392835.2798,145047653851.99387,22910920313.52874,14057216400.971523,3946664223.4642477,5591558963.448129,2884370851.835637,3518666761.163327,4475120014.626015
Europe,30244181281.5794,49132249989.70608,8668485585.466997,181459365268.22784,37980613062.48318,32477695613.88044,63176083364.92705,48424457032.53579,1050802170720.6606,7259723731.526209,9759957800.988783,2825498868.400707,3634253439.515827,2028207637.0307817,5199603019.284894,5600142671.986311
Japon,81399608920.40326,51481189489.67742,9490558149.629303,25345636824.257915,82950065547.25914,5318787891.063579,14781387070.06274,3096984662.597825,8193164647.539118,895280544200.218,6621430013.594172,6279129779.711278,2584750801.642605,2986268318.069444,4690415147.881108,4693767471.302704
Amerique Latine et Caraïbes,106705605338.61902,108639641899.4218,16737479167.149586,56361750388.00165,41142765484.59721,14138058863.741936,25417403496.30396,30039233705.166565,26776515551.210255,10500101168.197466,909176448357.1272,2171962578.544273,30727945587.70817,10425666625.479445,2016363124.7444165,7514562777.047517
Indonésie,67786144399.583824,26295529388.62906,30439230794.52115,17644197324.221447,85257455284.87325,7041841803.477038,11661895615.241325,2308739270.972696,5551609257.07723,16942239431.83541,4092566140.186803,717168727402.5337,1917576926.3072708,1265019193.8660548,3866725688.3005958,2098923159.2738218
Brésil,76418121432.7561,28718751629.059616,4644424865.257035,23526263087.64433,41030965676.612595,9368490304.226467,45503912119.18932,1916593079.2217424,13938645270.940123,4899251093.530198,38775141047.923904,1449389428.7473283,790991765279.8068,2537482373.668538,957266197.4254391,2895435964.575115
Mexique,8066355291.356267,132632121553.98474,3719670453.691296,13931932611.43452,10381531013.151325,2142320357.3973074,3060991770.7445464,520951979.09521675,3168086564.6112757,6458299517.060605,17029160889.159063,350173974.85855263,2790655531.243176,489076170596.0492,698003508.1265119,6757199970.377588
Australie,79553699713.00598,26050848185.840446,20538503626.791073,17355686476.46317,60231075633.39558,4958236800.237999,14017051077.549288,2361813655.7041802,7770112689.334219,31711087626.389744,3276465170.491055,15620581016.811258,1730638911.045273,953743334.0140352,391215019666.9982,2366203944.8883715
Canada,24602084193.139698,222661626575.19742,2701428273.0847073,17127521575.582273,13055062771.585218,3742964261.829339,4707227324.03831,785122545.484941,6115997215.925997,8369479419.641441,13080613227.565353,930100358.095426,2917470129.4549007,9801461511.835733,869587037.4606348,322301288712.9975
