Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,8904306958861.38,428596961336.3439,67546341782.47735,268698038700.78668,740604729562.2701,95869753736.54434,183554251769.75815,63115426177.21178,112543428579.9471,143483289618.4805,135769835813.88112,35885054246.43064,48790093578.013565,26983722458.36064,54218847750.31833,42740394930.43989
Etats-Unis,78570079294.29997,4225274586210.5537,9986459809.129463,101785142848.92664,78027188368.33722,17777463348.294792,35148460514.39335,10513672793.208498,41711854274.41701,32048977389.012302,90596547650.13763,4434985900.250705,20909503729.593403,59511553393.35988,9332334943.846039,74747080995.54538
Inde,35373909274.71163,51840061989.71604,2229958118778.7856,60794685886.391205,98181976251.81642,44557749984.68664,129248861251.62259,6864355361.9771805,28759800215.955124,12677837850.019375,14722882165.942722,7102163453.682459,7984962869.071177,3360583905.5329595,6192710918.47172,5419476016.814689
Union européenne,105554822832.6417,115318729120.80623,15730314514.979645,2749208226173.9526,79505173049.74075,51312157504.16333,68856648712.18675,47404314142.51106,154170732558.41074,27278109324.583458,30682217913.67957,6228537267.127537,18216502958.63782,9524977411.82195,14416414639.424458,14448288820.873734
Asie Pacifique,374202659707.49786,209032356293.52856,65101334642.72695,320936693440.8154,1896196885808.9995,81062589005.5123,117405282202.81639,53150616196.37463,112222391467.33282,114679426357.59831,68644796609.514275,72987773433.71008,25624760039.508316,14413384307.734749,69179147556.34563,24726713158.817738
Afrique,82464826399.14487,68867357026.12479,35545030189.25007,163328237854.75262,54817805479.18063,1622394968246.1294,64354569591.89053,8286740537.091332,44376568202.82556,19477371026.319145,16210361585.922165,6502580947.870148,20994555084.541046,4045773371.164372,9480556707.274925,10561216173.084509
Moyen-Orient,155474907838.26312,151332160551.04794,88966581159.79321,162338450645.7196,204594534111.4929,76752362455.34734,1293373921952.366,15672345563.913986,72298059998.43117,95402915905.96817,24132849025.149616,18558951349.50532,14617211919.995857,7970644285.237486,19161227690.066673,13486555301.43084
Russie,76504408850.15361,38826621505.97332,10333674200.936146,312445071064.8441,92555414205.25237,15734313661.951035,27222140688.24909,1125821626768.7239,165765371322.7292,25366573878.0872,13512756455.677986,4944634962.853932,5495365062.316173,3221206111.1734166,5709623132.307759,5100985378.688115
Europe,29486218998.731857,44377492511.35927,8557868429.911233,139361152449.8916,45493654015.07496,24241086194.08095,54677187181.98508,63717873877.506676,1062427683621.4126,8727368813.52464,10798898045.427315,3800077923.905792,5634404581.947403,2620284246.1668015,5084089452.631541,5396552662.831942
Japon,78816785126.62497,46291189750.59329,8356531166.608459,24973773358.083946,77529008893.34415,5483184584.178517,19781897764.87963,5370078672.407269,10206708051.744442,949732204837.8488,9031496557.978418,6472928508.840647,4161664483.269128,3028966488.7570276,6952809338.089948,3554484084.089503
Amerique Latine et Caraïbes,59365718004.58143,118795484362.07617,16360010253.615973,62260668191.51368,45729031756.27471,14266756061.72347,24239631723.88631,25794325376.534355,17956569547.2985,11850786497.254988,866494244992.1385,2739588844.8751783,36665911429.87672,8546856744.395546,3078705184.317302,8599665979.036196
Indonésie,44491783036.90741,17305545264.58225,20706397054.20744,14627798019.195724,60383224767.98574,4642861632.346178,8996113892.416496,2200670705.8094845,5617345639.693483,15390087076.940104,3607425332.9128027,541769054130.2136,1833593435.0662007,885825817.2098058,4610043245.677214,1565061332.088638
Brésil,21545108527.700405,19857890859.940086,2522413960.737318,16448241961.480608,28616084858.705093,7023528103.2480545,23997211357.5578,11935843201.833298,5648320868.919104,4853735479.05686,40521545670.47906,1259739140.1468043,848310371187.4106,1826896041.0689867,952755542.9507456,2040120747.7889493
Mexique,5461500073.718528,91107251057.79138,3413089231.0814476,9948087234.786741,5081815814.316676,1584844575.3031313,2701374905.4019275,651743381.2546809,2746214414.326663,2247691070.041799,17006918804.494686,321771708.2569294,2824171488.1929812,413463556191.68854,740770857.2074112,5119748728.242199
Australie,51451689664.0939,16911251323.003065,13882948948.241917,18107748441.09339,49593877092.80937,4338801044.734761,12125170148.744032,4006574225.7398944,7032118794.460695,28002799749.24379,3492757152.1237803,7746894593.891758,2404418646.0435834,1073210584.5663882,392404425662.5719,2243457186.7680783
Canada,17723985602.35,176792071720.30695,2406060879.868055,18066988876.582657,13990995371.211828,3475465990.308126,4915488239.027438,1698559181.8770826,6636829237.6865635,6824199730.035086,13612375934.469809,947415841.1368372,2827743620.736855,6862685849.40765,1687583517.6999261,356646229988.30347
