Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,8806698.595360719,92077.99364339012,163027.9315662057,36009.23516957122,173964.21103926023,80240.94318690353,17477.59245317841,27914.353140128613,1045078.4586790262,14544.867702531392,19533.1231792591,27213.4103486952,264752.886259687,61476.894153625915,14316.135802051112,120779.32588242044
Chine,8560.509388235689,4748626.16441272,169067.03849701237,12772.095959261156,95116.91423600058,3512.06831379924,2515.69290796512,13312.745324232626,64773.68041931059,6324.704780621277,7686.530436612282,6641.107377456065,18982.635378992723,14634.422413766662,2464.577692300659,63396.82872040058
Asie Pacifique,90345.9082810283,200475.97364881946,3530321.2921885396,69984.65550285454,622993.4867550833,179459.5314801868,17684.458719514052,164182.46204381733,441082.3332826385,58934.48246881478,88727.51695936777,56809.67514642418,185379.3396755911,98879.14267554416,21160.17674594503,913049.9816757118
Amerique Latine et Caraïbes,30484.967889473322,25204.387767159325,131197.95098393864,3885868.50827498,310950.4366813704,13104.992762217535,153558.38638199258,17111.661624136636,332198.17656921735,7828.631700638676,6187.842273844025,20659.013936962896,75027.15561284483,87316.31084749787,22621.24576355631,96295.96420177151
Etats-Unis,47926.818049877525,34286.73627939447,248401.95975065505,131399.5698770307,4511726.287446563,10117.331015105698,17243.266605027387,16985.562485724487,204817.6290601312,16510.916979361686,11736.531670039954,94107.97151729329,69450.69524028474,86971.24672223862,115953.03183638159,349845.92701219354
Inde,5241.196929933767,7323.364901242457,34715.95641586967,2998.2428926833745,23005.75637528082,2019100.353647525,1141.0613835512959,6549.959633458655,28348.57284334897,7305.369066219797,2341.348961735291,2125.324760019796,12749.761585966357,20772.798171092825,1294.7547152177974,9021.639432462729
Brésil,7920.0721551907145,10286.318872727665,39052.39105703156,46148.59434184827,58522.39268973522,3219.2814212380404,3962982.6788894483,6657.477603047008,99249.64434918464,10157.109666264414,2606.4245017106186,3640.1299842257677,19464.558858168202,18256.959736089717,2351.7761843496373,23193.40631560161
Russie,11046.984417718886,72426.18766273964,172165.23599225894,11385.349310559031,50895.35600806869,6111.277091974593,2858.4167217153627,5061285.642735458,292465.56716775295,3257.865502311065,4696.537625790653,3984.5285961544846,84613.3572171132,38613.63096022385,2275.9842223032674,412254.9122023586
Union européenne,33387.84386509276,8320.02341586967,47489.41588808726,16043.108043513015,59676.42448716555,3595.049889540384,4004.853599614677,36705.863422277536,2569805.3065388934,3174.4135475654957,6486.22740060148,6345.355359692389,116627.66384632672,65073.6462783318,3564.8234193665885,23359.245804463848
Indonésie,11238.366480074264,56183.269520740556,259631.5519648919,7427.771688265282,131759.93245339429,9537.07650819024,2690.281352296499,3568.6301464898997,111842.26876407336,421314.82514776394,14568.092389082285,7175.987736475685,34968.020664610376,76019.28496522117,4129.718453682947,220150.5004800961
Australie,26096.176173436255,25756.843016765033,282951.8957149842,13469.621869369234,121858.12681842371,20097.4092056851,3577.3274554285076,9314.990479507687,57271.82740867349,94551.73502380171,2011484.976627979,15122.79531512854,33549.902373311954,50552.71130635231,5964.643385728936,212094.9973412483
Canada,28161.574742068828,22408.70614894691,78305.48283968914,41266.84520647179,921344.0635653405,6253.545961082926,8869.116289685022,4677.828472893558,88564.0878466167,9585.64165190186,9889.817346951393,861145.4476440618,31258.913961796126,31929.844500426934,18419.541495443562,159451.2878462002
Europe,6537.359948160244,2981.6109376006025,18838.024508882238,3871.6386917110235,20741.1216718294,2109.3174690171923,1165.1252825467707,106562.77703736803,164246.53877169092,1307.8489510867325,1886.4850604542598,2231.123484489607,1133768.0986370458,18861.898123393716,1139.195208402718,8646.796898957238
Moyen-Orient,30631.82158395261,4643.370779291714,39571.852083468926,6031.500368749361,36569.97107389349,14532.975176932283,3077.1688641415803,4954.82584353078,76777.09602031914,2578.8183969339725,3116.5596055194333,4070.829946186028,33643.91025310628,699008.1579507013,2110.732927758374,14359.219089140259
Mexique,835.0604653332518,476.1397153625392,3603.8943974956032,8880.935694983435,97615.58028987292,189.72817222802698,862.5833287218069,252.92927969788985,6342.207706351171,192.8587949162073,412.009330101931,2152.360203351989,1549.4014662210195,1001.5369530250533,1021666.4470675356,3705.211533039038
Japon,62.704359304231275,250.15030250869427,2096.0331534045386,229.35207460298582,1361.9891550916066,26.71673452581235,31.98953762357367,23.06846700926597,742.0496401767062,89.4056887664965,91.40607356797588,67.91321200280942,255.35451517279685,170.0020543425719,35.331564765803385,286846.18653747946
