Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9176350.302286781,112983.0206024771,122248.80774366256,37893.74555919584,211354.5974774407,84405.63262658792,23754.699512249383,36313.89858974827,875743.6414151323,9422.549261972948,22804.8077472376,32121.350890595648,220780.14500754382,238094.06148274188,15126.843114792757,67198.55890603171
Chine,25566.57939190962,4260722.634237757,211899.1446254917,38408.28882229971,271628.44900043024,19349.54057254299,8825.399260059236,27921.88785118378,182883.51142775893,10330.264164614311,25261.958363695136,25333.851503801197,63051.49930893509,66362.11117258224,11201.362770311927,104858.1027916329
Asie Pacifique,92068.30937624234,260551.8090553007,4665831.417710843,58192.83040125001,386381.22957229253,122137.65711441693,12005.500804478776,40224.473623884995,302848.34389692877,61012.17394640548,61624.65732825258,34755.76976990528,132927.565476171,158794.12444806806,31825.76844133225,191483.26457380014
Amerique Latine et Caraïbes,68711.03584412856,129273.34201786917,108353.821536645,3564067.156509227,391337.5859172687,30382.82106566638,93743.81377116538,90011.60969656227,393928.2977041938,5535.266229332872,12630.288409915906,33162.24066183775,87139.74418757446,94759.30428221621,66874.56834947655,66487.55251782053
Etats-Unis,49553.783413007724,120967.63930803488,145350.18055247472,116944.32900960011,4770538.650838138,13191.365684492306,13222.050597545758,9797.569360588863,144916.67210571768,11453.586864114424,11732.662524375213,108951.63917022596,51907.70907945637,75124.47278815015,165746.19950734594,146650.47704670922
Inde,10476.283513693996,14109.821868331685,39838.91484787752,4242.570099157919,30318.8981743114,1985847.9227572116,1815.4495048290912,3433.4865986538334,37639.79731591155,3766.4870223393464,3792.5822347972785,2918.443824399421,14618.572351292394,31342.29384975597,1872.0549797494323,7677.1683192206165
Brésil,35470.22941813751,93797.30144546766,77390.00003290543,120203.78387294237,113292.00782482608,14781.837147761775,3454421.9881826844,64698.490083801145,171423.58549917003,3154.5635540497497,5347.873228408097,9328.101370879082,41788.65493204263,89691.00827016888,8181.969313242781,23246.37455566842
Russie,65953.94125792405,921040.855518214,399349.92698478303,33423.395727423194,251556.19131226366,52571.13589093223,9443.083611804228,3315325.892731994,498527.23493102577,9366.089035468556,23313.799729576087,23631.72085690933,181201.4599619552,158995.24021914988,11417.668189341603,253646.87452022443
Union européenne,37649.71447237294,19508.303813488266,30466.67399745447,11759.585621777233,56271.18531238255,7504.271327992733,4224.519516040055,25600.604559747135,2514704.9550555623,2450.493432046935,7205.308412363295,6905.5347332940255,121204.40937676687,48677.93828241156,4488.02145279906,18981.814891308542
Indonésie,8337.37940930959,44871.55281408186,62586.276833043994,4843.6370435986155,55876.729694960304,29056.661008944484,3537.0296801221157,3160.036467905767,50186.29639951334,1007384.7996492006,10051.92866059701,4288.38659499283,16788.20093030754,29044.66374674197,2198.375834431246,38593.14412155194
Australie,15724.478760403821,53168.43970307481,196704.4604550186,9625.674201034308,138953.494885059,12080.699852702883,2598.661767250053,9510.516894404462,56286.65781706299,79595.83387476463,1945589.5080638495,10729.751140656548,28363.303245634917,51174.85254535936,14762.841675572638,199414.9625532207
Canada,15417.895953692443,39991.181858536664,54944.03413786373,28018.64398308289,691432.3567196792,14036.977956398492,5706.388390667872,4460.585608173093,66396.33332666745,6723.204301345118,6689.055128097977,1194731.2676356211,27948.21439766996,27229.99703422366,28893.447434826165,79939.89740831485
Europe,13106.821479848828,7811.049980639167,25459.41353460471,4778.4776543422695,19553.71235257917,7314.644098161365,1961.6002858634513,55136.06587441631,140923.15253807296,1354.8626710219594,2907.8017508522776,2719.3886719124057,1163251.0397453222,37318.381073285134,1477.7828495794072,5193.299563910235
Moyen-Orient,34506.62406722672,11067.655413009796,31363.715290094347,5710.991559402138,41199.52833500205,11489.792159131155,2368.4063843118993,8444.106608882917,85839.8056852977,1623.7637395893955,4027.8487788497796,3743.6180401667984,29650.721048086194,560288.7718128905,1740.675965846521,9308.028088095965
Mexique,825.4066193140918,1334.6280223469848,2956.443176988626,8960.702854233477,126628.98246278803,271.9785036623533,665.5789652258464,228.45182795006644,5564.364006474685,90.01178061657274,489.93831156018376,3983.8054000830634,1447.2037169121782,838.0806337306302,950074.422303351,3805.938656798163
Japon,189.57384010356972,2237.894710299185,2904.549542263314,428.9276084965258,2542.281098894262,151.6223142830308,81.76116930270202,201.91519501670118,1695.5562165014273,132.3183310304605,232.57148988569023,180.27170075712124,493.33677392033724,539.6737261456074,143.8016394721001,277836.92087152397
