Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,8880250.873584542,86811.36805110665,118363.20625874141,34625.295716886176,219887.5149061422,65348.98975004694,16856.508951289175,26483.43033190453,1090345.9500221221,13503.185791580703,16688.075505348228,26695.47189968578,254550.4117049851,117419.77183942229,17113.47238398462,79575.36239754142
Chine,12795.225632836333,4766384.712077604,119181.6994218468,17355.68720956519,145181.02092324907,5098.802028044227,2427.16255340577,6213.819974771604,82827.35943398702,4167.156472515566,7862.350828208505,8176.104931065665,27602.894198354406,22066.577192001925,4742.178517752787,79805.24450463879
Asie Pacifique,94862.21338353989,297514.6416043974,4073920.3865626827,70431.77480903883,485877.8343748072,75771.47850746181,13955.773455287168,90544.22150855059,475385.7013151329,58908.45839523075,87135.24151178225,58023.82526420438,167030.7458889352,171804.63247518704,47404.68798860962,454884.41641012655
Amerique Latine et Caraïbes,31598.952703975934,52469.726809033404,68721.14832997898,3909830.2182011916,364063.73766603845,17102.949971456852,95178.48537850803,16426.002313991503,304874.95817453065,3952.716149771864,5703.7771601363975,30834.282128132516,65401.7213234483,71680.04849483966,41245.09957964122,74735.36306298393
Etats-Unis,29091.81987716142,62504.58858680091,140648.22342822235,101173.77302449167,4868254.029969664,9853.077148333721,9276.467828899133,6783.0830703155625,160517.17485281086,12683.7208795207,7572.688393844561,94862.34334369743,50425.12030136855,56177.817558736024,164565.6339779852,195675.2447964637
Inde,8377.851804585505,6625.374975030918,31903.81182791372,4649.06665961961,33471.250051155366,1982600.6480638187,1518.8227163410634,4599.10731548635,42195.90536739331,4586.573252183657,2437.1081543965884,2569.7895793634016,16016.335813472495,30304.30864650045,2947.58083686546,9734.076290898884
Brésil,14287.695724964684,55863.624210774615,61086.124576356226,114031.97254498099,118665.50460345746,4846.933673007471,3569486.4949202905,17703.757029334683,188650.9616623241,1966.1450352723116,4594.459537681694,5895.196645192771,38364.513653386384,68236.3007163927,7513.864866328703,35016.27078673859
Russie,27225.12261104429,632755.3294118084,409080.9737952247,19587.82645300298,171976.60134383303,9623.208640138775,4736.50430738754,3665250.86997972,568419.4848927734,3484.1079151558706,9559.006047720417,9290.730202841714,131626.67278786225,64484.165519082,5861.635333693443,480297.5737739995
Union européenne,33876.38921655213,22256.326239193328,36127.98698676458,15234.032098473313,84871.63564818597,4244.667596445084,3839.111861265232,16782.182335396676,2540460.5486440607,2132.7036925401417,4895.968624349835,6529.476553299433,116253.69399090299,55614.86856546275,5026.928616146447,25588.84795982795
Indonésie,10218.451311654759,74582.58106591566,130928.54969953254,7933.59755169085,119293.7974685526,20817.461997982733,2927.70368700078,2189.98580855272,92051.24352812761,676224.6049669158,9374.358074656977,6053.156073657625,29957.272155011837,47732.96540415503,5676.216454338837,112817.9281770111
Australie,25507.370625376887,54552.59627870789,208961.8156738806,14341.268154117888,242582.7464384245,13267.764945564926,2874.7909799514487,5468.3912044396375,81857.62044040562,37447.98572896888,1925233.6328991607,19282.803826179665,38669.563554224675,105161.26559427983,14591.736086890292,217416.99994204837
Canada,14242.485100647418,34753.77015047354,44864.91065244146,36978.65077677664,981852.7005138963,7612.086530781051,4790.953738712985,1909.601757611102,61633.263290011884,2924.0718907896667,4101.6176490551,957877.5304261782,22164.87539253369,18917.94690556069,25944.098454827337,95544.56115008092
Europe,22478.291395433036,6945.302094221392,27422.63107110469,5897.263312684819,30940.197545858555,4139.107906457729,1813.2334837211295,97152.80394775447,195912.29868252765,1270.2818222573683,2290.34561951495,3109.124002363725,1046223.4255189912,40480.42258721133,2032.876935433708,8164.676286332549
Moyen-Orient,15375.270126623094,7917.395329404963,32043.429648959685,4915.841135193941,42452.423279078306,13588.360464908023,2745.921665186549,3187.0517580191827,74514.8673427553,2321.2516532646946,4211.1053682751535,3543.8754095933537,30367.710719517894,722559.5893794523,2414.731055495039,11450.082827644104
Mexique,943.0663957991434,634.1225356105855,2026.5932661930747,8012.192432208675,114288.6454473307,178.80687818208253,429.6904975502884,134.4277893070749,4753.5858143866235,60.26759478574765,214.01969462048348,1725.2285709079415,1096.6020245595978,551.4781093271224,996084.0528002857,3159.487995248588
Japon,74.25859045307986,603.743915251572,1664.5418696102881,195.28376197841908,1983.9182018683673,74.82588908983661,37.58363271263473,33.18501687304409,994.7999947345063,71.47567167979726,95.7445259282075,74.66454018162455,307.006975917365,188.44728899899522,67.04795290335107,284380.4191901684
