Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9438758.42457344,133553.88475937702,108870.0473895439,55070.821514915944,179616.31616969808,92057.64634010546,22219.23192389475,31666.78238412439,681748.8496685184,8885.221543401007,17939.355603869684,26644.824288180505,164686.88183170406,288086.5250549222,10812.569344076202,54930.88070337279
Chine,21685.057625569232,4724380.707348205,139960.74762948396,29858.44175997356,149578.85724284776,15030.750450403211,7688.483551184151,13438.23152469869,109757.01162285029,5704.854428178714,14622.295916963454,14132.624478408385,36520.76040227007,51297.05674842821,5547.60714600264,56498.79243699056
Asie Pacifique,126555.9508294566,458398.67805026897,4230011.643349063,82523.99412684081,338060.7734766757,208790.00094477116,15565.456837459677,50067.72844127223,331610.7946253981,63943.51655272436,82570.37787829571,39213.701605538336,141575.43781010018,230288.74177304,17285.917711529706,223035.0351212413
Amerique Latine et Caraïbes,73232.76691332783,119494.41498368348,86099.97170635965,3782874.2650022972,267997.49161921703,27663.272555603216,81817.35950308495,117051.91308148082,328647.86024690646,6384.650954703,10155.069627350966,24174.014683554557,72028.18785776115,122097.75807033722,35502.70556381379,49437.695490030776
Etats-Unis,51486.28413454582,219676.37827057816,166443.0855010964,139477.5497136923,4696504.767531806,16227.778124886021,12500.523313308135,10801.091686912894,118669.5154483812,9984.232577540064,11762.935360714662,118652.47724205838,47595.576656320685,61673.900122034815,140133.2184851187,132785.87216279918
Inde,11343.43347754134,15007.683516368636,38104.77191919778,7097.570748294284,27611.738068279705,1970045.4470652498,2358.2720077151075,3412.147299314046,39638.65161209623,3581.2199540373285,3865.635330120857,3071.853940805539,15071.583915049043,50655.111962761635,1649.0004540020043,8639.618217647465
Brésil,46302.40272575814,126648.46271883295,97315.91969147793,124681.01851657857,94049.03514589103,19659.922063245293,3462812.9336718246,56125.78255867786,117353.82325321747,4804.833155881292,5129.772764762298,7910.244079625288,33919.186167013824,116295.49148838368,6323.281825958706,20406.36325210947
Russie,70528.07698457027,668843.2829238386,246633.7253603334,30314.506383267486,147449.31023060533,29312.399851352904,8496.700650493773,4421859.1715852395,231516.52956975508,10363.939295526641,14218.423907077544,12371.650847437837,111571.22650049329,141913.24384527563,5766.945270793853,72281.94715254602
Union européenne,54678.55851503017,24005.46631114611,35044.60558114309,12480.42911174725,50252.48009997767,7439.473862585807,5133.136254359226,26199.754989141773,2501072.678929137,2493.3254445611074,6601.617198093907,6430.288154474161,116734.04923508472,63546.941252511766,3305.7533284339634,17619.96044579531
Indonésie,7885.127807355763,34377.915179487914,42344.347108107584,5737.22881371741,32545.870378767268,27620.55656034974,3810.105081748269,2475.884877443072,37026.39020890962,1128744.4893523252,5041.613063287354,2874.3579700180667,9743.55297191775,23101.07289812307,1242.0401170826615,18684.414284848608
Australie,39824.41812801196,96176.38338471176,205253.88014949675,16243.29021587495,133512.09416914926,16725.66157751713,4124.367722112191,13385.219754446392,85029.80026464128,107007.48185478155,1733039.3323342956,10703.199733408183,32067.06135068849,78034.40961992918,3728.427828210345,181105.71577496405
Canada,21560.0377638812,82456.23993697113,64964.089609818424,37883.68444374575,538849.694957877,16019.22677601507,6641.301272105921,4902.052591635513,68662.72528067857,5130.115680608306,6775.320461650531,1263377.5265856874,27558.8109928731,33859.80690208336,24732.852518333417,74953.98366787819
Europe,39541.573173567085,14960.114642326636,49192.52874343812,8016.5759879720135,31975.881754196085,10132.283885444227,2970.9331068385095,56251.75220686471,162198.7760721677,3147.8992730284554,4276.955331967254,3672.236553394143,1020729.8870788878,67952.0380566644,1597.66518262602,8706.671463650348
Moyen-Orient,44481.128877663155,16980.662397203945,35897.191309752714,5562.089001816994,52978.28496363355,15872.265461211526,2897.8002148425803,9295.629391765455,79285.55862769984,3467.040540213558,4288.959617039124,3032.7117583878985,26901.93337856662,519220.75557090866,1586.0517532686806,8393.238357977723
Mexique,2734.749286867314,1832.476440426976,2999.275438372398,13558.906369086968,140263.0721177936,383.508722812623,944.3941049242916,310.733600009995,7547.079221914273,128.07032305018407,517.0972764372043,4791.006870019045,1715.2510487699951,1261.805724511849,928460.2907411371,4722.736490459843
Japon,177.65210908941194,1771.106928417371,2090.152412207422,233.59231636891676,1305.2964008804265,117.65810272037277,67.56074934136232,103.49113768116577,1039.2983481774968,84.04748212479349,134.94200353679594,106.94164307365388,313.30376501312753,440.4011845525263,68.29054369423137,281649.08610437484
