Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,85.6562258722223,1.0144928383695104,1.4162166925518958,0.9577469684441136,0.26758212684347926,0.2176754261525719,0.17899442618957614,0.11043939029641103,0.1637833436243523,3.658708251809157,4.172703874559967,1.0068641551215403,0.2097224612501657,0.5604415403006356,0.07939569463782405,0.32900693762651995
Chine,0.11795926847522464,96.91855319793319,0.7793041697059229,0.47605647993886874,0.18737445054264038,0.02794379168403317,0.06521025489636431,0.029246983461080223,0.06529358753421044,0.22010457071218484,0.5570849996886829,0.18313579857650503,0.07398633831410473,0.08370540496227727,0.044848498706897846,0.17019220486780365
Etats-Unis,0.06659944364949051,0.43671360419559035,89.54611891064516,2.817826711269787,1.0155651452843846,0.047296741800553696,0.026046674086781685,1.4038515162703427,0.05772764189028019,0.44947278771886146,0.6613098061646586,0.1722961621334296,1.389811953560429,0.06365459449552989,0.081028492282897,1.7646798145518467
Asie Pacifique,1.6570627135677103,13.091596052590567,8.11944054901614,48.122541036795965,1.6013447202833757,0.3349967184162411,0.6650160572066195,0.3270073058471514,1.648513971110234,6.367161716392247,7.697213305350868,2.2066199692691195,0.7522283359273132,1.8480973602663042,1.7736165807708346,3.7875436071892934
Amérique Latine et Caraïbes,0.889650930458178,7.138258494781262,5.82984942628524,2.920552272169788,61.24166792377894,2.382938824689336,2.1512163817923433,0.5153009515867903,0.13432804484570637,5.121718831879566,7.124568956712079,2.845434115234532,0.7130167927711017,0.30222625732573877,0.10452031255193714,0.5847514831374551
Brésil,0.5637508350453599,4.327193755459354,0.8684931966340548,3.6485316518797295,2.411084148685831,77.00958672763849,1.1568240356619586,0.06834530726793703,0.07485376121500997,6.418720199430009,1.9174390781088464,0.7181814128903454,0.08109699134966941,0.18130047245250605,0.13522036279518723,0.4193780634857089
Russie,0.356797930578186,2.2629179256868976,0.8147445924429059,2.5017777623817956,0.3239806518927103,0.13061355157258542,86.88719148190614,0.06810265408169222,0.10133261054700293,0.6343411642738374,3.526085238720991,1.435181859949993,0.1049456865914942,0.36718645724588245,0.10264111410314355,0.38215931802473985
Mexique,0.03145833927795368,0.1785787635619688,30.32149657012631,0.7721369203275587,0.4152543786987175,0.02472748887404535,0.011775309023039514,66.3764444512337,0.02411199619682998,0.09828070390069127,0.25691807569829045,0.06743901529688928,0.5179780831427243,0.024871189187723425,0.01979909134132829,0.8587296241122424
Australie,0.5685956941682757,10.838786619702647,10.177967733182848,11.366426923604964,0.6713936774751736,0.29602653022105735,0.7871905323509146,0.3372294691149766,36.20927429792707,3.6892190040915485,4.46189897092947,1.9171184200204912,0.990318926595912,0.7510476378037302,8.61896012198741,8.318545440823526
Moyen-Orient,3.9423144459232664,6.131634568669707,7.072521523615101,6.594822854427543,0.847277629381883,0.4788990725636997,0.4560258357797223,0.26927123291525024,0.4899199857380922,59.69142539858008,6.653602336234514,2.3663184446317853,0.40084919341747277,3.0960637942667186,0.5279297017521514,0.9811239821030123
Union européenne,2.095458390039771,1.1712681576058612,1.7675570678294446,1.4050950024102156,0.41402094699544745,0.17673926279917856,0.5775011232211673,0.11892357317322186,0.22262994633614974,5.328922084348379,77.94679202279067,7.650276115308823,0.2629155987166296,0.36245442727363514,0.09616388029442886,0.40328240085697076
Europe,1.000840360082678,1.685612015555377,1.5985900508235562,2.5949550880224748,0.4160563039822284,0.20039772748067552,10.649804412287011,0.11890287518678483,0.2819861339120246,3.9226878712163153,8.890049066256239,67.32108201759868,0.3271188170297117,0.4475485440392472,0.1387469716303586,0.40562174489661706
Canada,0.1697031030397236,2.9320531414439874,32.339990982705636,2.7843772397202926,0.7167971559483135,0.15571887599602538,0.1724877261682825,1.142797521952132,0.20735231604995177,0.6738890183532497,1.9400084121920558,0.520428695853317,54.33597094967983,0.18542837834515316,0.10014220296428764,1.6228542795877745
Inde,2.8249016471647455,1.9326975619322542,4.356535547529463,6.450126693345277,0.872359568698765,0.23390156527276035,0.4127095403410207,0.21008565473545648,0.4239926486756386,11.624826263349885,6.535286954978206,2.344054062988577,0.3646373732756333,59.39618408988937,1.3611278794711843,0.6565729483517596
Indonésie,0.009612427298190984,0.08836312613166415,0.15822616926170766,0.08786545447940536,0.036476787256553636,0.007425086529927875,0.007086927290583312,0.00854773913184791,0.013938689732322984,0.023712158925791486,0.15903329363096386,0.0414494360674133,0.012979091748038228,0.01175386963646205,99.29528798968525,0.038241753193887375
Japon,0.02777692563095372,0.3356199227325635,0.44269684046244995,1.0594925494395102,0.05635834328217688,0.019531363887639323,0.02326659244527296,0.017974984337479533,0.03690232039701083,0.09494310346541764,0.33027403266497485,0.11056880563433356,0.04591406695272322,0.046521154314921286,0.03046769240593927,97.32169130194663
