Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,97.49679524026944,1.834329282392941,3.075456432610535,3.0636838825471133,1.5957617496656276,0.9356498488508009,2.0382329412090057,1.447783426776406,0.7870774757646023,28.38550966046919,28.531247231325302,18.561476953242664,6.579699624689991,27.423131046751447,2.5485309358807466,7.455927510361645
Chine,0.037866180670151614,84.562167371577,0.5380081732830945,0.5263557593207432,0.2567760768586141,0.05023605474719976,0.278816173207932,0.10596482740291298,0.12076159196271359,0.9737061089722358,1.1347415960756657,0.9591855007837743,0.7084084605140154,1.2132962604887039,0.40437272900741994,1.2370426839108353
Etats-Unis,0.029201970712777765,0.2682385893826551,77.94341904877005,1.8099748508610736,0.6757400989934511,0.051605525966696375,0.4703411993506245,10.482594274275447,0.07201975792008375,1.2072157157025374,1.239678379359597,1.1355141049172879,15.892365276746641,0.7121165763286683,0.34895642598941895,6.723593369286538
Asie Pacifique,0.7201806500662125,8.076186934379434,5.920266579476733,81.56663970260112,1.9844348852778748,0.4123199049221331,2.6580774104006477,1.7297035548247117,3.1350748810338986,10.647422606872697,12.145570580423936,12.93794764559787,12.076874694016459,28.14545878547805,19.876709102100847,26.420967411383828
Amérique Latine et Caraïbes,0.7486999409360057,1.7234017443455436,3.3085014064141607,2.4483200307340405,91.96653089730185,3.120957411898021,19.209456421310932,2.319243852494039,0.27324543623322495,12.75757535723135,20.157529509416428,9.35312003418897,5.1230880265811045,5.179286306696019,1.1168540026069094,4.126303502087653
Brésil,0.28641458846141293,0.52254035764311,0.4934341725315843,1.5869236842607912,2.4663524449727343,95.01430779806111,6.74545779491962,0.24958127820937742,0.06945323246567305,9.3098384226888,2.2829870066294338,1.4870571004127624,0.549259264869195,1.9283834036816063,0.5152430811917766,1.3011123939255653
Russie,0.02790430817326609,0.24785499009630577,0.11118219222662928,0.7798369664686151,0.07455259806549909,0.04483928692686061,62.470650175228606,0.08127530515021408,0.034105001485017626,0.3206755213048066,1.7273577994512415,1.970645654291017,0.2202497132439102,2.064276672556815,0.18117176049537445,0.467526264996407
Mexique,0.0018662128947597898,0.01607536805273852,2.1309496485341493,0.07006187787378487,0.14863474134659804,0.01247467950457661,0.010607301758329673,82.09016515467611,0.007213437627176802,0.038073787772991294,0.09242715339174615,0.0670779729238207,0.46986066151919975,0.05205141338403149,0.019579073761138707,1.2132198414989583
Australie,0.19458402482410397,2.01881526218542,3.7023951897449363,6.342584463907588,0.4708110420032288,0.16814565261499423,1.9506285182417191,0.45702451127868704,95.18611300045254,4.884785958859378,3.376226961804765,3.8881308435849506,3.863555171657181,4.47360795090663,62.60895205745326,47.36990731265886
Moyen-Orient,0.34485555716517485,0.4785084386163775,0.9460032648692036,1.125769421416466,0.17521475867719757,0.11499715895643965,0.28117314415376854,0.20223167610908538,0.18621716861798315,29.57929856323089,2.917089398354171,2.6506996283887365,0.6864976799734724,8.503008681676693,1.0976394195825463,1.3969378842197229
Union européenne,0.040621154262003675,0.05338524016437404,0.09065217105342144,0.11109478643674109,0.04207953489139725,0.02292872717268169,0.4625160222294542,0.04805187930916069,0.03993267970979849,0.3597618865340209,24.223480535668795,2.420850208244209,0.2032024114932583,0.4862122393669097,0.06594010411970058,0.22405325348491392
Europe,0.05137197896940648,0.10575370400583273,0.10221223847385384,0.29159932988135656,0.07133014874332116,0.03478603421763788,3.300988763904871,0.06044786718435315,0.05071064017343616,1.1289579042241995,1.714786348062996,44.15806705620228,0.3257339954293618,0.9575744411728563,0.1635304594354821,0.2979625791608603
Canada,0.0062565339707697865,0.0780532944644125,1.6074099222335099,0.15136683926420813,0.05536029452542004,0.012864674900819006,0.1130840298789461,0.7165934187215061,0.027015757985527068,0.07675921607584817,0.24954531321490758,0.2043971842938242,53.25961596357739,0.21095699564885056,0.08826778347017394,0.5927019075189582
Inde,0.01298718055277604,0.014253699232365935,0.02913935754467044,0.12373073380100937,0.016049373489006803,0.0037735227817516097,0.009615806445437776,0.008856146515872687,0.010806385072807059,0.3295651915894602,0.20355080843945514,0.20310462393204687,0.04068415310259142,18.648059399926854,0.0487380956598907,0.04711529035545212
Indonésie,0.00038643310551840976,0.0002830990897390423,0.0007756246169052225,0.0012123676746684366,0.00031724369298177985,9.972731065567558e-05,0.0003242631335746879,0.0004380084660206579,0.00021594231927960682,0.0006867534397877753,0.0035398017268351784,0.002524481692958642,0.0007352271941154678,0.0021319766271951377,10.915322679754125,0.0017528745859055422
Japon,8.044966225010737e-06,0.00015262437176458854,0.00019457761655967932,0.000845302950688596,5.4111495188261514e-05,1.3991167627512259e-05,3.0034626528713588e-05,4.4818606078479494e-05,3.761117622625232e-05,0.0001673450318034984,0.00024157665474128996,0.0002010073028346331,0.00016967539211902919,0.0004478493086771146,0.0001922894911787308,1.1238759205638917
