Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,98.04690336788929,2.133034706308618,2.9887546674543612,3.6310153377210947,1.03934954684696,1.364843995522904,2.8185936117658397,1.9123072825593816,1.6816867840287666,24.819363919826504,26.134196659241642,16.420894480230142,7.453855371355722,25.14486285807898,2.3718671869953933,6.428958955792602
Chine,0.04791395621545611,72.31208315139929,0.5836097952605286,0.6404582031483316,0.258267593667525,0.062174737343188534,0.36438783335105474,0.17970897711227884,0.2379035506243662,0.5298426845968296,1.2381351936343215,1.0598738840866195,0.9331308851024536,1.3326848763008687,0.4754406796790584,1.1801311560191632
Etats-Unis,0.029129746000315232,0.35086238151575655,72.21018796208124,4.082091438911583,1.5073130754993416,0.11331723881615267,0.15672431536194859,9.288508943401165,0.22649068499169964,1.1650844885248686,1.5826602762088477,1.0737240569515074,18.8748369304271,1.091289203888152,0.9249586577988139,13.176275441473312
Asie Pacifique,0.7404560836028531,10.745507864347395,6.689167609836113,71.22152400742887,2.428145882407291,0.8199730457330329,4.087996366696728,2.2104288880516534,6.607747269771965,16.86142057521781,18.819605923648627,14.048788940229157,10.436890294871684,32.36899485310697,20.684192359982806,28.892069612210758
Amérique Latine et Caraïbes,0.39297837180171813,5.791822874764206,4.747795024356075,4.27283719779729,91.79639047104122,5.765813198765378,13.072273238540195,3.4432510431874133,0.5322505716173838,13.407650020842798,17.219647175224452,17.908059521228488,9.779346607194972,5.232692462538259,1.2049476491402626,4.409415191287274
Brésil,0.12171120722084569,1.7160253650378452,0.3456968355329847,2.608938493646791,1.766384814740402,91.07240970618672,3.4358063999749966,0.223208538536056,0.144963087628541,8.21258233791078,2.2650697959016686,2.209166843012066,0.5436372205335741,1.5342153164381704,0.7619104602955691,1.545644924959697
Russie,0.020139643051297465,0.234623891754138,0.08478841958124551,0.46771416238461205,0.06205518859857339,0.04038465192428832,67.4688348993635,0.05815033369872359,0.05130729335084213,0.21219749725686077,1.0890276126743303,1.1542167221196509,0.18393107299664546,0.8123816470885626,0.15120608430908833,0.3682430388229069
Mexique,0.002518900163088899,0.026265094250809026,4.476219829520515,0.20477259412802826,0.11282853934901571,0.010845606437490872,0.012970761825577956,80.39848761786575,0.01731843963988025,0.04663707893820796,0.11256061721441092,0.07693737528519075,1.2877976127409316,0.07805769451333983,0.041375084057378296,1.1737950079650263
Australie,0.15743981518420905,5.512716523075787,5.195862932964547,10.424070005841662,0.6308379832219259,0.4489937571923798,2.998533296692503,1.4125221123075906,89.93552140125621,6.05387378200817,6.760010647649595,7.56329305072024,8.514264799906645,8.15121776176471,62.28512543068272,39.32050151252726
Moyen-Orient,0.2892571479502537,0.8263862676090787,0.9567373476096588,1.6026486541794387,0.2109541925297434,0.1924755181826422,0.46029927964521455,0.29886945310452306,0.32244706336900475,25.955697754872624,2.6711994838101853,2.4737568549080513,0.9132189638369448,8.904032682913888,1.010944705540268,1.2289023656345968
Union européenne,0.0987023351217031,0.10133948945827918,0.1534996685041556,0.21920801310023091,0.06617596502198325,0.04560160079477089,0.3742133081040485,0.08473738689183408,0.0940659398279015,1.4875640582110206,20.08922925594345,5.1342437075579115,0.38452608699774576,0.6691843894361502,0.11821670016854291,0.32427861264956176
Europe,0.03182115062599775,0.09844250958287173,0.09370737795639741,0.27326453097656583,0.04488825866645009,0.034901373972591423,4.658120398939418,0.057187637667616815,0.0804228118520081,0.7391332536965494,1.5465781478073615,30.496720519449205,0.32293689468693504,0.5577444068566134,0.1151312046699629,0.22015722787810518
Canada,0.0040537972444445345,0.12865245153380347,1.424287771311716,0.2202939982005077,0.05810293835343427,0.020375682421604546,0.05668242807744516,0.4129526536550356,0.04443053692560665,0.09540003609769827,0.25356686166684644,0.17712687398479693,40.3014563881094,0.17361707939658175,0.0624320862782253,0.6617781365680614
Inde,0.016922223094555534,0.021266301786392883,0.048115051823455546,0.12797486498767308,0.017732876778719615,0.0076751323944477265,0.034010780744765864,0.019037469238231918,0.022783101366736367,0.4126943047465609,0.21420785323816396,0.20006572479202345,0.0678228964386363,13.9462239664803,0.21279993027382035,0.06714253280851737
Indonésie,3.55307938791959e-05,0.0005999525512923395,0.0010782904733163332,0.001075702934398348,0.00045752834633334445,0.00015033912748453715,0.0003603693356046253,0.0004779493047806932,0.000462161990939858,0.0005194345825271823,0.003216448034902473,0.0021829382598127145,0.001489625899341204,0.0017029296967484811,9.578973023220492,0.0024130720411111514
Japon,1.672404006935833e-05,0.00037117502443451166,0.0004914157336921687,0.0021127946129341282,0.00011514493107481709,6.441518492603943e-05,0.000192711581171768,0.00016371341794808368,0.00019930175814429749,0.0003387726701996374,0.0010880481011990152,0.0009485071851425646,0.0008583489012730023,0.0010978715017075698,0.00047875690759570025,1.0002932113620397
