Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,3841991.1367561254,27499.7463577104,72246.4053127515,37056.23908776691,19640.57748070858,9699.93377136039,10268.731525228279,4410.591377742626,7294.145159019757,166332.3480167882,230067.53272210836,59031.22894538324,9839.818597770487,20438.826463479712,3330.0609269880774,17944.830477596886
Chine,1492.167308258763,1267732.1223063145,12638.50013820233,6366.441712124852,3160.39059953075,520.7999601354879,1404.691470576233,322.815930506886,1119.1434242920582,5705.686645084024,9150.220359089044,3050.5061122287084,1059.4116969149934,904.2859356446505,528.3772725096551,2977.298428060318
Etats-Unis,1150.7425693102614,4021.3571479108573,1830990.6082067997,21892.226283016906,8316.98452095592,534.9973440683951,2369.6052613694733,31934.63819753609,667.4343819536085,7073.997506383031,9996.39951929841,3611.285527920996,23766.737135825013,530.7500117523279,455.96706049290293,16182.258081837115
Asie Pacifique,28379.678199666807,121075.91279530885,139074.63436162347,986574.6657557928,24424.352274321634,4274.543276280764,13391.542619504435,5269.4453078159595,29053.92667277532,62391.3688255719,97938.28619845312,41146.66906489061,18060.741826451675,20977.18699118246,25972.08117277159,63589.644694439594
Amérique Latine et Caraïbes,29503.51886005252,25836.752047109174,77720.92982722328,29613.21595190859,1131920.7119101079,32355.138234489783,96778.31554376155,7065.446909741832,2532.268978970133,74756.36300180953,162544.35154565476,29745.810178936445,7661.483003389108,3860.1913781022,1459.3473529667765,9931.134220547932
Brésil,11286.548522898513,7833.77741105841,11591.3998474754,19194.35089011782,30355.77604261549,985018.5879950993,33983.99354182799,760.3354295657855,643.6494182172181,54553.44304278185,18409.331481141406,4729.300818596119,821.4070303721948,1437.249950624135,673.2470178882568,3131.500582435523
Russie,1099.6064477278255,3715.7719862867857,2611.811904728263,9432.378204410088,917.590661012132,464.85136943032745,314730.628617633,247.60067941729318,316.06396973644775,1879.0824279057326,13928.902014900723,6267.261763798109,329.37935592054555,1538.5330220341884,236.7297144426421,1125.2362040169064
Mexique,73.54060595835529,240.9973761529107,50058.732868598454,847.4208818405968,1829.3909816767045,129.3256928988563,53.44017936377761,250083.1049260241,66.84965936428206,223.10335780209644,745.3052074786262,213.3286692019691,702.6678935659162,38.79461479148244,25.58317327078206,2919.96191721287
Australie,7667.84279304969,30265.508044853377,86973.9986136775,76715.59316802365,5794.725153159708,1743.1752875403877,9827.375543934008,1392.2996572429506,882125.771257376,28623.68609248669,27224.894892062566,12365.456831665126,5777.87500951092,3334.239858254812,81808.55173890298,114009.28392662301
Moyen-Orient,13589.49277075782,7173.663321128617,22222.82669207355,13616.542188100266,2156.5368666621075,1192.1819120070638,1416.5660219909514,616.087510366925,1725.7450515677872,173327.6675868035,23522.545480322107,8430.0434185827,1026.6445315195579,6337.406132289141,1434.2404448037462,3362.1321405309495
Union européenne,1600.7307138128465,800.3364378780359,2129.5354481244067,1343.7270702294707,517.9133824706876,237.7033837068133,2330.181581489688,146.38736750648326,370.07127171179144,2108.119249219918,195330.9771423008,7699.051279449891,303.8854327362066,362.38048703841713,86.16123161740404,539.2484900306933
Europe,2024.3812875252443,1585.4296523876797,2401.0962179156973,3526.987411290138,877.9288721497568,360.6287421451497,16630.565966727936,184.15105248156326,469.9547146518628,6615.425309175847,13827.529551924266,140436.29032036022,487.1291409906779,713.6930424038521,213.6785493444721,717.1325048799774
Canada,246.5470583240547,1170.1529386015789,37760.11505610777,1830.830464489942,681.3724882233776,133.36879675799014,569.7236656027113,2183.0618416440166,250.36526440545347,449.7907839084677,2012.2595429576909,650.0461688600996,79648.7665944499,157.22907125277615,115.33589516514488,1426.507331166384
Inde,511.777155877305,213.6874318649121,684.5207798760714,1496.5629059689834,197.53510421823216,39.12031954332839,48.444970538151495,26.979755908592804,100.1468645621531,1931.1737854056726,1641.3734703416483,645.9354277356723,60.842395423527044,13898.648163332797,63.68407215614971,113.39647510740546
Indonésie,15.227911468187987,4.244141570790593,18.220414325920814,14.663975833382258,3.9046238159176143,1.0338785494852256,1.633655798062319,1.3343683370588442,2.001219284379477,4.024212124948632,28.543913380845172,8.02863140475662,1.0995186149679064,1.5889907039844788,14262.604800892585,4.21879601818139
Japon,0.3170226144954077,2.2881014612904123,4.570877090535569,10.224210278597424,0.6660023114758407,0.14504720920711794,0.15131612783223722,0.13653738112773262,0.34855701940809547,0.9806021594033235,1.9480026396661494,0.639265298942296,0.2537463978890202,0.33378808153729156,0.2512567974865161,2704.930116923033
