Afrique,Chine,Etats-Unis,Asie Pacifique,Amérique Latine et Caraïbes,Brésil,Russie,Mexique,Australie,Moyen-Orient,Union européenne,Europe,Canada,Inde,Indonésie,Japon
Afrique,84.71857108932625,0.3812113812833669,1.5450051831928124,0.7385850898156551,0.23411108580863532,0.1845454719252245,0.22875760006161355,0.1462251351791201,0.1431556334568585,1.863556230745698,6.530923801248709,1.9040638930085052,0.21516172748106419,0.5863346756365265,0.1052679804914005,0.47452402133857424
Chine,0.10467517759002566,94.86308495819137,1.9610667105939759,0.5447800703113457,0.16458520651208994,0.023516208853216734,0.09731555612788442,0.0442390403046633,0.11367888384178569,0.2684386814000514,0.8252707779826045,0.2895422503907253,0.10283598733036368,0.07313151373993468,0.059576525504277056,0.4642624513256771
Etats-Unis,0.03641434521313023,0.1507380040964976,90.82628234742224,2.100203908187799,0.29370618175481294,0.018398899536118663,0.06054984365052498,2.596064606519596,0.022029523338907196,0.15900411796679234,0.437640805738811,0.22519501087379135,0.7730336152158277,0.015374123668259243,0.018379544869784027,2.2669851219471107
Asie Pacifique,1.388513190525435,5.189851138546586,14.517615048286903,51.67582978571844,1.2295816776695476,0.24968466092873867,0.946399175946085,1.1907922401101632,1.6668566171165011,2.514046619730296,7.426360188112498,2.7855877893910046,1.8465270679494592,1.1322415074040901,1.171689712027233,5.068423580537025
Amérique Latine et Caraïbes,1.4606154322702904,0.8214833396243413,6.558207688742991,1.1531713581547176,67.53494489564909,3.0898572377885087,0.5872352408550399,1.0265001380241465,0.1532024580198138,3.611390819945151,9.345113295129265,3.036901511136538,0.4011115369742635,0.2189566509012401,0.07944906272164148,0.9218593340629615
Brésil,0.2067182350574399,0.5434441018521338,1.0706839689132324,1.028641514416764,1.5829136908450194,88.02533015589806,0.8718460913554259,0.06164364226819701,0.04288199543303571,2.177557489132441,3.0348260329235504,0.8422752942993093,0.058385187841309784,0.05995922820323017,0.027473500426368036,0.36541987113445945
Russie,0.22183015789823501,0.9787659099446608,0.8254497951405315,2.4605322752502525,0.19566112654271695,0.0394285894586435,89.59074922499369,0.03777033172288564,0.048233303873745234,0.7403286659655409,2.695322057697664,1.4136302513016907,0.06728588166397373,0.1670776704116668,0.036134613935977805,0.4818001441981187
Mexique,0.00987518951289584,0.03342561164836301,11.873070230631289,0.28177374886379497,0.2908937329094975,0.01573876966740061,0.009160546041984408,86.86409150578532,0.007670833429874023,0.030449570055466793,0.13445958786696446,0.047877468171376066,0.10373663615732673,0.004746482285531719,0.0029017767059576157,0.2901283102669701
Australie,0.49569834179661293,1.3490077032894294,12.503086097202857,4.956322905604151,0.35830085881485807,0.08122594062602298,0.19442532263570791,0.7115976152209145,61.9107372929787,2.732814654882594,2.2812678081402074,1.096944377140381,1.5597109558005462,0.34399328901019793,2.6949960202687784,6.7298708165880345
Moyen-Orient,2.0540305887741366,1.6490514794850677,7.326258450956227,7.005046612403386,0.7004245457558691,0.43197141869307865,0.36202497465196626,0.3455986397559792,0.4929493590789657,61.49035631207269,9.168856854924675,4.12401542205754,0.4852263995859278,2.318245791586042,0.31542041074596244,1.730522739472483
Union européenne,0.5132825404940152,0.2987888471143883,1.7697558214197162,0.709544261949257,0.2590309893555062,0.06729140345527605,0.7835812848215051,0.13037559548142671,0.13284036911431438,1.2220292549007359,90.10374153967484,3.307654913402342,0.16567956924146332,0.08890994521001079,0.04402226060121008,0.4034714037639911
Europe,0.47600724652928667,0.46766073856320084,1.563764542109983,1.3160596785906853,0.26058727884059396,0.09828566191986313,14.089933735999757,0.0958336629267298,0.12327411854434084,1.4708690102483681,7.462060514109712,71.7629488946132,0.15857281961371997,0.18045530106118146,0.06437435500445196,0.40931244132494354
Canada,0.14687700895284975,0.6526376532568496,48.195857556617106,1.6777215708826885,0.42524013800313754,0.07637156845151803,0.11255718339453014,2.482346770737068,0.09507830844036577,0.257656893235606,1.2040587963430638,0.40331253458962496,42.487113224638115,0.08343563684126007,0.05179712413303409,1.6479380314831795
Inde,1.6037078902695905,0.9130709840839046,4.562774961889144,6.9262317467849055,0.45337874108650494,0.1811760171551529,0.2175197815173444,0.19075290717093285,0.4922291232923085,6.458142263581243,7.663044010560371,2.990163351250619,0.3379132913141188,65.86539909066997,0.25135721480939616,0.8931386245644969
Indonésie,0.2823282209870821,0.6153528892359804,1.102486654011413,1.5393028185772517,0.22833196294283986,0.05919007844088513,0.1009009940967068,0.1180307200295801,0.1943534893322398,0.44240087946193324,1.790682286637644,0.5301835273320213,0.1378544324117141,0.35277772496688564,91.99544563254899,0.5103776889868378
Japon,0.00524060571097801,0.04227901311858635,0.09807017213788742,0.12966417908344513,0.011834580939796436,0.002665713487188577,0.00298999912122345,0.005001760411463147,0.007913533513160481,0.013313927821529138,0.05764000749660969,0.01728570981706768,0.0055855832889197005,0.004784565261630264,0.003853273274128509,99.59187737551639
