Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,15573359.438005226,598727.3153512914,313374.263237531,47201.10138516739,308003.8857814953,222607.8478877549,44841.72161042884,50069.07510479304,1131941.1416253124,27167.41202799675,21916.725111038355,38863.694940118796,236604.69234986816,574833.099534348,23787.721785640257,70308.63721121264
Chine,69702.84686637748,10742570.171783531,444495.8742494821,63453.63123472463,311235.48577138747,54761.54533877289,22997.066139454073,27687.317244030546,191597.96542734458,19668.74258071355,21310.27203361977,32095.848667422964,64480.29837566282,108093.82684962767,16324.381121429224,97465.00218009188
Asie Pacifique,186624.3624637717,2786202.3788070395,5338054.600984881,101366.3016619602,681351.9467396348,357533.89289237984,34233.246959002994,102263.13151172752,586217.2748178205,161805.39531797907,125455.36505892883,64117.40549144157,192496.8034232755,319320.62352217064,28244.73906747928,377446.54388868937
Amerique Latine et Caraïbes,97900.76034771236,648682.3424556082,215222.13069049572,4380205.421085877,451878.95493702835,83604.37990712345,129236.93420612064,101415.82404902265,320910.43909401295,14732.007946427022,13062.134801606844,35653.42113658881,161167.24584368692,157432.19069487439,48159.1679164045,68279.16528448276
Etats-Unis,52652.614127571345,293607.69643035193,344808.91741885577,171564.64087914687,5055014.572462092,33947.428411545996,19608.300065634023,9568.489230039426,154275.1941781188,17011.88279411004,11404.119465374832,126139.76312236593,53460.21081892085,84760.9097670365,161848.82303582333,185558.7949945885
Inde,26494.700617151917,40217.57931252187,85756.439450982,8119.019728975689,53542.958260508465,4516851.938840244,3871.6344466218775,6097.6552048603135,55947.73707548215,6157.996017666537,3771.998982853463,6549.569542001699,20075.18051892848,63213.03156764919,2719.711132389962,10146.671330543946
Brésil,53522.29721230655,392632.7646841059,196656.35605860114,181895.3799853105,129473.25084359819,39258.56472373812,2934365.3808085686,8891.086350756847,122168.38283228697,8495.41032073048,5227.207279558765,10703.976035151556,59685.409250864686,175614.66395247998,12137.261443284533,26444.69014584771
Russie,145002.12205083232,521684.94748760766,248134.5340733999,25086.44557220379,102577.92999176675,40390.74130391562,9569.87538155922,2250271.808557864,195424.41181082267,13376.853380681487,8407.408404943577,9404.6046610175,138200.92244974477,188151.15612732916,9101.272265256608,36661.97892394823
Union européenne,82012.61039641454,96584.33778166623,72808.43241282344,19520.36647336289,86629.6851622157,14210.843905519454,8416.087121697163,27209.442380242177,2452976.674988749,3644.3326582906975,7190.081542201567,10575.896163258978,220695.084138941,102945.46743857596,6461.188791861611,24989.84117540387
Indonésie,17079.16363759919,70963.65710655964,66324.02059285154,5830.32129146138,37661.44564251761,41617.557404773586,4265.285048561636,4643.406411522603,32299.990445825842,2179653.9709811322,2681.3208662651127,3718.9719193874653,9149.69127750275,21375.88910446645,1768.2843077884513,24841.08956348733
Australie,22079.929223511248,533862.4846567613,338685.668633066,14304.27366526083,167176.2049053431,24007.212429829116,6898.173746684799,16527.8239379746,99206.17098256691,130235.23613638068,746509.2022732976,16085.963030787692,36858.36526871545,83382.33664481826,4475.114701304604,190441.5613397262
Canada,28133.334783080765,243164.90933261317,93048.88924522947,36944.78268704497,570217.5749183147,14212.97523626408,5976.423170764266,3242.115448031073,53501.20824955098,9615.53852962132,4159.757228155847,765702.2942240516,28027.950086751516,23777.300632221843,20769.54687020531,75596.63412346879
Europe,63606.97576955836,70855.52964066314,86558.17909902781,8453.74899351038,43102.21934282156,17614.555437704716,4340.519633002913,85830.77862238766,269824.30849838885,13117.254063924407,3939.6305649217416,5473.06855213052,931911.5354167646,97303.16850087557,3651.1159908693485,10894.784562080633
Moyen-Orient,59426.3053208227,80692.93148209363,87805.50607876245,8587.982119716558,68052.59917230932,43474.89199366644,7047.895078402609,19802.64494397632,95574.75517272443,4757.596725848084,4434.734991160288,6019.904831468335,38111.0965574245,793691.0385336977,2370.7202676771044,13585.470055364096
Mexique,3431.791294623517,11915.672311316388,15051.81818081908,39224.155774579696,293251.69623977196,1154.5582377927224,1522.414062840947,604.7726957620946,12530.852291781006,450.7720131546446,609.0316813248576,11312.017394360515,3078.7674685052125,2583.2489246274868,905673.3791706538,12398.306755948688
Japon,201.48167443212893,6915.5431963484725,4277.720925722944,209.5551959955925,1774.6330303864756,281.1260552672523,94.60543680899988,110.47169276693771,980.1921088638355,167.06443716612773,124.12605045092418,157.42205575473682,315.3723506155353,473.3336294777755,85.84923309653948,324260.4305630933
