Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,12400573.940590777,411384.70926462923,258853.38858920345,38439.79459859343,227520.19595008038,145390.324165636,26690.750949297464,32128.148869228156,790087.8576347567,15133.246624364474,14879.71043515225,24951.255815708628,181109.69904622305,532984.2382257369,12726.233587371291,55734.35916143052
Chine,56567.361628661594,7770962.284757339,334314.84190588107,72636.3650558758,250762.80616538727,45264.61422407237,18385.074455022368,23457.078636573588,152177.40454324966,17950.597393546046,25624.06713465938,29113.065455629345,54996.87546833433,99200.31768701623,13842.988183818114,92053.0945376523
Asie Pacifique,153408.6358875692,1568677.9921409609,4898449.483811763,95181.87573047535,472110.8562864684,278000.8883928793,26195.001544669558,67696.49844294049,434988.2101510982,119031.05104759963,138344.16948429108,53734.75347858175,149781.5002999226,333891.3753712259,24279.84110335281,308088.3159209808
Amerique Latine et Caraïbes,84927.74395499738,481241.19967256783,191714.51453911397,4764910.307227714,381677.46282339026,80050.61763217438,130052.981158186,70692.66351804511,327894.39241872786,10144.85450763032,13194.969531344179,35754.64404081791,123140.11975471734,176695.44975250083,44920.00354592826,60608.15095309095
Etats-Unis,53166.67762433841,503881.3626289941,300262.17559469596,203592.46783488663,4983838.173057572,28573.578016697655,19800.07206636252,8334.38133832289,115580.5335976673,17544.975423477903,15003.89797914324,128248.22527086853,46453.62429643884,74140.6100641858,153865.51016773685,176126.96133034772
Inde,23570.590736301547,29991.06281344198,63490.02906664994,8087.040186087504,45580.43851630457,3341448.0074246814,2881.9762510747328,5674.022174174213,44744.368444003354,4285.166843682314,3635.4904505445484,5607.191595679438,18834.436577379736,57238.30171987112,2445.4607746277484,9051.965538964705
Brésil,48823.06629460018,316547.5500689663,180657.5389805894,192615.30670477488,121741.02486084016,33140.41253491956,3274346.8680756167,30530.662182457105,125065.14095581695,7889.2755728064485,6311.074219057633,11604.195116367882,39930.17425278304,181350.91391151652,13546.232568726966,33574.80535779278
Russie,130132.02930411232,380665.6629029581,221795.94430952123,27630.51703390056,80500.98737592409,35724.60531055083,7286.780961919095,2327786.263987947,167833.2044218095,13119.261961334192,8858.319077737366,8705.797457426559,125011.65874245144,184713.0932657599,6767.167914012493,28986.919544519027
Union européenne,72041.11488130623,76879.91748545818,60559.589301960645,22805.936982026793,72820.66049618037,13038.788070993402,7617.318795166757,24961.74131778617,2404487.9165014867,3011.529669399636,8172.974658263,10018.095554223653,187569.80389036855,99800.23749815817,5918.359477474994,24188.842363531585
Indonésie,15724.192051157013,62699.78789575943,56372.51339956851,6562.858487007136,33424.27516413204,44991.96539799618,4377.3734089909485,4770.071510954434,32364.82212068853,1624499.3959150054,3213.8367128153063,3930.0994894994164,8730.56836300402,19890.430297456234,1738.5283828619183,25296.64787425004
Australie,26205.324302727004,482345.7876038137,383558.37845495733,17121.225791565976,193972.0624003712,53684.22504585192,5892.153421145924,5739.7089685214305,91931.53844061229,186054.3752790295,1031453.271805875,18388.13841636045,41136.81446083721,92672.57645600928,4623.649770696668,233039.31300529785
Canada,29263.56755232285,264213.45964205987,103904.84556552762,45894.24367709996,461370.22826685157,25487.204615912862,6036.538426760408,3738.0521519400204,56476.825720607136,9627.415128409148,6564.019928481831,966926.4139066061,28428.588278363844,27863.883344718182,22303.280904363164,70355.15311031183
Europe,47540.378964200056,49910.65162029705,69978.80154977035,8066.896660243696,34514.58731828283,24023.655075558112,3086.3220070129023,79344.9119449362,222228.78973322076,8950.612411330436,4135.931284137779,4783.016272098198,825703.6390858042,100089.324113091,2495.6424570277945,8395.373262582316
Moyen-Orient,52180.34292482551,44971.87175777493,76689.65447719113,7912.784646928965,49246.261221225475,29923.709713819717,4677.4571806494405,17729.608468886312,80953.87785876353,3327.86471147348,4558.326782733556,5280.276136707313,30164.42950248309,618017.8032876238,2666.4720080207608,9421.484605866894
Mexique,5459.9716425754605,9420.643738491859,11856.260367602388,43314.85694420135,308422.5449046557,1384.937002209761,2138.407025012803,669.8566089296369,12138.602980470245,365.036849131816,1014.4892459602901,14530.914618173556,3524.4716805408907,3107.752844196311,1068860.5244395055,9826.547179519706
Japon,181.28237007824396,5614.580800509082,3956.3526424368447,270.6909120845681,1718.0451752467745,242.10415864532817,83.15370217839214,100.21943015021002,857.6209490424372,283.91788332356555,234.68334119546017,189.36567589942862,312.07643239403455,497.86286331681475,88.3932755465763,301870.42076886585
