Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9109578.24744397,58811.05978633294,116363.68197955753,29382.12760672359,163265.15556568955,82019.62833986602,13471.7920902127,21416.227205629435,987012.7851188333,8781.914437415406,15716.577531190904,24996.228265061935,227484.26764079832,56043.72312641617,11837.221485635493,68739.94087474629
Chine,10225.890141714524,4752032.615474267,154812.69532993753,15060.19824563219,117926.68757896125,4116.880879512784,2550.990034982369,11260.236605409293,75265.89351586737,7769.43971312066,7701.073486536388,7696.343782024436,22744.56276966964,16672.384779093805,3129.307622157198,60207.33084691702
Asie Pacifique,81125.17436919454,222924.9219048586,3775098.8186014467,80312.98954596986,611633.7123264855,221721.2686552543,19025.363211879892,77050.14175497722,481270.2089740702,55384.90867500384,78983.94293097334,52188.12342338337,195712.5504906485,104157.36390502394,24353.817298292946,636321.4494040614
Amerique Latine et Caraïbes,30633.060662445932,25466.908689617307,66834.84860424913,3863460.84708124,352464.4334547459,16163.045453903362,159098.07827341172,15233.094124822177,388328.9085035874,2890.4196823214816,6257.779947568231,21603.395626581107,79751.116175396,87953.52032077016,17963.7348225214,79433.19950784408
Etats-Unis,35392.38773272175,33812.09548887609,164260.20226820416,128423.01736331881,4767939.337299951,9778.54419834757,11876.072182850967,7613.42145977268,189513.44822298066,9305.04385649616,8462.162841853933,93198.44198488502,61155.27533757732,62245.14621468258,133581.29267090122,248226.82406542994
Inde,7415.81746152419,5098.860659752907,28998.480388269953,3424.5946074156222,28794.53444893474,2018716.4384921836,1162.2284953745057,4689.352394338898,35318.61226298325,2079.857486562919,2327.645909349108,2550.0956822468825,13635.506621439286,22060.90366916117,2016.278261165968,8492.46449008068
Brésil,7754.77027942049,15042.541504400138,35859.0458204294,67936.09425822263,61210.99598435504,1720.8412242054296,3927496.836028137,3621.4711033658486,114452.89917697353,1926.8348981554072,2291.3240960501616,3737.4467708806214,21420.394313953373,21420.904141390354,3044.5894523042657,19136.362582813803
Russie,21771.90952571066,168695.80310770482,263255.9708965082,15682.172213906388,105332.4568394042,7014.533771725062,3911.589908469416,4415381.287976981,568244.0132154975,2302.4067434107387,7308.161090288939,7132.565353141215,166493.58791791418,49713.544137158424,3045.6007104752357,416539.76735262567
Union européenne,33544.244032466304,11043.373086326043,41066.36322169598,17484.23589438983,66875.64175763102,3751.1637714365042,4167.00992530522,22324.93156456649,2589352.153416986,1941.9677126210136,5598.03820691054,6426.5296417098825,121089.69002701293,54300.28742632288,3427.917863559318,18637.231709366075
Indonésie,11741.067667886451,103598.23480136205,315209.97211997607,12235.583469911347,186242.88381156293,37856.936186625164,2865.369861623577,3168.603798398729,151723.73377365826,220638.99666328117,16882.320574771533,9323.603756115093,45738.86280807201,87683.4762641801,5562.4150398350575,144802.88269229615
Australie,29134.7507384837,27870.396247892262,234147.06023884533,13658.940489600966,168251.45567154317,24758.530739679834,3082.300091093539,9275.277364879297,73166.94031182645,28525.498541221412,2068704.3307202847,18677.741240773776,39025.612081627965,65641.78798309171,8879.182029200972,201053.87507101012
Canada,28153.49320465799,31464.545396591544,58797.978335913554,42925.07634703834,1045803.5066902514,5031.701461889927,6475.536634284133,3039.4123660819605,90719.42662629891,5313.812401839035,7808.3727331819355,796216.3490949243,30619.037141906047,21030.982127463336,23854.811938246792,122926.10603406084
Europe,8913.137627589274,2917.7531428356965,32993.94426633162,4170.227609191752,21369.469365508674,5047.002793771287,1272.8368070375225,96569.31687998559,140918.89736296624,747.6540691152082,1518.474240463528,3027.753776641401,1154850.2273851952,17915.111999450426,1108.1574756223413,6244.566543457878
Moyen-Orient,16082.173434062855,4577.239944200345,30269.46871533434,6702.400552414698,47524.00070849086,15766.722728747456,3578.8995941456656,3186.3104506050636,73270.611804857,1489.3801991807886,2836.6128992422105,3480.4850037460633,33593.01024051027,727584.6493129889,2408.728045171973,14230.342818276518
Mexique,832.3248179904118,384.0130732223843,2239.9715342639447,8969.850733589503,104067.77555305898,263.03981782551705,617.2015124804504,217.86021100474733,5115.044620455892,220.4490090839371,315.79622635904417,2019.581866018587,1409.855161567559,791.3443983314262,1016174.882420831,2697.4183940103308
Japon,70.1357611604266,288.8430682596155,1766.8016696178793,248.411248895151,1783.375670376908,39.8249389548817,33.253557124438,16.29645309225618,940.7306529560757,129.298349066656,94.48309640936527,82.21462854935577,320.15614242747336,220.4545889758576,42.736721862124426,285791.11611837655
