Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9128668.95093958,102535.42052989583,124540.08996063027,32095.976644151047,226477.4595423145,70086.34615615268,19114.684382299336,31191.631216443853,923872.5443384978,9133.199618876544,20505.262165485216,33755.73820313491,224653.20160969865,235670.53621830055,14593.314938181002,72692.91551571431
Chine,19893.325797736852,4468413.122871719,222699.29297206766,31080.879222920234,244895.01258671616,15290.654516084755,5956.619318371572,16868.41181481025,139797.01665923037,6634.3401864277275,17381.863511073283,20586.37823320779,54057.6776330318,51994.83024413536,9354.2736009055,99503.75854542467
Asie Pacifique,115751.73634605756,262751.27767327515,4047789.177167608,61640.235147455176,449477.3773693319,101411.86319121195,17336.654411768246,82976.815832862,444409.89457538485,66568.84311878588,90295.36225258556,49766.71625655159,190845.18084261552,201437.52756716954,120141.35106946701,307144.2203415219
Amerique Latine et Caraïbes,73483.47669818747,97762.3239919399,97552.16237326471,3491713.683219802,452630.4970087976,28295.312712999377,85097.70401454132,172236.70377850768,379570.5868336161,6874.2234236672575,9594.817844301433,31320.595981987848,85284.67946602983,83421.8662902702,53938.98084568369,65916.59777091673
Etats-Unis,35574.26541045448,99992.2906595789,129410.13990348837,98203.67788642489,4946317.305022189,9928.26981771812,8312.435733252616,6951.196111646594,116397.4022508751,8682.336122401279,8690.215787385112,90529.89328522897,48420.105930424324,46750.683854815405,151408.92100277226,110715.83880653708
Inde,11697.116561658671,15842.136836904449,45705.4725399016,4737.08687530534,35296.19807255779,1962469.392005293,1602.6500008625437,3760.478245585341,40733.09310488237,5451.895103039289,3541.0745726093314,3535.1014482018877,16923.6694223345,30281.750733792887,2504.0794211594357,9823.894945806333
Brésil,30474.32175616966,123023.63444648465,109306.32442419555,107873.51737970665,170593.39242028803,5934.067532287294,3336005.5315864533,59409.547429226084,165835.80769423424,3517.1380607772567,6095.151388842345,11187.765767626126,53564.459847551596,102712.21596009628,9885.40062781229,32220.14024113688
Russie,38010.84088587594,804074.9142278935,459861.8942565936,28321.308677314286,236619.11717917386,54757.13740808227,6708.899867117081,3408768.3593271133,528662.8740141769,7500.651525611544,16914.36843020948,19690.779960450545,187715.29082431324,101816.86181194172,9642.340325660884,293132.4781178627
Union européenne,35132.039790623116,17462.071215662407,35185.5370028112,11738.098200182118,70238.39680953977,8333.234388823883,3689.2994812305765,22299.024836814548,2528596.014838185,2286.2743519955966,6198.33857893563,7664.425325775023,120051.92188215868,41892.319287902836,4577.872097491817,22719.14951724523
Indonésie,6863.62733166187,42227.09107374471,67278.52263935075,4803.31046645276,59055.328259883616,19337.71442958128,3371.902782729478,2414.4108796949736,47418.74032607312,1010333.5427180971,8267.16027745689,4535.220943763917,16843.513606358923,27470.534558029678,2199.4986167319844,47160.0460856007
Australie,22655.005156728435,69609.87948404967,234455.02655894175,10214.797522653305,163257.73951201973,14799.004919323577,2413.4836976218003,11361.249221665576,69635.61636465737,56370.897105132935,1872938.4090165128,10536.116162299453,31919.39472631854,73957.435762967,9953.343160038648,237297.62094391076
Canada,12426.518410449602,25498.46757171134,52816.969549676505,26429.222762113706,632492.2452067586,13418.675629508418,4051.3089202589154,2944.2364422584806,57909.052442892316,5231.837779516294,5726.083656206327,1349409.2690311181,24433.376499582693,19649.532517005133,25791.631223200256,41452.05955094908
Europe,22718.342501239735,8832.614527216998,35485.942046284435,7144.73373896783,31367.37609484565,9173.389189455655,2039.8698873333274,57850.15763745786,174558.19172592735,1652.6626616544618,3450.9482652780334,3885.2144342327256,1079962.810597939,53907.739916794904,1896.7190375487774,8229.04833606093
Moyen-Orient,24095.085043311446,10211.486120031146,39539.764330112805,5094.651471314659,50837.316536742816,10723.064746635258,2253.4724025090086,7699.536965636938,88836.13817558599,1760.3399733722058,4361.115107290875,4763.585251583477,33416.048535427726,542122.8888063602,2033.6078639788718,10715.275388806087
Mexique,849.9341656945948,1173.0718396849968,3062.704530986904,7393.043155505275,141992.15221573543,207.13281191343592,384.7575907409737,160.30053258084638,4468.750039431739,80.92735400103093,347.93722314431227,3435.2548631147274,1375.147541410669,682.7101401535283,940551.9410431207,3102.039144646932
Japon,116.48550090583112,1411.663563259723,2573.5609180067504,303.8440454782859,1966.8254695565088,106.49691263241345,46.16295945901172,101.24452106322893,1099.992566438798,87.30684442074194,131.02608608211335,125.32760062078474,380.98373155778086,333.9431842881571,94.3834628938857,281263.80635950045
