Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,8954302.265019372,260896.98016662523,176619.81706335497,56385.85318434834,228771.87742993806,148691.98755769053,39079.49225659568,41385.15394462853,759779.4997282976,16350.348243356208,26720.03192427509,36006.18171358793,190498.01832657604,300307.48184434377,21911.437608826665,77188.7812689654
Chine,28876.350926075324,4597033.722467785,192527.29820976025,39747.18240735388,165221.56597396417,24424.607256192037,13123.83394223601,19368.7881671267,126038.69123435552,9826.983024569045,20713.85309276365,16657.650823100546,45369.34315710822,59729.74899950904,7920.1479004412695,73806.5830936785
Asie Pacifique,145161.00964194894,830186.0585794058,3436125.1967627453,97212.1042004341,347274.19349084,423550.30846510193,25418.468634905523,55567.404584565316,392089.1017534584,85066.33706210152,106496.98422123503,41643.089864764646,144534.44618734004,229889.26473776522,18599.226285971483,280550.2319440834
Amerique Latine et Caraïbes,105004.70495092841,192480.64374000355,118145.19587625723,3587474.9795266893,287134.95549294056,36072.69155487971,114130.60990301454,96751.10284990421,327013.69285424246,11255.368445741455,12700.627843496233,27353.035452475204,86159.51530220397,126281.59306126984,39037.78951800053,68002.76179285471
Etats-Unis,59700.5055457407,359347.3046286595,256354.27079817158,117156.72660601424,4339112.69163668,24358.61444244275,17559.125543481816,22332.487324449783,135671.01847938925,14413.216251388496,17393.231116689003,127655.22987313567,62278.70845233209,96816.04465970088,152055.59615157335,155551.0722095276
Inde,15670.416264024501,27993.25621623799,52877.62345942731,8086.034632351162,33358.10003191582,1920710.176979071,2976.122227838784,4453.11397268307,42032.2132966351,6322.545591782734,4570.452578107737,3771.399368856998,16546.81166857195,48249.581453184575,2481.513515588148,12969.197122308404
Brésil,40237.057283733215,129371.17013327774,102342.46283847815,113331.74744491793,70865.66358421594,9781.820900440522,3561088.1615013215,39417.965789925474,90301.29176142675,5717.783323585726,5203.011570559569,6794.024233539643,28897.83950827239,114722.6824095155,4946.40713687685,24354.32345981673
Russie,70717.51939926058,561767.0787363638,241552.99870642507,31379.555221528033,116435.78366963136,28768.20366253411,9785.423698849338,4553423.732897786,250479.02066842752,9407.142848288075,14720.877255245689,12015.572585020893,117744.74843685483,142309.28493077867,6010.182504688283,60527.60555527322
Union européenne,59843.919671021795,42349.075937685746,45520.45625948186,13852.604118515508,50478.03703685983,10515.80144043709,7284.768559135433,30196.046623756796,2412217.423341061,3379.2075614424643,9129.554027630715,7590.987302820208,133325.2377028598,68988.7531349582,3843.2527279026967,21026.626427548577
Indonésie,9099.35296221822,44248.34692049398,45834.89840150943,6576.374246396467,32729.584912111543,30547.529717478556,4844.043430643259,3400.1406371236235,33883.6626380849,1106833.8435910032,4916.08619738845,3574.081267945263,9928.175658210512,18712.88682196701,1576.1671266069982,22005.59622925756
Australie,32304.662236818935,155291.26421850352,258959.68070738786,18683.65702314896,100428.34643315352,17739.27494999579,5524.001016813118,32467.376366332548,83448.00553158589,87383.14368186034,1649812.8181114523,9646.338321166355,39764.58795099419,89317.62807899009,3082.616399606343,175332.92459247063
Canada,19694.307808961927,139711.91614687638,94503.37988429268,34636.33590414836,419389.34440874483,20431.05497825039,6374.543390556088,6513.0949601773045,65930.79987962588,6449.737298096888,8428.604241955425,1260953.4914489712,28193.177840567958,33169.74568389648,31134.563971582935,88609.76789110189
Europe,31957.071642517683,22280.030177533794,48658.97669086322,7028.375235574021,28273.112845258627,13501.167321470522,3836.1901585278147,80834.42708740223,202120.1278421721,3168.7653182310123,4735.544249712449,4220.474476900206,946813.1070991578,73813.09269614216,1813.4405870675373,8104.521071145413
Moyen-Orient,37023.326389311565,30747.26323980057,53111.92453884592,5959.938364075585,45346.49416969707,19071.754627130766,2820.213967225119,14219.786054633796,74156.23249324824,4704.670946814609,3724.586089562052,3591.7355649648134,32622.38154425098,497902.2662314793,1757.5224808765736,9656.647766520171
Mexique,2946.1926101775325,3454.3109718826763,5188.716601504166,12961.756194315698,144805.9839178019,533.6322518436438,1138.1361081757982,6447.6674330437345,6426.359146298805,244.15603103743987,628.741020966814,5327.361053433283,2544.627370970621,1589.9063920582296,913833.5688938001,6478.648856227585
Japon,1086.497831262603,2158.1287746661724,2766.535157879634,394.23764447710397,1369.86806434109,428.2017937908979,162.92636093321394,138.81340595579303,1245.468873089826,128.0384368490168,194.36423938660508,101.33285755431909,455.3717886971151,455.2175081859958,79.03269639001059,278103.2444281007
