Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,12354316.35230211,486514.12087460095,244999.8144178297,33843.488644991965,246404.96690537652,173352.42280191326,30773.62797571026,37550.3949728468,829851.7361237094,18974.944038450572,14820.016234884752,25885.855983282614,175393.06386161005,514346.72385817586,14161.576358950459,56209.80548367524
Chine,61774.2429153906,7769879.033681903,368267.6719897366,58506.658724624715,260745.72879741655,44745.22266334262,19387.310849879574,23422.478875592547,156396.96122979344,21005.073130004286,25004.799878337595,27913.37226674271,52620.841558417844,95815.7546774968,14268.490156910122,91788.87281714198
Asie Pacifique,152761.90502569795,2189686.862244732,4521862.893057491,105254.47680808487,593618.0875786422,262365.49189992435,31864.443241714453,76077.58918375228,523628.2223667732,152929.36870588633,113507.52697281449,53660.049477111694,155358.80514569342,267822.5731687864,24166.387021357572,306874.9499048245
Amerique Latine et Caraïbes,82358.68578970977,544401.7651603923,174100.89402830903,4238324.129320115,360814.9957834907,59946.65836926916,109281.2087177762,90126.32624472912,272588.7656642331,13938.279400007836,12779.380378762222,30149.38254077749,126036.1641929687,143879.7679382014,41547.34702533847,58603.248155389745
Etats-Unis,53715.620004124925,307500.36853589397,296667.0347686793,184468.62702101227,5003514.350237845,37212.86992164245,19656.211529623906,9756.40887686243,159699.691097188,21293.555357562393,14624.82708285907,131004.85033193321,53792.007462081834,98021.98961454582,174959.145370751,195491.1264195276
Inde,21581.531187345587,34364.97276490641,62124.26296878055,6692.273562701513,45259.222636678714,3186315.999108299,2580.052609202884,4805.583350981918,42042.23914303965,5906.108695910856,3277.282186308759,5081.688470200097,16172.012764328161,56877.32466505324,1947.957325093987,8376.096202574945
Brésil,50138.59843636163,336629.98079030844,171249.21742391717,175718.00778934456,117305.28804673173,32350.49014707845,2563623.244671374,8351.49518048413,119954.5980283785,9505.718424935088,6051.626095294287,9707.633595646566,55958.80281941514,169792.53853757036,11983.430031509033,27512.482822341033
Russie,116601.8463405112,429324.95171805966,209024.37823537743,23308.12679585513,88916.31986099329,32996.01317634794,8193.432341227124,2112430.3866188093,198302.08248738523,13060.886303645251,8313.423789478271,8130.344640648017,128291.52214468329,189077.41315319063,7343.40438608661,32859.31408039706
Union européenne,75856.5493902303,86068.98925333418,62660.458717211535,18884.49082584617,76293.95565873082,12372.636465473419,8073.417760737197,23735.95031334985,2379345.707337763,3418.9117562109095,8191.514073026999,9616.684323398105,191684.12072561277,102507.95916099647,5814.944779154657,23872.363981346974
Indonésie,15568.44507382313,63061.60544697842,49823.33949717003,5622.200909900522,33135.95449328597,36003.42540824492,3859.5092315891866,4021.660775120807,30511.275780656477,1564051.9731640427,2929.3917060228637,3437.0023276793313,7960.4798221256515,19385.18744230894,1658.893644472237,24611.43244558779
Australie,21729.03884163394,535601.8142098902,328447.8881450647,14856.355304935023,179009.25171828087,23059.203383824126,5862.269559075552,17257.161627080823,87640.56512304685,180245.77705013115,755567.430076051,16516.023385315304,36852.42036375494,93023.278116106,3529.6178016217846,224445.52787770942
Canada,29315.82574196844,269103.3749975365,101613.52620685432,39829.91972480113,642372.4353292409,15203.501747905186,6214.889200622884,3404.6398626963687,55528.476937146785,12204.63592400015,5973.389106522772,795818.1865917696,29817.82782599868,27674.241028783814,24666.946443990546,94809.78910520353
Europe,54537.050995886246,62708.68282314923,66904.61272597594,7400.5426570674945,37358.78105392789,13750.678391790349,3366.2780663593285,75626.15587733753,245582.23276443037,12839.232435677994,3716.8160096128486,4420.976349285585,802168.7594362585,95261.12562041484,2852.652145349084,9442.536484289694
Moyen-Orient,48242.25407415461,55629.61056535411,63145.121110172564,6224.035069660583,48012.65696659047,29399.713037242487,4873.045294377211,18347.93672243612,76181.97665568402,3710.6293519082988,3585.3132384851046,4342.302995471713,30615.196557993368,629308.8335478392,1635.6771901553266,9791.436513639666
Mexique,3531.4503232936577,13501.79954731501,14701.550624238971,41210.94547345044,344463.5923914799,1507.4668070976275,2061.2283589805475,725.1175891490792,13788.892882149576,570.0847609321099,1189.8418983310075,15174.052627438932,3780.4590426364466,3428.2878819527045,1032272.0899820498,13119.213925983982
Japon,217.18487191431774,6735.594829298833,4608.563898467612,237.364317612377,1973.9205660153066,290.5545207264621,96.17645718161472,114.4254599294415,966.8836446609993,327.88691228559117,215.706182442501,173.41873726684497,318.18488143086756,549.9088093931877,98.23592856791582,299066.6954870642
