Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,4361833550241.063,333349122838.7042,17465593244.52819,186946477409.5455,287669002226.1368,26379946006.38052,45657321118.659256,14057111041.013807,60559198785.62024,133256709816.49744,27788801742.12209,9636789271.764458,7159455161.539036,11351697276.84603,21515008585.35114,20756800907.99524
Etats-Unis,27609433928.593464,4615211712749.9795,5223564080.823366,95598852508.33719,54561515373.8778,7773461362.835156,15006051306.569084,3309542558.3837204,41515970147.83715,44147923682.11858,38152042659.80623,1881070595.198054,7996680123.019111,51603926541.43893,8140106911.555832,62674891086.13559
Inde,13661395347.786545,37544502971.493065,1454007693320.841,47455296813.11987,37344275559.142426,12283996803.922148,28590817414.963646,2412163418.8883057,17965879289.125267,8395986952.926798,4219887493.427116,2928685246.811371,1776623893.2075295,1906032246.8246868,3478147100.6077943,3049675797.410561
Union européenne,38535739359.105804,136772645382.40697,9543391811.63996,3234349564719.5757,48215012419.880875,25826720398.1537,37412500325.23525,21699094104.093082,132824248756.49895,29573683873.452793,18524936510.282616,3926186551.0236664,7219195619.528661,8755625606.616861,10472177408.616096,11200739916.946686
Asie Pacifique,118489919901.74487,226729256313.1653,23766062847.11748,214664274379.01532,1649954133150.6155,39184902255.36713,58605620759.30596,23368061577.518715,93353160280.53561,102475418312.1018,23551483866.693226,34403929769.96887,6572781262.775662,10117942405.917322,44194354197.92705,14975551720.903599
Afrique,30122672264.183727,107108103649.21347,18377620727.07199,180255833757.38184,30675720083.494747,1216453943545.3691,20047094294.38504,6065595381.794885,42943506509.58855,19279354288.993355,7683913222.813227,4415915331.388782,8824736226.615862,3900489698.4841433,4791515618.512119,7306053170.432575
Moyen-Orient,37956311056.63713,130133503135.97714,13361360202.259405,153635655402.47763,109204728845.76952,30830660740.9032,825156509871.8451,6635312928.528038,50419673321.16461,94247839330.93881,8195800296.49422,8285574023.826127,5268386938.411787,4890830049.16347,9801590036.761684,7531709058.440857
Russie,50505840506.69209,70216127620.89001,9998771810.382942,403544849077.163,80882744649.44824,16711853928.60572,39536688831.97569,867977882495.3531,141387391232.8929,26695870446.908142,24469866078.566345,3221245320.1587205,3708887277.3342266,3645987013.177191,4880163897.733228,6101426156.552769
Europe,16357945923.205645,53196768548.762856,4958850166.844675,170811026934.57306,25481421447.786995,10560644335.17898,26341621503.980972,48532172461.79179,1088241463481.2458,8456659491.155399,5730825963.221439,1958559861.7078607,2108634560.2023795,2225838832.091176,3350143931.922014,3997099495.9112883
Japon,37585398124.686356,58648420651.01587,2268964026.6940355,27305499937.90848,49282380322.38401,2134855908.3833516,7458006608.584539,994739246.2386215,8663874031.610647,933746079820.2808,4221888350.669171,1866746042.7463448,1260341788.801795,1884182746.2727377,4147027743.750351,2665675906.3834634
Amerique Latine et Caraïbes,16036068041.617075,153746721330.70645,3069121148.3145776,76463472263.6412,17420714049.889523,10215440539.207561,11932906340.087435,10333427531.851833,20091063301.07585,11621145996.409811,613652576646.465,1404755731.0008082,22438674609.802452,10114015708.632261,2418488171.9628463,8548426636.104092
Indonésie,13844075523.054054,26505115986.32866,5698126224.854002,23035442126.812542,37746296451.07957,3070525107.4257665,6055098541.435848,675838452.3292321,7220012905.595961,22443882690.075806,2172409213.446237,355201408834.729,994513821.6061577,953503026.0887818,5458100683.499484,1830343251.4734955
Brésil,12609274828.980455,31660777235.217525,1468701242.6773975,29014872808.419357,13143472129.653866,3490588810.6761284,12358296106.782377,5327615385.231302,7079832161.996799,4929329881.51228,22444944549.83429,508509012.24614024,648961626711.0063,3160574286.5375996,942991157.0056852,1948397834.809439
Mexique,1426355876.8510356,76595264989.0739,973763341.3987011,5233899333.048602,1932865708.4564764,287474340.30612504,581269178.2910825,150957668.96205467,1245852044.7074425,1300555078.737847,6162700127.797182,96036740.20381719,613793271.1293567,373375933063.79224,302464884.3845759,1940796125.6367645
Australie,23434101422.655724,25410700721.525692,11162900448.423405,25457325305.238678,37325035095.694466,2683314599.138667,6578375345.511728,1183223461.8127036,9206468975.007944,30540487189.271393,2506574756.7719817,3642627425.113976,1563284063.9450533,1980530774.1768873,366601667159.1524,2377990470.453733
Canada,4497056622.8163,186708462411.12778,1127506938.1718712,13891057994.610304,6591924766.664376,1473605716.940306,2141964126.9193406,608449550.4137233,6070598760.969313,4910488762.150613,3692778806.3605647,392442539.2188116,1143763171.3134391,3392706188.226032,1221359089.4351437,360808645958.0302
