Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,7130418373361.981,402117066396.32355,60367989254.024956,291184926037.4158,444251144779.5331,75337191732.51616,150399485911.4373,33956815986.463997,91937660722.99063,123914765802.13113,85079963288.32948,19638879652.74653,27164187629.081455,18630595738.71246,41198319608.11503,35280761558.54661
Etats-Unis,39653014845.79676,4327302646301.888,11172659386.927433,104065631995.8028,50663848408.27987,14545164109.603249,28424384359.207375,7154846593.550936,38327952418.201035,28133847028.41104,60464880601.49124,3414309040.458203,12302761979.696205,47690022509.803925,7719889571.923714,60272782320.64528
Inde,19509007368.284824,44041161553.876656,1946315880170.0093,66576798416.9387,54197339942.55204,27644800771.029987,85393513300.58458,3876136660.5167823,25076563021.73907,9005339241.46207,12261243181.822851,4616757081.726584,4649142683.96065,2211444741.1976433,5448377524.810002,4082900856.972779
Union européenne,59718369305.32097,103678166752.78214,16991829111.311398,2944133502256.112,51141416884.833374,40232485886.8644,54612807214.174835,31945863048.190342,119191106854.19981,24485799897.374763,21629106579.455402,3605744333.051268,10976254056.777689,7953145710.541757,10422489492.98488,10661636400.874851
Asie Pacifique,185978863288.584,181124516906.2243,54572008426.3626,253118739132.1724,1841349866903.3477,86240613515.631,118127271252.39813,30954750984.160583,109963815947.68198,91237015722.27531,52130289222.76366,45931320486.30419,13621974376.648483,10925655449.826332,55928008234.499916,19397742338.21841
Afrique,40880863948.85446,82341827178.38336,27162323623.62417,146613397332.5617,33442492033.2999,1441670698084.3743,43417561814.276596,5822613417.946053,34279312979.575573,12626570292.575573,13580686858.282661,3010860644.6062565,11824438072.841917,3943613194.215996,5165826553.901609,8846996463.391113
Moyen-Orient,80401158932.17065,138447176856.5306,68729068494.7952,168297265366.56976,125675029259.6724,67487699939.3188,1182004467627.5342,8209027912.911698,52404719666.51502,94178442712.78122,15562648542.688707,13288912245.042187,9380971252.995749,6185559708.209865,15610761217.45646,9596105807.684156
Russie,45668447514.025764,44374900297.90308,14410213617.57454,341370996635.4229,67696475049.918365,18554974346.77281,29654959924.783966,956895664575.5881,133713314485.8313,19318733164.400192,11849415404.08612,3048544476.3815236,4331894013.878125,3249180827.5449286,4561693069.092228,5261324930.339789
Europe,18181822194.679592,45769822515.19194,8815383961.631733,141423475393.4292,30578822473.4151,23484572529.65929,51219290822.98746,32785391465.94044,1016221418850.4265,7732192381.818557,9380987283.518776,2151354073.798126,3790273868.548123,2441839311.5870724,4212014452.251565,4701885211.879162
Japon,48810584665.27592,37173837682.79817,5665503195.515342,25860815741.691776,50686734553.007866,4911176684.002358,13822663691.118689,2128485479.7409794,7872401392.134357,835225308058.7035,5711250116.474454,3007811170.2625704,2527756968.655556,2160423635.919351,5046568642.671273,2598311366.891332
Amerique Latine et Caraïbes,33552275502.66967,122756062899.38821,7216149561.6648,77028074669.1807,25999836760.95344,15448716799.761465,21871254510.853294,25348696159.628174,18550822566.877777,9125308086.029007,778084417328.2822,1554978716.7648544,27246365075.562954,8208972999.203446,2766267668.0204377,8079281049.863683
Indonésie,23083281820.732933,18485821582.3597,14648343105.681843,17924200955.2424,44096619606.06303,4664667900.437814,9175290409.553608,1284911166.3437474,5419220156.991884,12749515278.192806,3351839377.651271,480719780266.70435,1579325118.1854722,805412794.0470021,5012762793.861509,1340590296.2945225
Brésil,12821269458.652992,15671807948.499624,3059398774.3225217,16866781472.482775,13428437473.996153,7543669579.466474,22299532790.675297,11924866109.941294,4693763492.768875,3095037935.336083,26984850196.16124,839611077.7147486,729013842271.3236,1393673709.8871732,769153535.1444904,1416923277.1515667
Mexique,3045540491.9479003,87591972657.68562,1584100229.9285307,8229680956.987321,3357140877.194666,1143013783.9901059,1679680025.421871,331755667.1749037,1842286893.3128047,1807852710.371248,12041864884.339745,182995372.0877002,1740079039.4444835,404915881467.7031,595795691.8653463,3873515703.963047
Australie,31226656877.790462,17830539162.5381,16855919961.94088,19607405033.79201,38502651588.939835,4439736737.265009,10412245539.00235,2293083524.7821317,7228903669.870277,30251175924.928547,3397866083.2370133,8147661504.904297,2045881165.6824086,1323582209.8620262,419860472888.64575,1932559992.7679288
Canada,9122212626.320017,163903802159.77136,2353806793.3098016,16149139461.364595,8279231279.128777,2706347360.2436433,4483370885.096162,1200972996.067561,5495226734.247112,4732542155.613009,7379303969.878466,705702839.1781214,1552786381.8985226,4706500710.800421,1446360116.0714996,343523861855.32434
