Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3498663198791.064,193719547866.76544,7388307633.817383,110183740452.33096,197700767832.79422,16147469686.660076,23677875915.56987,5384244944.158005,31646232101.21366,84455745993.96242,22366017700.14186,10460286943.021244,3706925218.2505603,5131432730.204223,12484003995.454895,11209634346.94074
Etats-Unis,15726991224.525242,4386962866015.9624,5760394696.113207,108905645540.2923,64438766462.32695,7421942546.163349,18974746420.67777,2367848487.5838356,52325091550.18426,64370539103.215546,46413625046.51412,2415413432.922251,9945418902.385012,52579345852.9473,8882053856.379541,65858691564.12937
Inde,4621850131.649215,26813189459.4797,1428216541681.995,33351195048.71759,31304287983.68247,7229957510.454613,22774412631.61889,2533382655.5853424,13113226199.31126,8197672661.7290745,3642264863.9690347,1664949974.9863203,1004600285.1751515,1368018261.3911986,2751884522.596204,2735414058.8278937
Union européenne,19653533133.975998,136905039831.78764,7529188779.745281,3193242330945.6367,53453993136.44976,23570009097.76237,40064005921.2009,12301606607.295889,117621608142.06491,30267914839.27353,23157295951.658634,4593379946.658443,8124672937.892009,8953477522.58312,10934783380.585403,11692347852.775845
Asie Pacifique,60503477431.22629,230117400491.90747,23966823604.005856,195455868217.3471,1421001613843.58,38844743887.656525,46259863684.75755,16540187697.724014,69734298148.39111,106464834352.25656,28064917963.801514,32395454798.27732,6365308926.35848,10160472503.04827,40366801081.36805,15497330161.92777
Afrique,10674999485.73482,105474634808.75278,27595025297.36442,187607932279.7661,34682260415.218,1109404024175.0718,22928388857.773895,2061440212.900631,41541751596.31244,15554625130.949265,8841789952.633644,2482280061.102959,11563851283.744497,4143610128.1366653,4477191435.078324,6936491926.6276455
Moyen-Orient,14875321284.738852,95578789173.54192,32665399640.945107,125239515128.76181,76730371824.95407,13954981293.016848,760672263144.15,2179949871.799774,40083024618.52665,80552283441.39903,7178256764.743899,6622375278.215585,4729217070.4237175,4049615269.209177,7835299150.219897,7137153390.189105
Russie,36925168884.21152,73566968780.17313,12483571775.680513,454059740857.7151,104155060915.89172,10129912494.058767,26846806169.677155,744679672359.9652,120221129725.57361,28329191276.528553,38115916200.15006,3733384739.418946,5254746052.481834,3938245786.2005997,4978669210.706924,6266906215.94293
Europe,8898219666.583706,59651147339.131546,3764371220.1765556,156965372343.5077,25358355406.147896,8243389175.369443,17439118176.242344,46537877589.98918,1050796451523.8137,9178437050.5345,7331038458.615066,1904871965.196951,1970742956.002121,2595845641.335477,3722358426.254469,4581599068.671083
Japon,16663683602.234814,58387535919.912254,1539953979.4001846,22618616519.60656,48915387466.314804,1774091153.0800278,5444865723.595038,340577750.4173819,7180680201.698424,937796501943.026,5058628858.165926,1448035716.402017,898126436.0960866,1635216698.6670306,3425370034.679377,2556113502.028876
Amerique Latine et Caraïbes,4998952895.104395,137368941803.46652,2036666785.0593283,57919392680.2303,11784117245.581528,3837383717.6365914,10338882561.699419,1494276658.8426824,14982321509.508331,10593819381.671816,629072628178.0543,1285825802.333113,23333679757.31286,6825132417.070641,1802981097.8087668,7495214406.579472
Indonésie,10310239944.596584,25137677514.635666,3281539286.3111343,16492122546.467794,39653606887.94326,2253928068.5848894,5885110183.403251,402631348.61844,5567629736.6117,19176880150.364372,2423710227.3901644,317877340922.4849,705574845.4886811,788265608.2732301,6538306683.722106,1439700994.4640834
Brésil,1525805099.4460201,17752174738.294426,519625630.0034827,15128017076.17053,5837544046.706525,1064075777.4928399,3716633976.1944084,456644382.31985223,3368951239.356157,2407899081.455588,17183882343.822784,242201084.91096386,627381744317.5894,1195836759.0921829,603609029.0607415,1075439631.537417
Mexique,460888179.2511576,53568566751.537674,211617615.10588104,4101471767.064086,1586530619.7940345,211684879.81141353,461424993.52416945,71920453.34842454,1271606630.752842,1243280704.1508803,5905447849.883171,98315092.52096285,477721309.15817475,349176683425.83685,311571242.2718898,1500534592.776665
Australie,15233553372.735895,29214992333.22912,6045321755.684483,22740454067.986515,43049373718.8012,2770550019.3152046,8987796049.465273,714760567.0013822,8557374377.979565,34301677004.265865,2927938101.8290935,3534684198.238994,1302720719.95368,1358806658.8625522,366625255041.1318,2881664694.2151866
Canada,4068423129.8375697,163992152600.00275,935487218.4732202,17875111793.374104,8315195230.547888,1820294970.0522404,2689174901.020303,459824462.1507251,10511882617.554756,7483886570.906568,5278044310.241861,584094958.7263314,1300306725.104248,3602222635.7678843,1466086697.837809,334161752722.9486
