Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3352099829327.8423,140891058346.81573,7352703685.358536,105804278930.94612,274702504655.6465,13643574608.16043,21938125409.09466,12490658243.626114,35604176955.8446,112707856954.14503,16935899542.553171,13389021392.85687,5426320258.573441,4155988352.2590175,12022089354.848999,8344505809.0991
Etats-Unis,12128299959.14661,4212433901790.996,3252553793.719734,101361379785.95801,80850647681.77773,8139698837.221418,20100202482.36177,5510474916.359589,49741203437.19331,74760566407.61417,46645236529.11528,4148988219.695722,10229487197.887861,32265788488.30592,7941044721.263991,44658317453.346504
Inde,4171459477.1719522,18800781355.868282,1303426143481.649,24747167379.281185,43535464076.13559,6117689320.151778,21244776992.862614,4590309715.595017,9743133749.577372,7176148780.561913,2962008310.5504446,3158350530.83351,1101991402.2025733,834865256.2692153,2107241555.1118321,1488584676.5804906
Union européenne,14967974037.634836,103981557062.54318,7606256332.539176,3265474976912.317,72908678025.1841,28073157267.463696,43582831231.63198,34362073815.10962,117102183845.04703,31809649236.21748,25157314391.146564,7152341418.194795,11196567018.48868,6710314431.5588045,9245057812.717613,8833708366.292368
Asie Pacifique,61677588967.86499,197379722246.09058,12290943636.148932,174832601833.716,1417817916359.2002,25287973208.959007,25553146412.567604,8809226322.492119,66261018704.36466,140180768873.8526,22128734439.37889,49855743300.54181,6464462294.154386,7650294872.352063,33055176409.00062,15164322904.069029
Afrique,6993673342.870319,132846495243.99643,17373611431.716824,258893745553.11484,39124307825.25739,1071202230206.4402,7944420104.764857,6002342020.466515,56486606797.2318,27072134487.260525,9098888073.229736,4497080060.7635145,8311040384.868593,3573542509.1568565,4314672143.501345,7908513799.967095
Moyen-Orient,12206800454.457209,80913969033.44714,18981494975.106453,140965491319.82834,60225568292.29265,7247201029.256868,733745623016.8839,2924881231.4108043,41797803081.50688,104284411224.5949,6062579548.115907,7344468098.384139,3221758091.013712,3011795893.5532703,8098051772.042645,7297094532.91485
Russie,33215877170.337643,46100617142.60472,6129986949.963795,469913439905.38983,67671373653.044556,7025070965.338582,10696657573.380928,1015381495519.7098,92963050120.9726,38324402555.51698,7251010694.380967,7309490510.445271,2815293864.5095253,2497322110.072522,3004555053.0557165,4411848430.753979
Europe,9716987899.298716,58615736961.8882,3830973673.063525,205295700700.02335,34879688271.024704,9471586592.118694,20325088503.971382,7096740509.795929,1085306339057.0261,15768223081.434155,8198941412.035337,2964438842.119913,2900012499.1989655,2471088490.010531,4058677571.4646807,4520851826.959188
Japon,8039374742.549655,47590405661.8562,11158732769.733322,23735314461.18977,58880640372.38247,1887168267.9404836,5530158246.28335,876512303.3790727,6918425067.812783,953888395398.5107,3324151845.0403056,3619449365.3656096,1409465958.6171005,1162908076.0251188,2714815418.3501477,1493226822.9458656
Amerique Latine et Caraïbes,4656404840.801688,142462321699.1797,1334379244.1482363,63803940636.44236,15633061077.41061,4399467264.542078,10489815947.581324,2066582743.5630789,15570494817.279997,12201033988.196949,590356393517.8932,1871457237.924432,24096838519.072544,3784301822.8384624,1681054351.1583557,4743815559.5434
Indonésie,8462790355.78892,15344157401.102095,1240942184.615989,10904173879.34109,35681196463.19522,1127370430.5004048,3099761754.5459895,734030809.0241792,4012100759.8174415,24605962483.71213,1417802194.3084946,323237592760.39014,499800591.98791444,477778673.1842668,5013235464.535215,786027360.1183463
Brésil,1089520027.297707,10871175896.615667,294557124.1690447,11535754187.910059,4929267775.552488,454956163.92857456,534959527.7451086,209047449.61426774,2567025731.615244,3590405568.616271,9767896581.018345,550378486.5627804,595233160278.1456,811034622.4513831,417510131.55549777,715978389.2506727
Mexique,679644169.7362465,49781863623.43825,216260908.50677103,5077040596.187517,3197566663.1184955,366959377.75114805,778673592.2164121,334095702.73680866,1491209483.2236185,2150899088.2431827,9139738353.762934,397660581.5768826,1311692209.3108006,315493466566.13995,348624149.0387277,1230619939.4677048
Australie,10392848993.262032,17469338778.30061,3897197160.5436125,14964781881.679832,54784222575.57462,1920066232.6256237,4794582623.164953,945782670.7608895,6573495214.708851,26160582702.256233,2263886911.251342,8051606521.004668,1800308645.4063041,807564577.2820551,315778673292.1168,1912550870.9568808
Canada,3667740798.8827624,126012816063.61725,701910714.0491047,16334951576.010513,10939972755.605553,2137361905.1859546,2967828368.52377,989243581.9537649,9131186010.00317,8721875782.860233,5195246364.740459,1005000790.0637294,1885137860.1388392,2145717251.2525072,1226716235.72313,349552541247.6743
