Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,9579002066603.65,387282468593.4746,91919575484.59424,231014366147.7804,566956515329.915,91023797593.85674,161691115980.89554,37166990821.29587,82447587506.71002,119591316430.5954,127642973951.8074,35464021661.88329,33362787517.029583,25152487039.337467,41355268075.3398,42551123628.59378
Etats-Unis,76234059519.34833,4211749755007.1323,15613811806.966671,74869460448.38828,69798560980.8088,13013974166.88226,28580211336.17344,4765725145.071018,28193052563.263714,34814006052.823975,81218306389.43994,3464058583.5941367,16952016608.520515,54205435197.616394,7438825431.235103,64799955718.91623
Inde,37582754967.00856,67897327347.36257,2734901233970.6865,64115527649.281364,88433337975.33543,38236234905.97755,102087874278.42607,5540038476.822307,27392620390.9329,10044767952.909367,15501261496.771088,8559909353.193961,4864479614.798718,4277171237.105686,6334454130.509419,5584710356.096531
Union européenne,90237114588.48795,122300496850.41121,20348323867.862804,2794685529292.814,73507548034.38466,54712764885.23171,72502640544.56863,28624936605.721264,195055331711.1301,21235735849.711086,33653889425.85144,3996461539.814224,15753511673.607418,10090495259.239946,11741817613.773212,16415964850.046442
Asie Pacifique,438112908587.092,222699844519.9495,76884417179.70636,243618611954.99728,2298354945936.289,74130495273.15906,105663609395.07074,41046254179.783264,94558170216.47942,124417975867.1437,50742955345.899086,59106748305.200676,14229727342.833569,12049355020.246244,73590651093.18921,22917140806.208153
Afrique,69392425717.9844,60912715775.102325,48018937999.7634,144107567397.4398,52417359015.812,1853483109820.3574,75378660001.52869,5917862207.157575,33879330951.00444,10462688125.309864,13949017940.142548,4842387690.1810055,10094685518.484993,2989295604.604103,5401333948.670202,5793760011.53504
Moyen-Orient,192292552818.88367,170363713318.66064,106811762738.50626,180615855649.802,207545870504.1014,84688604549.148,1408387080154.63,17834566373.28242,68422508745.77466,86180386580.54033,23642056333.354816,17184003256.40172,11370823606.436829,7992689319.229108,20099079692.123573,12764811456.68928
Russie,114280829244.82646,41641538481.75318,18346825211.645885,236770253502.99124,106139699485.56477,21446238677.915554,33106200184.491154,1157372294993.9814,131725507836.3729,21183380116.279163,15206958544.246578,3840501265.376085,5541489705.971019,2779274363.7868085,4097164072.8521795,4361387603.968382
Europe,28972172075.06192,44474210983.63562,9446671867.588718,166614169643.60028,35148275968.68777,25424436322.109238,57512275409.15393,47327899041.6612,1004287639131.702,6824239098.518885,10810191433.89429,2662423268.693984,3392616396.3705597,2031512803.616845,5971158328.238107,5644741108.242521
Japon,87854189634.60135,55882808180.88514,10837181202.137054,26095537182.808792,84017243384.34877,5490108351.0563135,15965454180.454348,3139427425.778343,8949810122.059116,921201372029.4685,9624005584.121168,6945892552.903408,2630558205.9198675,3264127783.8706503,7129364914.535762,6398704878.931445
Amerique Latine et Caraïbes,87975768209.03581,107131076753.73154,17722007333.626877,60787974237.51109,39074756822.96556,12540743634.643627,26145684563.372242,25756957004.03344,23832566208.632874,10250855675.309313,903559172618.3461,1964532839.8556924,32128149814.32278,10383376620.942219,2535423270.5472436,8414301312.385149
Indonésie,60687553347.424065,24481106543.855034,38302880506.89594,16860190289.306997,71468148559.24582,6112320810.860532,12070216300.902853,2165833696.5021486,5763416263.14447,16242805991.364773,5019024128.076185,613670005460.7098,1918260006.012507,1278588042.978005,4317013437.86746,2095775463.835248
Brésil,48374889531.31359,24655273348.59256,5365231369.585311,20744386578.63725,29935852850.76224,7167711527.7123375,39632673513.13019,7414517325.794556,7582246534.50692,5126347123.590504,39827183866.225525,1336974507.1784594,814529285691.1556,2387452946.048509,1013101978.8043178,2470640982.4553504
Mexique,9847549509.757927,134166952094.12315,9136184067.007454,13933103108.559824,10857887467.88605,2291530851.2366533,3981602709.550115,532676695.4151195,3212944989.0321074,5129279235.649001,19413729701.44752,363666521.6681638,2837300092.310827,417464419916.95306,1051744620.4580156,6944931190.620828
Australie,71143664297.07635,25590003794.82488,23204679460.12537,17132812778.862738,58057842942.43442,4668155130.42086,13204906460.4869,1530956741.1302154,8201964024.928954,29144298906.862457,4034503736.2179985,15789856639.087648,1901499533.7019634,910245190.1982142,394635650055.49274,2413024025.802211
Canada,20054338329.04404,229611223779.18854,3152384328.200408,14771477536.442194,11778225774.695755,3127590892.167144,4243341484.8289366,777396075.606051,5172166662.896619,7154569751.003374,15565914815.742273,769032364.0172496,2854873636.4025807,9381766115.321323,1053702770.1076301,329881141145.1088
