Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3955422603669.7295,273834223759.81042,13189705669.262468,130689260232.65727,240381843007.85196,18942402684.572235,35617812441.33125,8727076559.400736,45360178289.7263,102478545397.96716,24638933770.840214,8050552716.670956,5381192591.448774,9655951280.63707,14947507371.167934,14645658236.156172
Etats-Unis,22741529730.93295,4611078710395.316,4628476726.752137,94792414176.96521,59372121129.75003,7624359952.6804695,17379935883.830738,3051333943.893408,45294490879.20786,47538961017.15258,41223311350.83465,2111842092.4766178,8159282021.416259,58578901122.57189,7318805411.264526,54372600485.43099
Inde,10964126937.21719,40862552636.1899,1418298092384.807,44858123423.19418,35467880687.348465,11937537639.712534,31368293072.493313,2422103305.7196574,17558387757.19003,9104415534.198112,4476450044.034547,3016048410.2624993,2078009661.8634424,2198890526.0964026,3289105639.5138087,2995397697.532406
Union européenne,32856506841.046898,153280898747.58115,10343108445.099178,3127848774661.642,52552756920.98495,26835128711.058426,41107535857.77859,19204070445.356422,134816451795.03828,30914451512.863796,21178322345.263897,4230599766.9373546,8329378668.9148655,10842044113.938316,10486518936.477327,11042844335.254751
Asie Pacifique,110896173471.11848,233356418705.93988,26827811274.857586,222558610878.8219,1488877279871.4517,46651751601.75725,68036901008.796074,23713124052.780632,104180437156.8891,116336598690.80609,32996141008.383392,39825896898.785675,9114092841.621975,14049214955.462494,45362367973.01929,16781752612.259932
Afrique,20462111366.820946,95394309408.28104,23753437967.019115,184646013544.50482,31173158178.23717,1129424206029.7476,24539326422.281006,4575272118.379695,44068581205.160675,20055948590.26545,7872811579.650541,5160570219.776496,9344899944.974054,4490089058.762193,4441176996.664206,6911518726.459503
Moyen-Orient,27551102327.244644,114691133395.22322,13693379260.933187,135451256283.85123,97310491255.76039,27166993597.916557,834790733600.9398,4674958803.353738,46769898637.56733,78407384440.2778,6645767808.016702,9213474831.650646,5379313544.748473,5038040847.721449,8030729818.6249895,7818096709.870393
Russie,44887994807.92705,79780104021.72914,10094727319.103312,414616274362.15283,84804148517.7778,15175844903.991488,38387533942.44086,819063585377.2998,138660555856.57584,25318812693.627678,27539261805.41,3333866291.8011866,4450045708.783904,4831021887.803228,4637995436.87065,5812912931.752353
Europe,13261397440.92039,67081269738.9059,4647658601.445776,172991194960.30072,26519646760.06438,11903141741.160816,25892065416.934074,44992576361.60539,1011154579110.5718,9267524807.385323,7056833651.651815,2459172706.218563,2292160969.5207834,2865067595.024789,3277863928.9434495,4301445679.437443
Japon,27277384383.174355,60454542541.37131,2327867766.0115914,23500677349.218075,45024720694.9922,2310553170.956371,6741982243.5527725,696110140.0818858,7926104767.450223,940575409007.894,4586710908.871467,1829278463.3672497,1188859035.6386356,2117820299.2164652,3030016785.4964895,2018691203.1690006
Amerique Latine et Caraïbes,11338871762.294476,145255297949.72922,3013749810.922577,69830765832.00214,14700258905.217716,7990565394.273227,15529253375.379786,4062350901.0937014,20328085189.033737,10351191255.015373,600800389071.3412,1210967725.1288207,26134717092.54897,10112559146.828825,1973105468.6162286,5863292527.469888
Indonésie,11710143330.50474,25629406310.209644,4298997891.38341,19035683725.45481,31950447600.26587,3285303732.062471,6194875728.648578,594749103.0630314,6069411541.742436,17907328966.566933,2243441705.3413486,349037436521.81274,1043937915.7528032,962483994.8278378,5215104524.220759,1671640839.8095336
Brésil,7965326150.219379,32733514415.150505,1777949230.465725,26314113028.087353,11411300521.777416,3196770928.2312884,11719748339.35218,4990716430.833144,7041636021.32423,4780702222.438239,22890056271.238358,551047944.7698671,639498027622.7721,3594794214.759258,841278795.8587749,1649166979.582193
Mexique,717740042.9705505,60056713491.409935,519897767.08280605,4046553647.5898786,1492486279.925362,226432448.43021536,541138823.7806464,127867098.67548017,1042999562.3397143,923040717.7304088,5609072565.246036,70790249.4425647,523907928.17704135,370352862035.3763,214627949.17337644,1262326180.0404892
Australie,24593181680.72676,35258466281.26228,9526742446.67531,24519005797.07005,50765628261.7723,3513003436.292447,11111313081.457994,1243049526.6842742,9580508695.642233,32427591529.32165,2958944203.2050085,5606553933.0234375,1368852166.543326,2544707653.6291223,402630748706.2535,3685274275.5292077
Canada,3799071567.915373,195916370866.98718,1024696587.6225265,13668446531.5409,6737070474.19726,1476285428.4276433,2187133230.908584,578931714.8331764,5553568501.748851,4688378062.621053,4126941480.98946,450421017.00951105,1284513510.554819,4281646691.821449,999191078.0321925,338448026103.25323
