Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,5234555369373.194,482959546389.1853,38471493842.072876,266095240736.27625,474594099144.20166,35616569479.09605,80847954054.414,23033115680.142094,88945392405.9538,159930325525.1902,50913403402.53569,14660796976.462366,12280847635.200108,18068010608.155827,34420163632.3787,34095757924.147526
Etats-Unis,30199327316.31609,4759315287593.126,8219706030.573357,100974224568.48645,58718898352.34545,8871112414.922453,19546692905.538284,4828790095.480828,44909397440.86702,36601559936.867294,46704078162.69327,2268005348.5539474,8412784842.241377,57294254429.70469,9180072849.828386,69226876471.08275
Inde,14914640806.56038,45758654557.92248,1555102549009.5952,56405149682.36313,49391110489.53311,17273739765.845093,48261985351.773125,2815413251.834294,22068813998.00141,9166808387.450397,6220284526.083962,3676698435.59163,2872134408.1810975,2755805701.1698923,4434950514.46237,3878945236.7359724
Union européenne,41424925724.645676,146244706281.09534,13451373631.816248,3196707759223.765,58152584459.60355,27793631736.0382,42751419590.528305,27999249420.26812,138196834718.59027,28680623364.55019,20943136683.70552,4221231611.385496,7993286560.26009,10449928417.988575,11964036494.442434,12733850803.658693
Asie Pacifique,153409209231.04865,249596191324.13895,49484184662.493095,278978493643.5467,1562361241899.3333,53636778788.13055,81061484093.86325,31888202456.13263,133581612825.13026,129608585688.71542,32489953673.28005,48328123260.95093,10028630071.659714,17924387651.11216,65167103664.93225,20713217855.938232
Afrique,34781706125.343956,118721069677.76195,13070971895.25447,182018216927.7093,36206309452.14374,1283298013274.0676,32759435893.23011,4949209606.587043,44265520901.6996,19289217606.615234,9892447285.88689,3153454344.3873334,9864335995.911009,4983568168.99044,7410344474.970465,8906008354.338722
Moyen-Orient,46191119547.15539,146562528045.34384,24855361864.297764,186966361103.96664,117318297261.56966,36955781136.50112,924240892291.3545,7845978184.41964,64670339952.85331,99984536261.7543,10356040136.352203,9637586568.897224,5936767447.091288,6460158604.125461,12762780658.023497,12598819786.7202
Russie,39929767880.139885,64845705412.40765,12431913973.271084,390219197243.032,81898758016.83737,13540004948.052635,30608267609.32436,943942346975.4601,149795633776.57275,24476433931.201523,18137596776.76673,3365653444.033483,3428490162.2577934,4121730812.258308,5198189011.411613,6720726978.360596
Europe,13369102651.826836,58698785466.46717,8846478178.545395,157112885928.60352,28082794163.25179,12443529675.349308,32477831813.104805,40754798239.941666,1071455148355.9312,8728315404.46547,6993570129.835173,1869562052.9385724,2198375911.319446,2953065614.245126,4187399861.829005,4892299842.625563
Japon,43143717945.30295,67048831425.52271,3793493677.491784,31364364100.978878,62635939626.37839,2962497388.443805,9524508340.060265,2002807280.9498606,10793635806.950817,901459230804.5583,5945626602.635794,3032141399.4897914,1730854813.2498739,2825662306.6455708,5344608147.930519,3236529634.6108823
Amerique Latine et Caraïbes,18430571346.165657,192674524261.02182,4095821430.12915,78013447680.99603,21064483112.28527,10141004771.643145,13879769863.092302,23485337748.332527,20269782628.57644,11302016384.297068,639827325622.3746,1782776991.9129417,21062406204.102253,14240344750.484104,2411263831.854625,9649761336.954412
Indonésie,15681271265.911219,28334930150.030193,9572377807.458223,22224972894.269203,45634422712.8365,3417473303.627047,7673556990.562222,1163827362.5508296,7176156772.324338,22017742810.615498,2772132858.112181,371543268138.1048,1208676907.7608075,1080555618.225315,6039655553.973557,1811027572.7977538
Brésil,9494126515.35621,31662814906.414448,1840359042.681762,27972364279.33177,14576183426.910913,5542111387.855254,15757511435.83137,13121222178.954712,8093551961.226971,4303366747.282348,27926834720.168015,564526348.2314342,708107447328.6163,3659913201.818291,1001111680.8044146,2153873237.456642
Mexique,1512888799.656468,91872392115.01903,842623692.632267,6957303105.140869,2381079277.068724,392338514.69602585,884432281.9312942,189847463.68851513,1572851139.9709182,1413956861.9706745,7352999594.223461,127704055.23781928,702916682.6306237,380479157960.3283,422028382.3639406,2897491314.1165867
Australie,19229386779.02191,23281412262.53773,14503954931.851814,23788854310.150776,38763434793.761505,3267323495.622283,7153007616.829736,1428463158.2196207,8023108821.829588,38219277927.947845,2494377736.547459,4361422184.675693,1664243976.487642,2630658483.9381976,386826564329.3958,1921090740.3380558
Canada,4934023426.527509,191670856765.6346,1370486565.891994,13796781242.256155,7673954764.091596,1507074824.4324598,2408812070.505899,750707557.9154335,5052421103.511352,4978180172.543878,4489243556.14583,482236523.7422981,1066599391.7711356,4393770830.117468,1281933951.9919982,361682027373.927
