Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,9512841884773.365,410860247972.777,75575714890.38396,258326438610.48447,599994813497.3953,79843818283.73117,162998221427.7532,32922148455.855587,94779638175.1709,110112407712.55269,117854291381.9837,29131491181.611378,23537311814.342155,23464813532.627598,41704876856.81944,37771964666.000984
Etats-Unis,70661505063.29343,4063505315447.6562,10271429659.424278,92910567873.36142,59527381979.71387,10251476485.727295,27331909510.772404,5378372922.977534,34487335004.95956,28417508007.12787,72831558234.89891,3431703153.340904,10930389899.363392,51116814931.50657,6762810602.914976,58061008805.352844
Inde,31977950198.6152,64689658987.85502,2634802893247.3853,64047541913.49143,76547424355.7631,32800385498.67719,91595175933.39267,4913624474.039688,26929842033.403282,11531308700.883018,14548065349.900911,6690674457.068745,4184868156.7079625,4494737581.74485,6107092258.965181,5700597758.516889
Union européenne,121836537864.53308,137740688401.7642,19132733424.970963,2749693924373.3447,77181841969.63191,48023555321.573105,72735602790.1348,26552113605.239674,156703997291.25607,28986086461.161213,31818905059.23099,6046327508.108083,13485720222.013947,10707206319.061035,13934054529.23398,17536685655.827843
Asie Pacifique,389805025588.6872,221848671231.95782,70228882196.89671,285956796086.5301,2261934398070.002,75543111961.43533,103242524715.28003,33009385701.36505,101176886896.2446,96953195064.4459,52261587693.27685,56908925999.95651,15058958683.109304,14001337374.177738,59182465133.572845,22677826084.893803
Afrique,57190226684.87464,55856834456.92719,36382174928.7418,123220532659.38266,43959066101.11865,1890418023671.6787,54935871341.924576,5765466670.678228,31425089230.817383,11817041628.70393,11868280708.255873,4040427547.5820866,8291495036.657072,3093011188.7412786,6000522186.731701,7749165272.606075
Moyen-Orient,173680176763.78568,173663508857.92575,98565216954.49828,176428948912.95016,190307157284.25153,74752110376.30284,1413783538125.466,10735964749.78297,65474768192.01129,79462626761.07213,22247772422.52301,15939722987.00345,11358907942.65764,8320874482.472273,20823134288.185658,12504195683.778666
Russie,91089680244.65535,42555840651.93117,15379278009.814878,240306440474.31387,92774200459.67163,17239231198.498608,28686447170.21297,1199186921489.4617,84809127629.91115,21106600409.29179,13174527849.9494,3411868811.309355,4845377524.810319,3286770096.900748,4419930448.329747,6432665383.036344
Europe,33051340242.920307,47379583081.483376,8896431468.973454,146250659373.02127,33915541202.78324,21338831350.119476,51479432861.1949,38976732510.55581,1028535181356.2191,7975715427.388954,10099116743.04456,2496371407.712571,3984531651.356697,2868153039.4798555,4638038472.515926,6091403105.787236
Japon,81272842564.43143,54038230336.794014,7689008409.466244,30106272058.337837,71496939546.82188,4852069598.535573,16283646888.27033,2800467829.960295,11325062197.796936,916253405210.1788,9492788123.676878,4847979261.061765,2272701962.7074256,3368329904.357454,5978022774.404345,4043019008.2822866
Amerique Latine et Caraïbes,71682563752.81543,112743211716.50314,16018436403.793383,65929913161.89049,35770369258.55394,10931354360.73088,26313076678.10165,16084075327.527182,22197115389.68577,9562221251.481974,928990477991.309,2116863259.7498977,27146211458.71463,9153061815.259802,2736755012.5441685,9234482340.823383
Indonésie,49906513117.014915,22631620329.528305,29286871481.62712,17832569417.38554,63315548881.678795,4662789620.053762,10241512128.349749,1772331542.169864,6112292212.444088,13234599570.915558,4388584698.974961,595807922945.6808,1351925149.063193,1141194653.1085615,4281383498.607942,1784989946.7896974
Brésil,41905404568.19657,24641291123.814987,4191062853.4528537,22774245480.284424,27818476894.364445,5967742522.0777855,35009933602.13613,6242211663.145607,7284051844.44072,4785917373.552152,40378139026.91481,1649189450.0103114,816769165042.0662,2321201281.6114264,1132963614.1898246,2557482908.0310965
Mexique,8651084609.333256,115812434980.35161,6873345991.980615,12194304517.54912,9003246048.918753,1712672672.0616374,2881353529.168806,508476603.380776,3307063216.9802313,4574201934.716859,17649158567.23646,409678343.5714213,1816311644.2547684,373257006407.3956,982876101.0310873,5468114967.4408865
Australie,58828714096.50929,22836566092.13261,19285468110.24839,23181686657.04235,45145824580.33007,4029534448.7250576,11982584654.225138,2479449091.3469777,8271540231.303881,23671266926.970276,3935319421.942965,10383121163.290974,2196220897.1323476,1351465035.013044,386803284880.7156,2983681956.9046373
Canada,18706272339.89509,193656573769.86853,3235480403.718502,19803464158.859768,11658882770.541534,2872714143.7919292,4707292210.699093,1080194539.075273,7060491724.622309,6263567390.8377075,11479167107.07095,865947084.0504009,2047848063.0644026,6733403875.7668915,1648670386.370756,333441328053.5053
