Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,9023040858547.707,472303892615.4188,82479476740.56827,280945715328.9666,619407671134.81,90669215606.14722,186280631156.71304,34770026602.55691,105750264759.63385,130184621737.06488,177213109178.24948,34053107062.05541,35187281019.13427,27731725686.896366,45804183556.879616,39050380719.03191
Etats-Unis,76062239237.49446,4187076561726.57,9386312641.9479,92975338640.86952,58592956054.54439,10454589986.54556,26951041331.821342,5840118119.286262,36367706969.66441,29797553567.638016,96897921661.6737,3513368470.4531775,12368852062.196032,54759626067.061424,6921277005.874678,63605126517.258804
Inde,33524754949.110107,59005824493.514885,2501965829246.5957,61995109431.21176,67488051154.57614,32823507275.8211,95227857699.91515,4714442451.349908,27022084365.7874,12670760283.429028,19266862567.54832,5207788452.631734,5769940437.080361,4101288186.925814,6212093054.671925,5284777420.782118
Union européenne,120490868265.31285,141422249966.13596,18257406971.2272,2713241779906.358,74313762722.71222,47272632129.47398,69605460565.1863,28056406588.367867,157499554185.6672,31153860431.147957,41913252214.05073,6336248255.916547,15783687476.417553,10995933875.502222,13388301939.2898,15579914887.461576
Asie Pacifique,412588920466.74347,229193669113.59995,67512547751.54671,284637615052.266,2071733533241.8628,80591667757.9727,102748646918.93976,34995251697.30283,107804255135.62077,102729509383.08429,65083822062.428116,67534119946.85729,18339540255.970734,14977324726.831152,61288739786.74947,21310894773.53023
Afrique,61624199882.37782,50044945080.537674,42193479756.68402,129401226843.37053,40861946181.7021,1828830617315.771,62530387379.33568,5639176986.431514,33893528958.61165,14054429267.941338,16750634022.846,3887866559.2283845,10596495453.293291,2895806384.165382,5418737832.045809,5810001249.414555
Moyen-Orient,183458317870.6758,169703509227.31146,94678211506.37944,173145545068.7563,180416025200.74335,85268265632.96774,1395562850274.299,10327236702.849667,71606923190.09377,69417142322.77794,28642662500.982773,14843171506.456898,14061588809.78934,7975913445.0905485,17897013862.008205,10727617465.916552
Russie,85030160688.7493,45739094387.26359,13759814117.449844,292601008932.787,92937178951.06161,17135627154.564686,29389783970.37697,1045864321503.8356,111918840014.02432,26384209989.231407,16263600675.88383,3630543955.051858,5727628118.859207,3613111851.4307203,4892404241.024903,6291520326.178667
Europe,31489810183.990677,45431652135.05765,7921596646.833902,139833017626.91016,32834086628.88028,20318662825.147533,49191663981.544044,40623472606.438736,1023680435368.7898,8345481832.858425,11486800113.238283,2401956665.7974467,4549039795.7486,2948982459.335516,4345343806.877519,5202915180.138197
Japon,78345806331.55074,51113296007.14687,8096496727.023253,27590481119.283325,59949245383.63003,4800085352.082261,15699132158.389492,2748802626.4097676,9124085453.01028,922029296105.9655,11284523874.440798,5175214858.3973875,3102392316.3786273,3438318906.300751,6653776237.294119,3344132648.6697736
Amerique Latine et Caraïbes,71100184181.9986,107186291929.94397,14273323904.948725,60095679848.16495,31061726775.111305,10271302578.806463,23980518726.758526,16901377964.962395,19020443334.136765,8822336669.195091,926976650650.3989,2170404077.8021684,29219349321.017864,8454700045.787554,2577502293.2994814,7479659602.464309
Indonésie,42351513325.115685,23678635076.462307,34238958196.616352,17850586787.366135,66768193916.083084,4933500805.02616,10934655809.900892,1784560674.5819552,6360526201.306585,16832269055.329378,5605674437.773645,568586179228.6293,1684111265.334872,1217441205.7903526,5299133735.70089,1668570502.3031213
Brésil,36083613052.49133,25454107067.60203,4327524298.456834,22166965778.200764,24527332407.616714,6149424848.977212,31654508807.591766,8492373400.526058,6114072478.227713,5270453467.153148,57232177126.70213,1733087178.3680568,811593659901.356,2243486508.825598,1153606852.9953554,2128127077.2079508
Mexique,7116554838.566468,122099478687.44621,3567176979.057801,11497263717.050074,6215870554.62234,1406731871.7722716,2562731642.874752,409497695.426655,2873996112.5120068,3810739053.954422,20786072610.869526,273797265.1572236,2210876097.4857836,368706945696.2271,787384817.2899293,4854896484.524056
Australie,61468793386.75068,30508280253.454803,18077596354.426174,22283971811.58518,45402967547.03074,3826901276.817598,13457082732.148165,2687485671.7289567,7843528003.206794,26368232000.0162,5369625136.556841,9785405239.706295,2617579588.747145,1421861403.8923676,380329684133.1841,3110087766.3144636
Canada,20374236842.13373,209692075020.8359,3535498947.000536,19100017506.454327,11082823684.451786,2936511920.8813543,4560705245.751659,1075719691.7451968,7039313211.946545,6379605522.513628,16042731571.596622,921073150.3263016,2092432063.6043527,6609682828.498291,1576266273.234196,327595581736.7305
