Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,7610841944019.339,427326454177.49304,72327748280.94266,305143085835.8062,533017835600.8355,76728307954.89871,153637771422.6555,44593357780.678314,105168186699.12518,137819809651.08902,102670331315.39337,27598459845.71287,37235628326.06118,22627920346.6938,47292577528.429276,39141942334.452545
Etats-Unis,54575340071.28517,4453445807154.001,12903364786.21841,106985517209.33275,71278545096.37688,16443666239.486166,32173407966.50336,8020580331.565502,42740079826.12749,34485323563.90603,71626859975.84271,4807442661.861718,17152978283.890562,59992118783.76578,9430950948.968298,72701145025.56416
Inde,27617131754.699833,46477135503.512085,2023094667377.0225,66832389630.187355,65077604366.479256,28912516354.978104,83590070092.5252,4722801500.1977,27170376097.645245,11602777477.235123,13027782824.253803,6628454284.25839,6492355677.600334,2650297919.2492905,5840191163.398958,4743357015.227201
Union européenne,77026981440.62598,112415439070.87369,18052416562.037846,2983134003318.1616,67010975702.96978,45187634729.10425,60453167392.38451,39641029434.701195,139123120579.00214,25470155562.126045,24627769419.9116,4967623231.707275,15216777472.722908,9579837515.962656,12697194591.933563,13279057260.540192
Asie Pacifique,232578042599.48004,183787344231.86542,60424968116.27069,270680038748.38583,1965180692922.45,78944241486.34288,110866896972.59784,34677675978.00814,88340169863.04877,100997918218.63528,50376295903.199066,52052310406.7163,18950192920.75319,11979038431.751268,62937555150.01439,22799865253.160995
Afrique,50688432969.782585,90300876960.61127,32295147859.390007,154112743089.19827,45165659175.175705,1470589067093.197,44944209515.934265,6721316023.842264,37332183555.795654,15401550483.36992,15445067223.41248,4557746494.310113,15035631745.802437,5435101845.3906555,7124133170.717761,10949545928.537045
Moyen-Orient,97293459422.56432,139463961012.5562,66456677165.12576,166604843602.04465,157661395212.9316,70216697506.6164,1222344971862.2007,9203182954.680222,60173083431.20635,97616674791.19815,19710927794.376484,16823238202.682854,11887928220.77351,7215553525.710998,14642408317.33918,11181852738.89747
Russie,46658138184.37089,45052680619.94653,13649782334.164028,332960134043.57635,67914592688.24024,17405400750.56007,28971107791.48313,1056529452791.1263,168912255390.12936,23278551926.712753,11988208639.895699,3888040070.0570645,5810471542.9670105,3885352515.1440883,4479151176.292556,7749841530.715869
Europe,19655345110.38412,43807347872.67919,9655760241.783743,139821222584.04666,34219354688.719036,20993502387.526447,51511190181.99045,49162806887.38072,1057090979625.1447,7721216821.9844,9418150465.527893,2595311422.6510067,5230918642.59671,2703986979.9781528,4278410999.6734834,5235526168.660091
Japon,61499593656.838684,42918014669.6822,6944186356.191706,27714688708.833717,67194481385.98626,5172138939.037384,14497858853.53045,3321081287.9023385,9278767533.054615,853013329461.0625,8245522519.806027,5259436316.290563,3632160007.4382224,2674379948.0392346,5888664147.900213,3097205430.5850325
Amerique Latine et Caraïbes,39335272930.50093,126268118973.0833,9879104281.991629,75724801725.25891,27842447741.724663,14696821509.14324,19541776296.853745,23825848333.27897,21554694355.220947,11047316414.94273,797507725592.1328,2270016071.234644,31271926445.704613,9647070733.157804,3117060691.1167626,9811656724.418459
Indonésie,29085074298.339798,19097217444.987648,13301430501.328997,16605925307.002192,52577880730.126205,4043582948.3402567,8208040207.978307,1470699744.8772838,5568425883.703574,14095025845.166859,3237531871.7165484,487905931492.8351,1883400176.9064357,924826122.1699096,5160220077.114361,1496456367.778026
Brésil,15214532652.156292,16690652277.37067,2836879035.5963235,17495227681.61628,13884815539.18697,6083113688.448214,26021990446.49959,10691104187.547739,5093604444.368425,3631281175.3191614,30193512451.623173,1083902241.2512136,807193781058.5437,1663339656.1095963,827983629.4781872,1768842065.745247
Mexique,5693646361.733048,103156010239.53981,1485817898.9597638,9286549840.325914,5475271113.558317,1097211112.9462867,2132121732.7693253,651609997.7495003,2405596406.060685,2157168356.331118,13930725806.625597,333377893.2271761,2387748115.834244,410873579973.58154,813399126.7334789,5644101922.3984785
Australie,29790334918.833076,15331801152.743517,18974224536.773422,19096252628.94343,37994546964.53808,4243858392.830702,9821101356.454275,3068952520.5453677,7373834702.950864,29867537556.787243,3351599008.9793243,6649935276.507711,2544837056.5169883,1297056393.4339263,398491112527.7513,1860972042.3565412
Canada,9774274105.738924,165130514430.47482,2295632752.5757365,15766899358.89116,10181004937.34016,2562573942.647793,4311206067.725037,1322987820.4743526,5652874057.827866,5207660034.172555,7903409740.345462,778983178.9619781,2073563177.319769,5697358141.46804,1526450150.681892,359510386496.4038
