Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,11553757010075.611,480664165528.82806,100697157084.99467,286441018244.4713,701404923227.8431,116478298109.34222,186733279586.7739,44398662336.78533,95104277748.93413,132620154117.33429,111535464001.03493,41649275868.5483,44351612391.487335,27893821831.95236,37092632452.38815,49102056871.40684
Etats-Unis,85283147288.1717,4364975269965.554,20633342047.895847,93382833357.34534,87005108585.67982,17047361792.492498,34966801826.11971,5404755370.196893,33008421095.335777,41873798111.450226,75998882245.74585,4546151118.236471,20906010478.281677,66701311106.133934,6592662679.109901,73849102374.72368
Inde,45451262059.14919,73963494776.40321,3250454857166.0366,66297873058.98532,113246048871.47203,40888395344.54768,104010496362.31511,5575691241.273812,27063771488.56717,10114309578.771149,12630687151.137297,10687866150.024963,5328580694.748453,4455161711.546207,5346546248.403097,5722796988.212329
Union européenne,91095945409.52434,125703837393.47267,19522955142.47376,2699227639734.3857,75489338538.39685,59738202518.79332,73424910040.89136,29168662872.129265,202017057702.11707,20805599784.24268,24930541204.776276,4120397324.843607,16576009601.837421,8721583803.976088,9500371805.112156,16110778171.727379
Asie Pacifique,531049997089.7572,259089262316.5651,97995015990.70572,281640152638.3186,2561543906563.4736,88037349826.95943,104047615287.11652,44615912710.5919,96233714653.91206,132022067851.74675,44531496538.085724,75109122623.1787,15778291112.340841,11665222698.812447,68055544748.62883,22810360022.938885
Afrique,92922200212.44327,72454883500.97693,55655457797.4827,178460015322.372,63845319463.95949,2131233704560.9282,81294796863.3536,7978078223.022783,39918761653.95346,11271249025.474295,11086328473.610771,6382354552.504024,11463087651.471045,3678527157.8768578,5494651194.801067,5962203001.914044
Moyen-Orient,234036141285.36633,166966095390.41992,113043320784.42091,178742518372.29245,212381022811.8502,90778575561.1318,1615932533773.579,16096528208.748837,69724835374.9602,83799203438.01598,19593520970.79021,17885552409.0982,12404056700.375954,7161963380.878244,15159663516.797436,12081945958.939339
Russie,139820218153.70242,48348305640.29664,17777466318.638084,289664060489.33514,128991208728.94728,28499705431.024323,40985026116.168655,1215099383390.492,152398256689.8181,22746840684.03327,14347010145.131672,4148852573.42399,6016236268.451414,3008372954.491419,3450349363.478146,4678647219.39182
Europe,31749792509.490837,49919831995.604095,9268040239.373014,186042594155.02982,38074413697.33487,33644652883.975883,64719074170.58648,49399297982.42598,1064647554376.9806,7131626033.882584,9934678427.904764,2884161621.648473,3835125363.2270846,2008166680.1043491,5045545205.150199,5651090479.39768
Japon,87039891820.19855,50469051640.27673,10097173670.738605,25102602154.940346,84656149770.29895,5221556229.061413,14955675540.285118,3036943788.781567,7860462875.111983,905098839021.5709,6452949171.531244,6256196283.891205,2624942816.7591524,2899063772.1106524,4226590338.9982285,4851622674.226379
Amerique Latine et Caraïbes,112638717720.07727,111041357191.059,17756653209.484062,58773457952.543495,41635026404.412384,14777225070.876135,26886841734.103188,31872460081.615845,28747100644.807045,10455243460.187105,883856156798.653,2303237586.55053,32582750147.994827,10870266256.978767,1933288871.4857635,7502223238.952035
Indonésie,65136092923.831154,26057948205.862534,32128457337.28176,18236275876.586018,82262973629.81342,7038784199.841309,11417518625.622667,2257300014.000037,5616959092.403969,15215082831.012194,4149510870.1459527,737544410735.0203,1961287485.210567,1227507188.306188,3606466744.5141883,2039910758.6324291
Brésil,74851066677.32042,30811947373.447353,5063613146.409991,25739640065.54439,39919996205.39879,9971877535.06705,47393538140.06457,2021666196.6459122,15620701538.95156,5074908540.343235,40675175884.50009,1615360754.6433098,770858208821.7323,2697898238.1090546,972443002.7200159,2864975794.574521
Mexique,8891196044.000801,134768067191.73341,3929234414.5512037,14491200118.461504,10560934395.074926,2261658855.6356277,3176829609.6445284,536825044.3128501,3209187592.0360565,6503277992.597626,17529854355.05418,368615587.5423541,3060738671.7272396,500052497696.4413,704843857.8227705,7585742195.294418
Australie,77540498600.36934,25989794407.6311,20890145113.763798,17563940562.07562,59043908290.338776,4902919261.771561,14139596302.425741,2342991165.2160225,7628854252.711585,30361699666.330547,3255967835.9694557,15735800624.503222,1694681874.4851081,906572869.7321045,392483137177.9156,2291326652.101298
Canada,26098056143.876076,228578772280.96198,2954249580.7706175,17870509431.031105,13476445559.873262,3876798191.9856,5003324982.899781,801501206.8978056,6256968894.686535,8386594893.84247,14269397082.502598,970694388.4143376,3181672984.37012,10711686696.810843,872740199.5440166,290487575371.0401
