Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,12140022287455.11,504315873525.4447,104854898684.99525,283172001772.3177,709121886303.2065,106716294205.27582,180967603689.83017,43874445073.978485,95556302564.4852,131393786374.59085,107314901753.15579,37062705014.07674,42198983144.49147,27373448954.230595,36810076664.21487,48847111097.61683
Etats-Unis,87910330859.51314,4405308160222.514,22196099379.69257,98185555916.89572,88641279659.44928,17015954117.850107,34342823826.9904,5237784837.653059,34935651108.482834,41734202095.29337,73255244781.81523,4693527371.5741825,20429368692.511944,63540767462.23035,6630583480.88596,71220678055.5424
Inde,51319364363.12853,79443001934.5004,3404645793661.2085,76026157597.23717,114016343299.74472,40650277184.49298,104359296146.4181,6420568764.2038145,28940369138.82804,11662788550.995987,13968139780.081741,10591352125.11626,6482990290.188536,5207609083.269113,6147277152.003802,6794577919.377384
Union européenne,99045923131.09027,134057169126.02377,22334342705.481834,2856778268010.773,84350012858.14734,62090943555.74708,75479462256.83218,33913586111.734097,202299390770.45514,25084355887.51002,27748930880.958054,5937949355.736473,17076584142.796125,10891964673.494116,11729704852.675106,18791625904.49017
Asie Pacifique,591504504284.0516,287460015626.2336,109865801469.3006,327211290682.14355,2393528155862.4023,95850706642.71347,111473161715.47781,49741427016.53205,109130939237.96124,144481483747.7509,48446119873.27942,80244019513.36705,18192937989.318245,13623286037.668512,72175743439.82578,25707897859.212254
Afrique,91282439733.95917,68144386940.34859,56534649340.49687,181315721409.79178,61922421686.77202,2166611501175.4785,76086437729.83144,7615035902.960072,40605660565.83203,11827890070.12374,11180605216.25504,6518457534.233675,12025966178.79961,4487989434.816731,5996971682.660242,6746224137.166597
Moyen-Orient,240767072377.65057,166698903868.75894,122599693483.82205,173052080887.1715,213302184206.29138,87252321041.023,1595845662720.4697,14332809468.84294,68073341808.501976,88770238301.95242,19090908721.018116,16855588075.851963,12083979265.53345,7268278177.425484,15285087531.771246,12284958494.571077
Russie,150698847676.45758,55246335920.17953,21323930158.120266,291001706694.0131,138344196741.11426,30535407846.298836,41762637458.793236,1368787381000.737,145513277650.1884,26621704353.422184,15607406548.698505,4954439357.252635,7158839136.681858,4050766550.339463,4290170657.344463,5993821829.871764
Europe,35188194200.76477,50822837727.38599,10952804819.276754,181926176492.24753,42369309041.50292,35770790528.866,66621834611.082344,44354491044.54614,1124481952310.195,8459686017.838472,11137455507.73872,3620684389.2692537,4997040789.788372,3037473239.497687,5310526320.955902,6780089877.93945
Japon,81841078680.24216,48807122522.467896,10673160806.432673,24704372693.403427,74954317442.52687,5058612643.135724,13575241142.461355,3052908303.9099627,8262565435.696573,961171865645.3403,6227644511.251124,5363938774.778379,2559029807.7263484,2764538330.3865323,4170480248.4159074,4168466929.6556263
Amerique Latine et Caraïbes,118385044698.34528,122593907663.32687,20298053815.021763,65055588464.95855,41560593731.59039,15124069236.41775,27058850567.90255,17898967288.87812,31197479464.10385,11168343802.429277,859620741302.886,2536860534.472021,33801597892.50526,11524329245.144344,2287095523.4589415,8282440403.923169
Indonésie,67627069761.14917,27037823975.685608,32518862042.1206,18343996513.353245,84506485292.63602,6622959033.0000725,11259383083.481895,2495909977.971767,5859204978.107136,15173148967.671202,3971484933.889366,775307844431.183,1928507327.9761243,1292827127.207651,3661697235.9368963,2119685439.6148076
Brésil,82473583502.5575,34596902162.12085,5853414585.269232,26979540945.006947,37749581048.58185,9362161885.693361,46729958972.48386,2134068976.2603679,14992002402.539997,5496543978.350303,39451275615.15712,1733400281.7747948,808866777994.1993,2824331587.677129,1111030963.6081245,3569430218.75862
Mexique,9557714319.099783,145378914352.61215,4353565190.4165125,14945210465.01909,10697435610.507275,2187408523.8741937,3243323802.2635355,608314503.864031,3376935235.805271,6622602904.43923,17563573447.565994,394063975.82348096,3136250220.9682746,452568886269.4808,722548910.7533,7112935937.540867
Australie,82392274411.37051,26075125189.75348,23012186240.62145,22279924161.084763,55836427834.53688,4987894295.498972,13835338378.354664,2620131612.2404447,8057607377.504949,31890872949.92124,3433853938.2188673,12809431170.215382,2084290829.4056656,1223595475.4750786,420794884243.0643,2621158684.6939454
Canada,28230626051.716026,239889760006.9511,3433880026.1720295,21127836946.824623,13671793480.786182,3973110970.075715,5187450287.4175625,1005141016.825752,7164787057.504262,8440618444.050311,13964563823.923119,1041407128.9313451,3363130295.175633,10315801168.333,1055541285.4674288,336941203866.5816
