Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,5920011294808.09,588057793803.9283,68477251206.97234,404229760760.22864,495927296859.90314,59592082501.11073,144131721982.24106,53385958913.731415,127088691100.84064,182942672017.20895,87013411222.82835,24634660470.188538,27201707900.635506,27625236458.847954,53882874253.448425,48212730945.698425
Etats-Unis,41006528121.57322,4683228619529.31,12334560129.03544,125439386919.93211,59850414211.10512,14571329534.014318,32761738044.094482,9030470616.570263,52454677359.97368,38998281209.12459,60077135328.24792,4038017131.090651,13092582077.566742,66063984283.15847,12551731905.943008,77737621869.61285
Inde,17311458136.756336,48294826525.85394,1768013777701.9636,65773611392.41081,46951981038.82393,20416204497.251335,60754361887.72267,3694805876.131556,24080470755.64954,9644973132.814688,7602200841.669589,3947027054.606198,4046359084.304549,2697933520.084904,4820257829.675042,4079067338.5920362
Union européenne,53276446566.6366,135436343579.41837,15541576718.234438,3259070828546.412,54069591604.6924,34997319531.31357,51109631184.064735,38882225839.198296,140831489473.62894,28055285967.99778,24114749766.789284,5083013872.868873,11225990660.362926,11383891872.087633,14930670191.578442,13396469388.514887
Asie Pacifique,129361122816.51569,204219023491.3433,38747457003.75488,219303092581.51086,2012806891796.951,48124110889.62044,79641913673.72911,27234130151.60502,93511129031.00774,80087297933.94554,32573299721.822624,40349817248.66781,10486358738.264563,12137108663.075178,49095030870.85721,15909321449.498177
Afrique,31167255666.690434,106994637429.2713,21832235996.06746,164918117597.19623,30848362603.05262,1349026627093.1562,36318566203.04897,5795057462.427475,39004677669.68296,17336791193.16028,11572055629.205448,3298855457.6960526,12232675654.957317,5261493377.688982,6384092033.996475,10365999281.363777
Moyen-Orient,53422832882.15021,146906029741.56296,48295072422.79562,190156477516.86102,115755588945.78705,54254435648.95263,1038325339467.5944,9734091932.763655,63744741056.5484,89987913363.11862,15001221989.88172,9870068884.569393,7758588767.505339,7543778932.142562,13545787297.02145,12124899768.700245
Russie,36370318209.31762,51111092378.76114,10952416196.700586,387234987988.4532,69913000401.88501,15813452315.783863,32239033287.019093,1052877546940.2415,157596763146.0061,22728122530.753838,13843906489.127077,3178054311.675129,3875846596.9595118,4166067008.387642,4618207916.6546545,7423633435.052323
Europe,12417461877.171276,48303020539.088936,6781829894.284416,152051261488.76672,24524079652.835064,13172678723.203337,34318474530.102398,40300847417.48429,1168771294569.5977,7480273665.885144,8462549106.240232,2435329603.035284,2994746769.9342475,2719106927.242527,4405253116.55765,4684107299.584419
Japon,54533014825.43602,70855185201.16658,5986713315.885482,40225427157.88769,64433769294.49579,4718613230.014466,16302716122.385553,4731707946.633573,11936810900.092388,908821243279.2671,9375615382.488043,3928221533.2922077,2769338262.5981107,3920704213.862949,7435363014.426383,4077214116.5813494
Amerique Latine et Caraïbes,26759130222.56309,165642545312.1955,5009109339.639048,83795789710.20682,22893476471.359814,12489569359.183533,15824915780.032747,19487091302.68179,20600746843.48175,10626735067.3526,709564566404.2129,1561470802.1228192,25934917282.643887,15060664688.031933,3155841573.6605577,10752172067.024675
Indonésie,18405536974.988903,23258186972.5232,12277951420.730488,21772010503.830933,45177902394.95901,4818322923.799789,8387804327.135967,1359420215.6911952,7125085311.05894,20242254497.81544,3053825574.5779324,426100953124.04236,1675007374.860526,1074753045.6637225,6008518617.36521,1448163397.3807812
Brésil,10689428027.755728,26041359164.551098,2154882352.2236295,32547348007.992188,12451586923.835453,6950192493.889418,19063962757.615902,14342969989.108952,7224791107.595591,4089884920.121237,28948016583.272236,732031739.2919415,731324565984.6421,2857913386.348778,1085750805.3235805,2118179697.2153947
Mexique,2217029745.712457,92947654768.49567,1188171962.0697813,8571241294.852492,2876291694.414608,654425137.3410685,1594810938.8378072,346795314.25478196,1940797072.1854582,1675018827.3082395,9621932314.728329,169762335.10755792,1431539472.2946076,403846006155.1239,631966321.1971997,3610205068.0225782
Australie,20573616235.082478,22789953870.413803,14370610245.722712,24131520817.287834,38003577492.0046,3587246758.4971023,9543470838.10964,2254551909.339043,8259702001.466784,34063419511.801422,3155982886.256228,7672576226.227813,1975168043.0642314,2536554961.7269835,428195550192.9955,2135522271.4910407
Canada,6068113874.851977,188040553710.71747,1941750735.1057286,16166817354.58467,7438562821.731567,2064280012.5363278,3685559584.9756765,1202352778.636735,5562658475.593878,5145379357.40755,5830749073.169289,756069540.5137409,1580578094.3880093,5101615250.410768,1570938896.7544446,380302135170.25934
