Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,8537338288756.6875,420421221586.57935,77760796542.84177,273441869556.718,632331224812.8374,89030320563.33795,177654756662.32382,57269278704.02414,104623574633.53952,163280198605.93692,131655757661.63702,37188719079.954796,44345047310.06717,26682232864.033985,55803020939.048416,43560824585.74676
Etats-Unis,76815411732.02684,4150566998050.173,13531353229.78157,113095820563.71013,81013566601.95477,17786375529.951736,38752726338.87516,11730255311.024551,46586251360.937805,40727676037.50871,96613580940.43309,5614456422.5907955,20581847471.33363,67895784040.59483,11574735399.295412,82572063677.22981
Inde,31152697207.622353,53869298851.19837,2223127046527.2524,59530380616.59119,83630952161.78598,38222971668.700714,104335275141.05756,6262908001.484859,26145679888.592796,14118160942.221004,15914175502.602283,7461071675.678219,6618125736.865681,3242467598.22303,7296836931.746291,5783781544.561343
Union européenne,100002575761.66266,119247107892.07959,19107485628.91115,2831444435220.0527,78591749443.57175,48644633847.234,69083026978.9937,45975626556.52934,145548076618.77142,30936466994.7184,29599047716.013374,6502176580.4458885,17510723475.257675,10412574978.375126,15170884936.482069,15107347480.220291
Asie Pacifique,317185381424.50244,194914570696.6244,65359308118.41713,287274131336.8797,1966435640422.7622,77032509433.1513,115984933215.9585,48163145161.27689,106960389454.92545,123836829430.967,55319109550.95296,65048746238.04485,22339580411.467056,13525596941.296995,70165527356.24007,25773337555.371147
Afrique,67657094713.93377,88682074124.2397,37581676130.816536,174983027314.34045,54418642423.75105,1561269814381.7058,59262431422.575516,9414192691.915047,56978533238.2499,23202262505.841938,20041063006.447945,6071636946.129178,16694154102.246243,5235387947.057213,10056755747.772724,11744339926.573471
Moyen-Orient,134774927622.1453,159789875264.1518,90315605260.27852,170953778913.8844,189737955845.65445,81141839080.95012,1278256826227.7244,15501020672.393097,70495538180.3693,111567972252.53754,24491869770.10465,20034577410.643055,14778237270.42263,8847726624.911234,19880605202.64643,14517280473.253428
Russie,71184605347.99374,43116621834.87261,13740306873.431164,306469752254.9934,86020469800.59985,17180346385.47896,29383073739.54272,1154006072990.327,190074031254.79492,25412702306.931152,12670327846.134932,4998316020.758852,5862830189.464883,3425649734.7479253,5830975324.425886,5916097802.347977
Europe,26170633475.129677,44805963016.910034,10556416298.161709,141201436458.00238,42516080640.89513,23871597255.404625,57367393772.56509,64989798253.25454,1096252326152.8735,9819062798.013186,10580079551.433275,3324960044.697086,5700198862.880496,2727685787.6359167,5325174227.986907,5897562049.674383
Japon,65256622503.909164,42026844253.434166,9203586435.69002,22692224816.986534,64692449568.626,4837252147.577889,17118355488.918802,4739057977.555493,8520728430.929429,958207967040.2354,7947688764.363481,5951883788.49824,3366385650.319932,2857382524.6911936,6401797158.723238,3435578378.426732
Amerique Latine et Caraïbes,53648777178.090614,129823341373.21608,14121392721.880959,71101883711.26936,40846520975.94929,15438469463.517105,25421766682.701756,26205677765.79427,19857711354.779663,13223871955.439827,836611041858.1727,3166079090.1162815,37958381534.3369,9714214439.816324,3694448886.3395963,10499891306.080954
Indonésie,41014770034.95918,18554420248.42935,19453905101.273537,16050050536.879244,57323937864.95087,4233221120.406284,9360105733.173576,2136590823.2599707,5652692272.557938,18394321213.61471,3867330414.062301,536906572649.8315,1867502748.240484,921322046.9668858,4798125366.602538,1748297180.5576746
Brésil,21356260150.560043,20351330217.73759,3699296444.075488,17798314056.83731,19840573890.034355,7030665463.006744,28108499040.427803,10058467349.054785,6216008023.063915,5583633675.740074,34780523714.949234,1358457534.7886717,827869712250.0765,1954412146.2488472,1118421795.655031,2274094605.004214
Mexique,4816477028.832196,95084466288.38599,2439417827.4556003,9611679661.018476,4862456288.330764,1301845135.5884113,2653028674.5210648,1771808571.1202857,3152594786.9415035,3016837023.643488,17355055761.039246,324130510.44112056,2801843082.560458,414590167439.4214,828567776.3449873,5467290337.074964
Australie,46185701391.97509,19544541088.49309,16515372375.656206,19028770262.695946,51355160001.79006,4347546135.211358,13876315124.005896,4751508498.059392,7850793060.790589,34555009123.64731,4263788164.4838967,7946389756.887405,2322428277.399218,1432393572.8522947,454992661650.5661,2393970999.1267533
Canada,16125496633.026796,168111818416.18976,2630720101.0053725,18284949176.39146,12113956429.786379,3130237281.4440756,5374272862.435053,1924426220.5025878,6557404049.343359,7331464890.192896,12483712626.316229,973885816.5304174,2631600007.1673727,7392956612.470827,2000783945.6999154,350629137698.8041
