Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,4961507958024.257,365158511098.4555,25590014151.770287,208488706039.79343,357543351820.1903,26637112698.156166,55414723839.505646,15325197235.878197,69016756020.67267,133924514649.4512,35871848093.564804,10839505150.512407,9446215397.074903,14302559970.291988,25870788162.622574,24202143358.076344
Etats-Unis,28304908409.79015,4713548460110.2,6199148990.870529,95600906385.61873,57676824370.60528,8149413443.757523,16623241132.780931,3566583523.465032,42971753607.96222,37922871779.75097,41809304242.355644,1883879052.2360308,7828221762.816088,52583445705.432594,8422865158.1729965,63305110588.96822
Inde,13208696451.043646,44019678412.12907,1488896436265.4062,56272754815.797905,48745788283.41272,14785181221.66882,39473104076.10764,2657162042.962242,21511401095.324657,8614125556.273985,5518192763.3605795,3132788572.6337533,2134257448.1656756,2715877401.097101,4152699509.8124986,3538597278.752786
Union européenne,40881396380.97381,144212413516.3493,10801966032.395012,3234782939470.3765,55491031763.05342,26827027742.060062,41253965049.88582,25361753341.890347,138889355332.46738,30275386544.9085,18654471811.62597,3815994560.0765944,7513608922.35206,9334950817.12052,11445036397.746357,11806212034.04451
Asie Pacifique,158708201548.36157,242162696289.55258,40565400685.37517,269745687212.22095,1515147425450.9102,47261640000.76489,81973584919.56462,31550857675.115963,129099807631.63399,130669400942.21472,30741181030.942043,45961972880.98909,10059529348.891584,14585073563.754131,62953431010.9232,18674323366.914017
Afrique,33774689765.367435,110008765002.79996,10524628205.791168,173285503665.63153,34913732591.11739,1248994933176.9036,28245650735.03665,5705610827.461199,41764427485.298,20343040336.78599,7680310258.030973,3885476984.20808,11505204008.163898,4113427320.9193354,5431591871.636536,7533528187.410452
Moyen-Orient,43630572986.761,134493684917.25194,19257039870.1272,175305770456.22406,107541866871.88705,31396660988.988712,875932423868.5957,6268312776.147437,58984410835.24037,92697112434.73169,8808339771.272362,8536446787.154362,6283407558.524074,5485888678.742128,12129964746.49465,10538861362.776224
Russie,42690854778.840416,73566507654.57608,12246980618.27139,374921640570.4873,77764653475.26044,14004723988.805603,35711347593.38711,944227931975.3878,145594261392.16183,23566591946.97886,17848725767.30871,3056716390.8127236,3352867750.2350593,3966348068.5910945,5064759312.560223,6626211101.285685
Europe,15001838221.945965,60248350905.34465,6542377920.1306305,167153436781.44656,29699093121.811687,12502468432.529198,31810236665.903393,50205221542.13594,1050970752908.3977,9050745820.907562,7012297409.153738,1948721458.584206,2355021327.558159,2810061479.755642,3901083146.347986,4368640452.854347
Japon,34185608751.109173,59209183817.268715,8449842041.402459,28885750293.5976,55127797103.62822,2762687575.256821,7964210709.39876,1340028014.9416497,9651325945.476555,922942561197.6163,5285468220.129322,2220307348.659885,1263449956.8056207,2289235840.3494387,4603179027.440908,2702195079.259319
Amerique Latine et Caraïbes,17308404961.166523,185252711166.172,3425968190.848753,77435504452.37045,20241345625.542213,11270039336.918974,15181440397.27407,12717368697.367418,19377294814.092308,11578080795.84133,617599084438.8623,1531430304.1824393,22536047307.94833,12414311048.825827,2390146031.024629,9752684041.488258
Indonésie,13600379396.389383,24303834059.412643,8004079561.922704,20154833979.395336,37472284076.70635,3186327691.710794,5479502678.995483,823443205.8042678,6795635843.283303,19127170211.230682,2179226487.765165,400605495001.064,963644623.4006699,960018462.4260497,4938661337.498586,1376124725.836429
Brésil,9925410354.200123,35979610094.26912,1466584049.7462857,31887844887.922638,15588540898.764713,5234786836.988662,16948867891.521395,7479722079.571555,7928218475.982838,4635458970.188037,30261133748.50657,516697061.5177167,669657916963.0161,3697962802.5873766,989411554.0006802,2190248989.997163
Mexique,1200983057.6460893,82360608147.85826,793336427.6753383,6031855868.031555,2078956062.3324158,461337628.38114196,605126076.6206073,158898420.24444082,1443029146.3360004,937949784.0668999,6776942551.698599,91550845.58223425,594495955.5286446,369823666665.11237,347322971.1911791,2178695018.8818464
Australie,24943399853.28199,29913724254.602253,12758766639.333406,26621088261.456882,46172235942.6985,3337657808.563862,7379563426.71572,1350259437.6065261,9444679668.426502,38541764702.33673,2656119599.7980256,4355487244.790869,1413941474.2383316,2044807054.170316,397789619824.9268,2223641438.5843225
Canada,5388788331.6304245,176679918560.48227,1244427226.8791332,14342379273.39644,7607463486.667219,1451298650.5271225,2221923639.296473,677998588.5046942,5636512425.1726675,4549953091.959633,3985279536.583906,386432313.00073653,1095319641.9860766,4539094881.292775,1268724709.1231287,357498638453.8818
