Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,5526774167516.626,580191303714.9224,56135653502.06596,323374501922.58655,553807473321.6903,49470335613.30981,120722406684.15865,32762523095.855633,116248105733.49872,179138592908.64465,74313067043.11383,19174044319.346237,18010705144.94242,24864680100.037666,40389168237.057144,43722016487.853485
Etats-Unis,32996901636.340298,4722539111064.183,8144306456.896365,100348320104.77519,60422284656.48237,9932050228.014097,24401641322.892075,5648981176.192839,47122297477.62547,37058371530.90617,49435267441.51264,2607694699.3690124,8911597614.872192,57740453450.62013,8950096586.544691,66817769631.889046
Inde,17329932268.171448,51021415898.95163,1622453622866.2178,64540003963.894325,49273508213.61432,19990163517.940807,54194199314.69207,3417934246.891967,25027592239.357727,10992235407.802107,7803840351.568795,4081650938.1678276,3302453391.1597543,3012150748.4520025,4577420198.658953,4488008960.954823
Union européenne,45997911043.208954,149938224793.16473,13948122483.896214,3202899086785.055,59769602495.24507,29778222276.019794,47145187598.21564,35191861618.60138,143278423482.501,28829944132.14261,22573898439.68938,4538773537.946498,9216499372.505558,10983644363.24794,11877596211.05886,13923270587.382906
Asie Pacifique,135345992806.36958,234479126596.92145,46176066699.6301,272953814416.00528,1710657628105.1924,56769661779.77112,88268007178.26717,34980682731.61626,134869200387.22993,115372687732.72935,33749670813.104668,41528114369.70261,10998399506.507078,20669892605.85076,58931397153.5226,20134837466.702408
Afrique,34233289946.10377,116240161959.5575,16623359060.381824,180682361323.4648,35618635682.87561,1280100028689.0015,33552804218.627007,5318756192.505564,45350569621.22648,20655199420.121185,11021500903.438862,2783644420.3230786,10290433934.610752,5350892373.697572,6077064094.675433,10314630086.451065
Moyen-Orient,50218421696.63041,154864313759.5756,40996202007.923325,202162053381.44583,123305066819.73184,40360818300.75148,958766789053.5942,9236494528.962101,66988221630.627945,101701565652.16997,12106939210.657974,10221134722.003166,7156025410.444297,6873443957.482655,14341318461.414679,13972117220.554491
Russie,38433529313.406845,62731257842.920586,11492958760.720552,425690326455.4406,86393820392.8581,14033454650.093903,28488430640.25005,998537191297.0745,143656587283.68027,21977346586.60256,16302280545.426895,3178128652.611791,3922101084.515291,4699479283.1768265,4947839324.238473,9544721577.149424
Europe,12295753706.569363,60333335468.32937,7639412997.015085,172653406069.94775,28834190626.626694,13547487177.280872,33841724788.519028,38766878225.907364,1103945586636.0437,8927791701.573929,8557156915.771019,1873796836.0760646,2566610996.382819,3175467928.2916355,4229071146.180931,5305062920.48518
Japon,38079044554.36336,70257649280.06905,4705806504.951237,33133293816.27002,62393859057.367096,3552783004.262045,13320464756.507435,4357103907.964934,11698374551.2056,890713477440.4547,7323618904.461894,2810995851.824756,1941493046.299376,3278232302.1219454,5439241620.066701,3383629302.3358073
Amerique Latine et Caraïbes,19867139684.09334,171734527650.46985,4431737825.175452,81248568989.21017,20973601906.676247,12278202367.325726,15446750765.199972,33279428710.09432,20000086465.737083,10689810242.165161,677607092148.2389,1587537701.2619705,23796477448.98406,14627837946.09437,2390140949.4903946,9324268321.015175
Indonésie,14811793243.243694,27100765250.76166,10276207968.177229,23454362668.941273,47007097457.89345,4295463289.940518,8320089581.550546,1237184653.7065628,7825405087.64896,22620739061.955017,3007812051.2618136,401015578821.8484,1480629347.3993976,1110323237.7235987,5509177473.002034,1648873683.289733
Brésil,9052155233.99635,29512445575.667393,1761222763.8508043,29224571202.11754,13101868784.09555,6059056969.98687,21074750968.63487,12968061264.159458,8452262515.698057,4171925891.158213,25892645717.289104,574760822.1294668,704353784985.3773,3270337890.370923,968773516.4692098,2259186100.492175
Mexique,1788432480.4219387,95170455204.75188,862032401.0939904,7507969439.371475,2856337753.9745483,506093220.0339578,1382897031.9234436,256014982.79993063,1821197290.6473403,1511419095.6923614,8179384693.3491745,163303520.56807846,853231255.4604017,398688999020.0438,481141061.1716049,3270900437.1020775
Australie,21157704029.312958,24510998104.65833,13141448791.798725,23730101660.794064,45346918523.515335,3702641090.131573,9204095265.1907,2125870872.0262618,8409182553.474536,37058784645.23916,2819659421.738656,5914562368.91011,1756335036.630032,2369585357.9313507,417645242556.846,2084539545.1564054
Canada,4641270002.127543,185648823381.61914,1583623385.969847,14889709747.51854,7481930099.429446,1670258376.630292,2957034539.942717,913661833.9123987,5438835253.964856,4547301622.880671,4936126161.760931,569119204.9488902,1226170567.8755186,4523423369.682204,1276164628.0486398,358779746251.4009
