Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,8840911.471806692,46732.84757096098,138508.33426048455,29444.50462111201,131341.77610580038,17810.766544143524,14291.867723756412,26423.58263164781,1233680.66777191,13711.58347623368,20588.62385576231,37881.457673080055,201035.53939974817,64366.85232419334,20234.914049594947,101866.9125809317
Chine,1246.2447211411668,4797424.031995741,120051.39915666216,3511.508188131369,202588.9248331791,1452.515515469864,957.204060083251,4780.4167586304975,23386.513798919816,6596.982379860308,4261.196959224475,12077.295121794863,7307.250154222111,4531.615005019334,2364.832887564893,27241.919788060706
Asie Pacifique,54213.20466371717,172049.92766680397,3583558.6239697076,44916.747928061624,559431.0086491463,74986.29436383741,15751.87387402186,196469.17094487997,472040.6529757535,68837.78274159766,73631.38496069898,56636.42952603393,176413.97931300756,78899.57201942358,19620.506875461124,1068767.4324208943
Amerique Latine et Caraïbes,14811.235391831331,15847.635065703895,84623.92610850552,3901422.0867780964,195212.95720436837,9324.52086254897,243395.7075907291,26571.61780619233,422125.87067173515,8134.279198835492,5793.908928131973,27311.943849295385,56793.815468430446,64766.91810478596,22601.011617286254,118818.00446415061
Etats-Unis,121482.45062093555,7285.128491616042,84329.20108036543,17760.489099268223,4702971.968403538,2931.4635376839215,2015.525192914033,3156.895293035135,231328.595527298,2458.0062344881176,7331.266179339377,140973.63085078463,41849.667804888566,48302.04863014999,5102.390287607072,598202.5964818712
Inde,1261.5967098800102,399.9239066845293,4231.041529898921,473.52874267709973,4337.1390875412635,2109769.8592694136,194.5878496543901,319.87136826479036,3555.0321184811014,199.3429992476132,282.7779323426105,36823.37106824692,2067.202026283426,14291.002847393267,598.1056503903735,2696.247062463498
Brésil,4834.146176951312,7611.559594012012,40348.17030938545,89892.89326762673,26604.205908759624,688.5981881935799,3983983.7140122,5786.098405692452,85265.63853359398,2955.2538720617986,3988.926461103123,7058.982251590016,21076.334289173108,12970.080061113511,5164.768795007329,26723.18281857767
Russie,8097.143599029029,14636.405936277404,66359.52897264602,4735.683830705593,17056.25203572615,1299.8656697197637,1042.8182154785457,5783076.981061297,179878.7871827264,1552.6739214751153,1608.0274849797238,2282.3088423806194,74268.06719313432,25482.759009719146,1549.2611244534548,34881.6278907254
Union européenne,28260.70296988423,8131.2409914137015,42254.3335520705,13988.34567551583,42995.72774141292,1859.6582192647443,4229.037155746082,25555.64375760003,2627225.0011256277,3536.876509289874,5780.951717660302,9531.7842244707,110918.34765748343,39006.60450849238,15435.535188225736,21240.497868216276
Indonésie,3940.2556863611894,52465.6210976303,340183.794687879,5805.3742161463,49637.241487322775,1373.5848067216994,1778.3839077860657,7010.451478735752,73937.08629757774,488732.980097125,14322.325568946433,9326.448819904566,24739.5739092976,36729.1176596023,8942.970970051781,280491.80707592616
Australie,9181.489906716988,19567.418860174643,290435.2203545204,8555.39774133718,50856.39123763216,3531.7356828434563,3465.6942483703538,8809.8302513727,55051.951092338284,77501.00986005127,2049696.5598041525,34349.30603705282,22864.741812214445,22572.58890877377,8391.10795203574,324885.5744580421
Canada,26174.74334472633,54160.80109637819,124165.73227419225,37463.27901209888,298986.00293024816,1896.7886505221952,17517.825187796898,7070.839264865329,200650.61911962822,9390.51736067697,20195.679226192802,909426.0942241503,61472.52269268953,29216.354416797847,33818.398957087025,490958.1906881402
Europe,3750.3674490264407,4920.6732924508315,24271.944226150743,8974.918419036507,31251.99728358715,1023.7726775080438,1115.3090425334726,201706.47915022695,101347.9555990038,2488.4734578545554,2194.7530502854306,3843.596209459676,1082127.7890950725,8993.015567672463,1593.3406092126127,13210.357547155825
Moyen-Orient,11802.264416052416,3357.182579227434,29404.528126198948,4641.149840514437,88039.49250002082,9736.415994606949,3601.8241144351978,4740.421071144935,74526.74409140016,2972.750331200197,2452.6531820290525,5458.850741813812,23212.004081406914,705178.8165155961,2239.5687235991813,12951.754446718964
Mexique,4446.813882942495,828.8939961974429,5949.097388614474,11674.006460385246,13030.427844547767,221.82827728531277,2456.328066962651,845.5582926294844,16758.941428791757,472.9566398203422,978.3993556067227,10011.297508188823,3444.487864209059,3606.6412575142217,1067469.9238851096,9279.374557511723
Japon,22.889983189582466,151.89637103516085,1631.8487059446472,82.51269718309405,1298.5991195462416,8.934650821997742,26.397923769834527,32.08968292956353,393.68508728275697,75.09383210637085,58.51482925287624,92.88153910333956,130.74709658541275,91.06666040303047,55.39120681406498,289260.1444953123
