Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,8601959.917840425,70033.5961401947,118277.82911871905,33952.99226535515,175929.05990575097,71519.15470037253,10246.93501462777,42342.63066197866,1258113.0100555979,14578.647279562976,16383.487087864549,22338.375858402953,321233.0433340651,36736.08149752298,15082.074476070979,139477.93845133
Chine,5131.992571293561,4928745.684284386,98236.24487485428,7122.159974536233,50617.058871645,2210.98720130441,1738.7672938765036,14636.374265555374,42533.211711561504,4976.438787082733,4261.110026038873,3708.486754192043,13472.276923204308,9044.07521295007,1249.507287664833,43450.288490455
Asie Pacifique,71457.82154304632,198795.4811641419,3572984.7557378365,71744.78086228586,589660.6920210344,106376.69716394866,13437.018523756913,31538.823240600144,427566.0958988054,88298.77690428054,79068.50905756763,57450.97692149071,185271.80946920716,82749.73665146717,18725.33402586197,1095236.0132078305
Amerique Latine et Caraïbes,30192.52270701072,25427.94812301771,156426.47088175206,3787573.324074786,303931.9093954105,10080.39146207553,126385.30351068583,14373.656201005288,431433.24146633304,9160.119278649909,6942.2925622978255,17550.28680099269,86804.46160931018,75340.24328993614,20383.06603541572,118600.31767275075
Etats-Unis,33638.03510430426,42151.99395075651,241372.455159591,127019.47862465578,4559677.695845145,6932.403079913629,18160.61377290432,15345.580528610775,194521.96520071017,16988.98098272449,9865.413272011949,75434.71671922499,62614.53437713555,82215.65516760571,100352.22524607148,394484.3738765302
Inde,5422.8265945286985,6242.370900506255,35571.09211887225,3032.1735406291023,23118.061557474146,2020615.6877118524,1210.0999365704977,7129.774512653689,26127.201476342645,8648.432818275956,2158.675828904282,1630.3391801985047,11301.688845975372,20916.908129359697,1050.6387671101782,9243.818325302907
Brésil,4740.437235933466,8546.730570187052,32320.42476609569,47586.20450850721,67893.62548292977,1901.3408088081183,3939376.8477647686,2369.0128468547136,142418.50977361412,2312.6880759496416,3197.767100767567,5230.870635827869,28995.604617097037,3883.14736372674,1899.1593179941167,26656.513908653105
Russie,9688.156595972012,61613.049041716135,160620.58632685058,7899.99244659935,48340.46982472728,3340.892063268837,2758.086333156368,4593886.386462292,452537.42799442966,2596.948318635156,4205.794962712831,4059.453898180647,113030.24258557416,22014.613973653573,1424.9612429197973,724421.932838111
Union européenne,27498.557222831838,6664.455069481173,40380.76108034034,14148.14290141778,49515.23760596967,2623.757358826204,4576.845117364387,37992.09364425336,2628018.580519712,2773.584168138091,4976.484000954085,4859.584224036974,110752.5939747033,43989.46450112678,2732.4002037171917,22312.804097331315
Indonésie,7584.538618153907,39917.97819682647,231490.44498950912,5701.067916163425,104526.94528351551,6834.037310381337,1550.8026410477594,3836.49258497495,84209.74610838898,575156.977961469,9776.63581324309,5337.132812672171,25189.14086548437,60662.95943060805,2928.903719612962,220842.4098844389
Australie,12605.51313769304,46568.355662440146,302826.68473790254,11366.938983355045,114085.7225358464,11152.338888595114,4671.569072211618,7846.280350126842,61664.503318076175,106632.94426589589,1964860.384902485,13668.642545396473,35330.80779792354,47217.7141030707,5736.871326495497,231809.43695835132
Canada,17522.963187562782,41626.70573007327,80001.23250574776,41700.95050139936,838663.4023357364,3304.924527451073,12196.507037527459,4145.170654100858,82706.45338648891,8712.15242397177,7685.472096853621,937316.6684506297,28304.780352817335,29258.92579457149,13651.119167733083,176095.91434602992
Europe,6412.428877812827,3669.9752287956294,19364.364781234173,3981.3351968686347,23399.980021818836,1917.680967905893,1499.7217361476685,10594.485507300498,241941.09553904505,1514.7894239307302,1943.3796522348493,3076.8668942270187,1136068.0892400485,22348.628531975908,1132.6900418998869,14857.126444651627
Moyen-Orient,5332.037333806477,4151.972906363967,18078.84226986896,4796.249175462002,35670.00949794274,9595.173093039633,1722.2892071454635,2708.206615725143,79342.39461286711,4531.998225237078,3091.435975649057,3122.347092602654,34440.40620694331,759018.5218088361,1767.6065908723176,15422.298467359844
Mexique,643.0875632698302,651.4151450511898,3478.469265506068,10254.533975276028,94814.99327952198,128.88531412280918,1042.77765268896,741.7879561632851,5884.2996873405555,251.5754264847894,370.28591650137696,1844.9976819613655,2127.715548877135,878.9180806353595,1023947.4427255662,3545.7453330317458
Japon,41.88326919358779,188.9807431273384,1966.352154812468,91.94608150690077,1055.0175787034723,24.191424252599788,28.116381665224743,26.266606988807478,623.8529990826388,87.71353168411366,67.03606623901737,46.207296674877405,200.94623169792243,147.2326225765865,23.75961956387129,288281.67086938745
