Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,14502231.523934174,552375.5254456352,287677.0226437504,38851.150377860846,305036.0454703622,194178.823025661,36972.7554898123,44680.68368152795,1025897.1271462692,21108.648615191938,15374.016343377858,30231.057271917398,213869.1620577289,584485.2971796426,16636.398866564254,61778.78183664551
Chine,70777.14137775828,8991600.565566298,414010.4308924356,62554.19431338669,291235.51885563636,47666.423060471,22395.35103250122,26943.910242714897,177764.02822005603,20989.5331680449,21518.317538996722,30964.167130329046,59923.42327747852,109532.42950931465,15188.396975367854,97355.90730332017
Asie Pacifique,168576.09166028455,2359262.693296877,5272289.173926207,101338.95911382021,612777.4960884419,281159.7716255391,32498.079320180732,83138.73388769911,543964.7231408119,151440.59374571918,113713.76831504548,57493.639814739545,163635.44827306812,297002.64649030933,24691.621145222987,331637.7744220864
Amerique Latine et Caraïbes,93803.27428793702,595644.5177376387,198288.60545385943,4294170.318851375,410129.86395451933,65512.53524181784,126144.76826115188,101780.13233774148,299314.87773012806,14336.911826247533,12009.32886369607,33372.424784701885,144659.52517125767,164458.2996538702,45763.527267338366,64666.0694988236
Etats-Unis,56508.05998034071,297060.5607678168,322468.64922087576,179039.05951220408,5018295.255978505,35268.342548110035,21349.370677473646,9701.514321415745,164512.20484798087,19484.889515799212,12084.395169306461,134739.27289520396,53455.2505148677,105926.30986476156,170601.6685484276,191701.8570838408
Inde,24393.64518442045,35969.92962474176,72032.81253480032,7025.7867122764055,48959.45047691534,3853575.0062549557,2875.468253443499,5152.182051456407,44481.947257278116,5738.638687056283,3003.2062290817084,5368.678281004258,17873.747731860713,64278.699076273006,2039.9481752094164,8654.130733409862
Brésil,54560.84959158064,332801.25744089106,192277.00004184258,176105.0811497111,119329.53621226593,31229.26088885104,2735447.642086041,8585.34468591578,118153.03170840266,8499.114870802026,4885.768121604245,9955.08221808857,58788.07732632865,181592.6102648862,11875.605778324893,26249.800621654907
Russie,137478.7114849362,421491.6398097963,230488.32746127545,23975.325794524102,90079.39194120248,34167.047605488166,8441.621919052299,2485983.1990156905,210528.5279626027,13181.834260207372,7399.061772130427,8290.553076869166,134439.23135899837,234068.32823147313,7756.131874590266,32584.91529632616
Union européenne,84103.57479761637,90559.17493693987,68227.35100607356,20205.866858281395,84395.53876441838,12739.674659383812,8989.48716238131,26360.79926870137,2440686.4851201884,3500.808617926766,7399.184942814351,10564.777004908765,218854.92740404306,116931.08904904209,6342.473132652108,25109.375685959818
Indonésie,17516.473990459548,67764.09822440422,55135.20075415751,6063.642220256275,34928.394869327945,36722.528513076606,4225.654576446802,4532.55800655632,32057.6321280301,1923208.216866069,2657.2055112127514,3533.0270376601698,8685.403226009139,21745.558988574452,1671.1498440874404,24560.317435976118
Australie,20765.43555373312,503643.9897252026,322722.2677364522,13478.356536926314,169836.54930987765,20883.600678070034,5651.23643224485,15199.116408803358,80295.65792828589,158118.36469031227,613220.84438155,15630.524335233555,34128.21431834876,93916.45309174094,3143.065005266091,196621.75152519462
Canada,30866.755594565253,259814.68213539693,103301.51557035698,40369.002345524255,640408.1170136369,14371.096607935206,6421.731642434361,3392.206981885831,57300.70030304556,11746.88472776427,4827.125867573869,759560.1512676991,30229.54231915482,29199.075769343435,24244.19235739654,90612.30068067217
Europe,63385.27893255284,66585.17155914046,76331.8507311547,8165.64150458943,42200.5422647957,14831.1201225731,3778.795657688554,88498.29796609805,284747.5695081783,12778.884438127874,3698.6094484941705,5093.184063564473,859558.3157877495,119168.55356376297,3016.2247792749868,10157.693458740225
Moyen-Orient,52466.00202592098,61886.432500335584,68031.97066094656,6590.764254836612,52264.11489774268,31892.889214030696,5547.229101643595,18267.891311113253,81145.55299718221,3968.8200798400508,3528.619884579606,4670.911775958448,33464.20225079731,828983.1646221147,1710.1178480386686,10649.837329975036
Mexique,3991.539190488374,14395.13668470275,17073.267219529003,46023.70919403067,396089.33611720457,1586.346118017895,2670.09090572886,872.7458959520536,16787.319244061222,535.5680782047865,1229.8617486148128,18153.876432630517,4587.136761478959,4251.873559800248,1068447.1219655434,13435.63170926962
Japon,220.25353159287835,6863.5893397441605,4675.072923050167,229.63403659410642,1972.7169851734068,278.6454976088358,99.96314935561591,117.3440658434016,983.2923054464087,271.60501077247585,159.04530121312646,179.7402756371576,322.6512855513267,570.1077560377311,94.32387403352881,311210.07172973384
