Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,12935528.951216526,364240.3947299725,191553.35264921706,45837.69380906101,210034.1371544983,142549.20604145364,28037.934997420474,32065.85900129051,662534.6811525995,13268.32144994924,20687.002495649216,29188.990545332326,165142.2786957474,465114.2259788514,14270.702476749691,68816.8037470791
Chine,51659.3344983558,7733064.419292641,359468.39585720433,97263.31707507673,309725.38281509525,40410.92657396133,19509.40417769761,23721.969834586904,186365.25469651114,15849.908039910406,28723.96439564724,27318.17667959246,72799.31336495915,108766.68289665741,15508.486180640006,97589.14496043028
Asie Pacifique,144329.10610150377,1308064.5558240428,4588195.476855205,136869.5660328001,537080.1691678285,343336.5794985683,30481.14767541667,62453.21866584261,532605.8138350707,128038.31150771708,123265.1750622734,49187.35752161739,172190.91016919154,267666.2801966617,31232.8694090248,288761.44296148303
Amerique Latine et Caraïbes,61278.02421277632,407116.5938579583,165984.77810538464,4910778.669336302,411099.8172290063,68627.2451781027,108983.58954256328,87342.81380825385,326616.435019533,13851.1362047998,14493.977394902931,34452.4253188344,93260.37342413532,166149.32369187212,48866.85583035686,63962.237526349265
Etats-Unis,42610.24958280619,500117.5396408959,271172.08724204206,247790.73207679702,5292198.105851511,24038.233558234613,19831.481947762513,12000.367441109149,162058.01291008006,13707.014799342543,16827.630408042787,145041.24092366672,65023.174152429456,72776.13460480882,169661.28000920487,158904.7224820057
Inde,18795.404772354657,31112.30708449455,56885.59797573575,10543.708413324024,44079.43102277116,2656818.418370737,3250.1072621868657,4680.995954680497,48405.57999448555,4210.033483927628,4721.272368935169,5592.129629904225,18188.970619402473,51278.9791604577,2587.907780818868,9153.64146400965
Brésil,30500.76419757659,208208.91747143306,140979.7023876634,223039.51604522375,108635.93733747501,22176.467577108855,2740579.580382154,29648.392444522204,116564.52425058502,8117.201395439921,5786.219663753462,7971.807701892786,32531.11878169036,116351.52513172652,8691.709349324681,28105.4391254043
Russie,78375.02639328007,390754.5289507378,206620.5966895796,32078.55336839024,93880.40570538303,27628.26927014346,7466.164898560697,2714806.708086859,212843.59175502026,9052.06888240076,9375.508687102048,8269.835213044307,128217.08405018646,115926.73454767486,6220.642806160569,33026.43900739561
Union européenne,64255.01611683098,69917.32532407671,56614.07021017189,24183.590940382765,73972.13014382024,12368.151416569932,7422.887583457726,19368.444441550615,2200139.5014618346,4219.581884150974,8345.132041127154,9412.30526570561,158558.72925754814,83247.52576981336,5711.247285808506,21779.661738948525
Indonésie,10106.692040472512,44155.30839138658,43352.95036138089,6785.103525684121,28576.850089984313,26274.913956404474,3132.479769727011,3911.8988328317428,30313.200858408305,1402564.3360072342,2620.0575996934053,2545.54050625006,7762.94242241288,15978.265097300991,1499.0827743701684,13402.834243062738
Australie,22707.053976455423,345759.95668370056,249401.10005811474,20856.095399410817,235315.61273786332,28409.384350682198,8231.511859412265,15058.67190063768,101292.60979926368,106623.45724739248,1039239.8848569933,20446.43683744927,34380.23030315319,88237.54632641998,4810.95760392845,148064.8362727763
Canada,22553.911259040196,224613.25632332693,104414.58846947375,60671.154474370975,632495.4251906204,29214.531714628352,6103.221957104898,3744.1324478791958,68846.983674031,8338.64017801635,7685.6109323018545,1034909.6444879442,36670.92289649008,28770.877434752434,27211.342983144914,82996.15335763225
Europe,35403.00322932524,58528.56864612355,67935.72585315218,10246.436108325928,41003.57898504498,12664.854222799637,4240.749866749646,68349.62139034907,201035.45893963624,6486.717299026348,4936.032163807932,5363.916276261235,909873.3993076788,75985.90830392213,3837.5818363072717,11584.511966672431
Moyen-Orient,56194.006022177615,59155.13115287366,64698.49862145941,10567.607661857684,73491.46049784317,33024.40294205575,5182.050640700957,13615.856360447982,86148.1262841263,4958.890044949299,4508.50631341532,4306.228183435417,42708.96043295935,594830.1075544138,2649.5130266971255,10791.53423743194
Mexique,2456.765479740641,6853.332907104811,7365.474669984582,31402.301365781448,296907.78519691207,941.9352216436774,1495.7779795953318,476.3510430250208,10452.780585679428,296.07224441699657,939.3154413450004,9507.720415547601,3608.8804834490297,2616.8418206328265,1013484.3280434351,8459.159048050267
Japon,167.6478144631371,3484.7046595141524,2684.1731907883227,368.1241096967452,1359.2121183100203,144.70819346514742,72.04705680844113,106.1645093546021,837.8188659863359,99.273175750264,140.2335339703977,102.42151994487038,331.15832832796775,429.454232672948,71.67567611750202,268707.5293427344
