Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9300923.044482732,71436.3802025275,96642.98384160586,26321.06544202029,181461.24075500137,65677.16288175974,14933.72433282823,25562.429499743455,923623.3636672299,9278.148103562198,16805.212936537206,23897.69138777814,200480.42424335727,127668.65433599547,13439.687915279179,57484.91301332249
Chine,17471.59816510733,4598082.207563092,171212.34227996352,17255.513350302357,189338.1690759155,7419.396034493671,2794.9475155835935,12452.013897945742,113013.02297553552,6059.354207174551,13202.282057348319,13150.543099708668,37967.12221147406,29586.312181610458,6336.938888407747,100972.52315350859
Asie Pacifique,87122.98438865115,340985.8831200283,4141270.5840472206,53666.20173248325,502823.12261628284,163473.81698501031,8942.339676417656,47126.5987682917,389013.5772956545,48205.38678278513,63882.83900423332,46328.76400008005,162214.64583798277,134840.81086851857,29484.510391383294,373484.5084785938
Amerique Latine et Caraïbes,62787.75751777503,96476.4993335361,88807.32924770273,3491006.763942704,470264.18665450125,25739.5032928621,98888.21402757615,28939.764190648795,419505.2215353099,4576.445806348056,10110.418700224038,44375.01575649416,101839.54899781027,80336.41103589897,51341.895168094874,77619.29012035004
Etats-Unis,34450.23557610406,117752.12373835043,165736.37283106943,93527.64406417306,4854535.277908924,9202.003829689927,11188.009646215864,5732.308766092081,143695.35608448033,8931.612053170464,9562.12518897384,87630.08483483638,44063.32139665654,41017.087329795184,151243.96802275718,182451.93912199928
Inde,9796.65837733879,8286.974310535126,33759.525891933255,3209.2964797803616,30262.96006532132,2010843.5776724643,947.5911901987829,3132.275674419029,35196.79901335831,4974.586402032337,2575.379606011112,2601.4297846743093,13879.928530411758,20829.121424900117,2025.5647571602976,7087.086569608089
Brésil,26352.6524977422,103653.23770737906,85157.19056221878,98839.19044934431,168368.93754335283,5682.43844618764,3439281.5404954962,31673.915952486288,196142.83599036493,2834.255917818777,5479.224438084313,10447.002979039507,47245.616460597645,67868.90357065757,9012.908502980563,35642.590771278396
Russie,40107.49201714271,745294.4139515223,350493.02531917754,19145.820349777507,189792.67253447784,11542.115937894368,3893.9747744231468,3670703.5443474986,570428.4354038484,4292.758118603104,12282.667806384496,12657.378875341794,160769.91389384097,78960.61744728127,5964.770438539973,328390.20508642844
Union européenne,31979.87670621888,18359.30332287681,29869.67523970351,11310.637360884013,72556.86653167257,4237.691924925657,3820.940213591576,18114.155207555475,2536939.7023083027,1701.9046582472172,6009.885205223982,7121.793023570419,120071.70976419766,46219.977762760434,4098.782267019268,24195.33376513325
Indonésie,9956.713228737251,53723.03985054846,93887.14580725087,6205.575968061913,99820.89074518331,21089.985712880018,3806.982214202778,2226.604492605423,71419.74841267905,874119.7326314631,9563.56121339804,6062.670738333516,24564.604369084296,31977.201865893432,3465.825407033954,62662.61726217293
Australie,18213.70162222108,73395.14041886899,181154.42271531804,11489.041737319263,195931.11400087483,10042.390762414681,1735.4413061787895,4537.340031991633,66009.12169046658,38692.15762403832,2023184.9394411435,15885.33401714069,34985.1492378009,40384.788397084914,6638.60403009781,193132.9137800548
Canada,12687.233803800595,24138.263873019358,43160.298417237325,23059.180584698053,702162.1979143003,7305.77010475136,4304.360041083019,1943.0272057059883,65318.439118618044,2153.187238641281,6148.197047084611,1323944.379930921,22537.63933263238,11838.355672328062,20734.158303473367,44644.234502233485
Europe,12756.61624382661,8875.858964337505,27480.479654966417,6326.706822214715,28634.010245548932,3654.1292913177467,1621.7483538411068,96785.44510738617,175108.70403213357,1754.2517570753585,2541.5838188786065,3020.228937829371,1081502.751709253,33962.82840739627,2282.542878689819,8150.959529623582
Moyen-Orient,41777.90828796311,14725.038053522687,44252.57509287944,6051.264704805517,56847.83066077854,12690.183829324124,2490.9498953669836,4994.769234628583,94783.25826555425,2518.9839664447395,4126.014315710837,4553.103759955001,41160.0022962717,632115.3923007838,2511.5196600905147,15386.158901583656
Mexique,940.8762155045056,826.4652971914738,2726.4119691029528,6199.204588369309,121175.89232550407,147.5687874978107,375.5728310389032,138.06895906859668,4378.6971569882935,43.45325067726057,253.68811903750878,2311.433812271698,1019.1775592216461,539.9273288705433,982706.4524704438,3030.9943448778786
Japon,71.257999293959,1061.3627008581816,1908.4330172600346,188.9367504401004,1835.4124266238061,67.61372585103233,32.73560456570627,45.98052742625739,1034.90484799084,58.89957239510678,119.33728979945379,98.92074362399562,296.7058100218564,203.04912444707685,63.68939666155273,283417.7995852553
