Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,14154624.571774911,502492.32517628104,261017.55046035358,35857.22318580052,280029.00965222914,168778.0868065134,32739.00039540597,40750.91013022998,931884.2595855237,19427.5849106183,14662.959566657344,27992.426571513388,194878.6370572067,549730.7840962306,15572.095927963443,57628.063396828846
Chine,71335.0784710062,8987013.19985517,405582.472890389,63633.70906059758,296446.95143695537,45178.3861203496,21940.847640228356,27639.90240558776,179557.9966156219,21270.14601649899,23054.67293454075,31986.10996829295,60941.77499237252,111276.14019586063,16096.947325132272,102861.65099580568
Asie Pacifique,154861.4702418749,2148794.8407111242,5057812.254675191,80349.79864946767,521645.29798125447,232918.4006651949,25796.60942563114,77105.65982503767,436538.4456398221,127345.62217387128,107618.99024594898,51445.31096862403,145795.2935123964,271555.074576497,22636.976883979554,298859.40518536937
Amerique Latine et Caraïbes,89340.95136727838,557746.431642678,196452.90602149416,4270058.220335734,386386.7675272522,59515.16371210288,116074.51357841663,95340.11589865133,281729.7531325296,13263.784721235355,11952.75022453639,32418.289297682524,132461.41510326014,151699.18745840972,43430.30430557681,61694.7363440443
Etats-Unis,55554.06397903432,290389.2329045768,336719.7477413447,178265.5530660843,4845512.737352766,32815.10008584905,20270.134431823506,9972.868806589197,158091.77066587616,18600.919524205445,12484.339960391724,134483.9791427132,53536.15621857651,99524.57648714836,172515.68017807134,194018.78560806892
Inde,23239.19529872356,32292.139881858067,72947.31300611711,6592.25025945284,46681.73246884708,3582669.24097803,2692.730326194667,4938.362183493746,41310.73910502808,5355.635942942658,2978.1602758155477,5250.858577852237,16720.910950298334,61505.34783055032,1997.3988866451984,8249.920225564782
Brésil,51005.77643604782,340720.63636755204,201713.19795111992,171910.80800737318,116804.07461419754,28974.65649281742,2738653.175535264,8505.358734935737,113339.76616564117,8173.282025008323,5088.608089431073,10451.63613859096,53893.35416225463,172796.32801185737,11909.308540407017,26984.045859435962
Russie,138965.16371602632,412279.9058177419,236996.45067243394,23526.182107614623,89590.6030631733,33313.04299060459,8457.67003073505,2453517.9567840532,202974.45932168388,12917.41202086725,7668.878347650533,8365.577028447176,136906.150984522,206452.45275168237,8087.049288329891,32770.53734910435
Union européenne,83136.61881310816,88732.27847070583,67325.29410069382,19478.447694142018,81578.25730776101,11951.817865312218,8463.175963171485,25635.85500754687,2432201.239340603,3342.47728842963,7460.530063839628,10206.730751626084,206955.99533855316,110975.56657968425,6268.316051143583,25359.61289536835
Indonésie,16471.98133182095,60594.223230690004,57439.04765956794,5346.486630003354,33097.48945200112,32727.48970013839,3936.229560616422,4370.2093821435365,29199.776763059526,1818446.1668871343,2578.1189283497733,3441.8139162831067,7993.900363676508,20689.8660786642,1623.7684727332307,23947.104975487237
Australie,20595.231474574364,512968.75211951684,335435.8940260475,12996.289936459098,169415.2575430743,19661.391944475847,5460.040153333187,15129.433375446855,78168.02170331606,157275.3800977205,642669.9022499556,15960.753492439348,34501.18992280452,90595.44903842069,3327.3761690918927,211288.9995523699
Canada,30672.366044207,259625.4642625316,106312.0726266632,39758.60378272707,643516.1013910829,13993.933131431113,6438.947003867105,3579.975084772036,57369.624143825706,11252.433730962044,5153.004349423129,831591.047635627,30899.844497192236,28966.32094384699,24756.85914343835,94117.25552857325
Europe,60544.43929320352,60838.39336276829,76637.19405815974,7396.230593724007,39172.49757096678,13643.88870087976,3505.98513266033,84011.3273564609,264108.8975493108,12434.788585977885,3526.9748394373514,4712.207205444928,855226.8871188874,103982.39122597092,2928.0756792544876,10019.847204208121
Moyen-Orient,50309.06342121705,62721.07736950409,69907.40207387584,6894.475473949602,53724.19690518899,31577.564749717454,5676.830737991298,17546.772342864082,80168.77002055546,4022.82961981399,3600.529045910232,4768.614462502236,32474.774254693515,796425.5372669863,1852.5464551661628,10812.958332420858
Mexique,3860.2561199862334,13377.879836639288,17496.449414273186,44752.40576362316,381206.877955256,1475.1068206027367,2406.2428186524166,836.7580494611353,15718.895012818319,509.2543911857781,1177.0716108520799,17439.797906237585,4372.373503820801,4024.077892961747,1072414.7336538301,13681.151216981325
Japon,221.8401394418101,6644.4122834575255,4615.157524838594,230.64089630297272,1981.1214736815164,260.3500428196552,96.92220721565278,119.50016972783585,972.9138583288893,278.1904469547142,171.53425388647221,178.36545974965674,327.0130681473065,566.2235888120956,98.91236763172967,308462.7029891357
