Afrique,Chine,Asie Pacifique,Amerique Latine et Caraïbes,Etats-Unis,Inde,Brésil,Russie,Union européenne,Indonésie,Australie,Canada,Europe,Moyen-Orient,Mexique,Japon
Afrique,9086493.236638162,68892.64493334263,98391.64121485373,27756.736863055587,197814.98084533788,77846.77949628797,17410.482374774456,29452.981581374843,971976.6532992692,11955.112781985814,16805.334748282858,25840.619660343837,213857.54257467267,169535.2813100717,16535.980926865068,60755.677517067175
Chine,13881.536211362449,4716790.568793847,146790.85095532393,17506.074572417212,167506.815097495,6854.616474310859,2462.438595320471,8117.301210889405,85201.2786318407,6277.746154441013,9859.908067081162,9805.734920414641,29790.341614818542,23405.578775467224,5581.884728896892,79075.5901174667
Asie Pacifique,115264.15920722701,315473.3915759181,4043083.190063365,64041.26126699481,530259.9274375889,87159.39033923489,16756.276535237008,55586.27711946013,470503.67091198324,63806.63093782462,85695.67513580936,59700.970815818706,166749.17566102845,177336.792800736,42077.28348476405,406613.5342126728
Amerique Latine et Caraïbes,51836.543340589255,63370.77412438528,81218.64368424627,3574348.740305178,411063.168113591,22275.43214382481,126377.06596828924,22840.103284736917,419217.007852241,5330.988818516272,8187.934307655721,24413.808586049323,101559.73185393025,108263.5938224622,47627.32155974383,71101.58502272119
Etats-Unis,32661.24426237695,67542.36930927503,148345.36778512486,110821.91477213938,4873401.516090319,10626.312917523086,11920.407804746512,6098.634324682141,153535.7207052741,10000.975369616568,8532.679553860193,81717.56038094257,50799.58574793596,45749.66751053703,171689.20231562326,169000.38415621576
Inde,8089.45386706778,7351.377436245091,33496.245421814594,3635.0431021810095,34680.40612707941,2001049.992299582,1123.261506709834,3135.6845234759003,34116.95974626674,5535.42678355103,2664.1400523673897,2454.7343117452197,13602.601686137816,22404.606687585514,2203.2324009932086,8409.044321683488
Brésil,24616.180607389884,74991.12192501292,72930.29543725,110604.53214216666,159921.31982002646,8126.647811341515,3458081.090946024,31481.60681605127,198005.17680053617,2785.0743775240626,4693.327838501364,8947.316972304141,49959.813437202705,68614.13022080791,8558.28381875722,36149.42055906613
Russie,55525.922318755,834664.7956967123,431132.72893318534,20182.718100020207,224601.6579182555,14335.518852613428,4742.221179215055,3448589.1824750556,570265.1242167376,4511.282062400393,12336.775429497562,12811.109955418502,145872.96000566834,92751.10609515461,7317.0560067541555,330580.21470911213
Union européenne,34371.17480209702,19337.687992109808,35495.86524495006,13449.09426768842,84104.24034393788,4665.021740919043,3678.684916151758,17761.73586483107,2528976.8730838397,1932.2718298319373,5359.89062427604,6827.191539572176,119211.20232644214,56174.4785056933,5423.513704487451,23425.090039701554
Indonésie,10895.565647476731,58152.56333900836,110263.28691777137,6464.311493917993,110116.11246464937,22162.17770425181,3854.7587726027537,1880.8933659324268,68368.30553948144,803895.644679689,9083.29653474617,5558.849560109389,25525.792094838074,38437.924897399425,4020.4292562808223,72841.12675037225
Australie,27060.888371419256,70799.35829407754,225937.9759410298,13599.02792284134,242900.81540621485,13845.958941937588,2572.0661245720135,4861.346696867425,74303.44922181402,51121.96614542357,1883433.2987387204,27758.692836544476,37578.32122345831,88696.77206587828,15120.6946389017,175578.77467336948
Canada,17583.06874757025,21487.16951847961,42108.51970974844,31484.03588801296,767240.0568168107,7153.197562330295,4364.967805363929,1831.382648304883,59461.66956288507,3036.258519117632,5511.232623864493,1248527.8465206658,23691.053893175602,15018.365497488056,23272.9512953624,44308.680810081525
Europe,26830.376257139866,6901.660997470115,26628.22616995429,6782.147353224824,30144.790409265366,4665.490756719109,2654.462933673258,80189.03353948289,196213.15270193375,1386.8444528169018,2170.085454980396,3571.2422223759445,1068301.0986306432,34616.38429975994,1877.233325217502,7256.249882173535
Moyen-Orient,39619.13660290437,12478.596157542273,62646.86838682236,5629.750813000843,55808.739631428856,17112.189091145603,3127.233639466375,4242.5800795647965,87308.17077804699,2481.0482233286134,3909.7288695960583,4301.965721139945,37453.177821070814,628594.7402605589,2872.104065436768,13680.656579637058
Mexique,643.262029136062,571.5488949425095,2112.610734727865,6863.701089003542,104872.97225215932,148.65438863312414,371.7879358121148,95.76029878944541,3933.6232541168447,38.77033249719101,197.71090555529497,1791.220648218348,1315.3875908446394,520.5630934183143,1004436.22216202,2139.2808184345977
Japon,74.86558420191821,790.3546253473022,2044.981553296539,212.6723486606056,2061.2010420377756,54.98124383833255,31.579242348582518,37.05281652027434,999.9199106690859,66.05302950801422,100.34300723987577,87.44977774019952,285.3951078858237,210.65929587805329,69.85333355555278,283533.63115246315
