Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,6313556618151.946,474035575850.2278,64199089348.63324,346306523156.6082,471571382974.669,73405694340.69865,153994641627.70105,51710807673.39137,111500103474.38237,165977184410.38593,96641696800.76465,27978029849.625477,33405703378.86449,25448618361.75837,43334509842.00992,43331011893.052055
Etats-Unis,43592565698.98902,4511473317975.837,13996905230.92699,129849032946.49242,68491055910.55625,14995484433.552135,36262871552.87059,12185225654.317251,52312974076.24277,41333702122.50655,71286605016.29076,4399733149.868597,16103278796.150766,68504988035.3339,11297871614.06172,82588455239.41849
Inde,20049440986.103695,55630492095.012146,1759312828876.206,77456118368.30133,63550756040.2645,25718298944.89413,80599282918.5577,4666642566.664106,27364234264.832153,12678317396.492111,11148771991.329758,5643962033.829351,6002419173.7171,3150775519.222121,5512653969.348169,5141002903.979557
Union européenne,52471306568.35075,130339861402.82591,14615505263.814947,3122639869589.9116,59891920479.89238,39044275349.39608,54683220128.85605,42628632202.98798,139515004897.5285,29196164604.953953,23567291508.470894,5087775850.364326,12770007277.32183,10991948772.548758,12977077615.771433,12998913450.596016
Asie Pacifique,171237080858.39807,204626593301.1674,54988327199.65999,294001627233.6167,1824691534410.475,72864340192.36752,123106366879.18758,40623434384.85281,142544597344.25998,111212571427.03381,43668137587.158615,49328483346.99367,17214242710.007614,15499058171.920881,56143561917.66715,20467653643.13158
Afrique,38928341259.94656,109611464804.65848,26312414496.536697,183159573078.5909,38779545342.831726,1374490029753.2944,45657650383.841415,7238681758.63257,43644771416.82871,19810314222.591885,13132460490.405388,3745250315.737974,14778538774.109423,6433550829.4675045,6983861873.806782,10388385424.789677
Moyen-Orient,65150717754.95878,154586456299.4254,51537201985.42941,199073995986.93567,120497356862.75375,53857069973.370094,1120474962005.8003,10935027913.40854,60718217986.69061,100597750305.7229,15949451238.192902,14252785826.21882,10974311523.99252,7918582028.010153,14940217024.623198,13744691607.329454
Russie,35707303902.91609,52366215023.35081,12637064455.903877,390923176537.2393,68595646033.6387,17862389227.080803,31375650822.870567,1048745806590.6656,153759140132.54218,23611556395.52309,13043838185.729856,4000864491.567737,5520418534.815449,4343139606.134634,5086531721.303565,8636339804.723166
Europe,13926832432.440025,52550712056.55333,7154701911.972482,160271435418.236,30455741477.346497,17177017261.985222,44125937517.35678,43735394173.71542,1112597992725.0142,8907911814.588552,9865310437.498924,2951950685.9881577,4116242093.010113,3030896943.513563,4804169620.149899,5432982253.423318
Japon,54974691278.76939,55658242962.46558,5851712964.11077,35016281343.92015,63141116315.87764,5091163652.074252,15837305354.723415,5375770706.4238205,11235163206.270767,858138742189.2697,9214689796.385849,4876692332.329779,3875825548.638191,3489830973.077895,6157737941.60783,3825119943.6145144
Amerique Latine et Caraïbes,28392266015.55694,144075413347.612,7111674683.131357,87333692080.9328,26504435066.892315,14079236104.50341,17766803641.763824,24730170375.84333,21457890700.200615,10951892354.281033,765184888007.7268,1808656564.6182413,30084935335.030922,12201802047.236582,3216375251.1490154,9727695653.46197
Indonésie,17671580755.655518,22441671877.33984,11096539991.447004,20965438477.027374,42094447716.9718,4888757540.259476,9768189135.462296,1531733395.4070776,6525622924.401405,21788893990.418335,3164582032.9012933,437647610799.6409,1605678431.7714741,1157131627.4461482,5905615383.676086,1508405392.4631243
Brésil,11609198267.115711,23135234306.993305,1931638422.2709038,22222100219.87437,14047270303.836506,7979714888.810924,19980623502.816154,14921910464.174381,6129220510.936911,4327649475.016487,32670492482.172882,1135105251.2801552,755708557878.5496,2466507274.304244,1115304680.590609,1937019558.02716
Mexique,2514870514.376312,89116585519.14902,1563499360.4084017,9347909311.973888,3542292392.658379,990971035.7748966,2080838349.7356822,463814640.5911325,2342867447.4614053,2067162219.7145112,12984884230.350271,267898272.1150845,2047077539.474111,406118334441.1848,652203662.2590176,4148364589.733543
Australie,21333042964.30759,20555761689.10206,15064790264.433847,24302451929.38992,39377984879.538315,3929773744.0605264,11386454693.07758,3907118280.3734264,8652159864.920727,37739042999.28071,3634239780.0198846,7765485532.398675,2624096823.2283797,1863008410.4865232,392958637878.0328,2124489173.6155095
Canada,7042948021.970309,182409136078.61005,2224118549.192159,17981896014.607723,8406812614.070123,2599667985.240339,4541121262.526717,1638140303.6622136,6466456848.104192,5981108336.415693,7255926800.850112,903435644.6100892,2282106545.649418,5959244927.911689,1499394421.28307,353571994277.4249
