Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3752372190138.0396,243987722131.15744,11276762826.164433,128865988174.27759,203027221144.08713,18207115001.162228,31210453807.95634,6997850311.480905,44107243924.67921,106756001566.49763,26323029592.426964,6992561162.875976,5619455999.505336,8209007222.209427,12185698571.558434,12286455737.05107
Etats-Unis,21309041336.8897,4577562149148.455,4969827959.808428,106799937072.07854,62031873936.079285,7796726505.945412,20125950809.36825,3668628696.604364,51576233391.60751,58660430153.31456,49168742338.588394,2474199593.263598,10896067687.44684,64187047026.204834,7242857641.865501,60314512389.811676
Inde,8717784147.432636,39052037282.48862,1398000482668.383,48974366648.36459,35097082768.130455,11102708211.064238,34195075659.137886,3462841691.9755826,19485487039.827248,10462973589.327717,5520849790.498323,2330936108.579304,2620739653.228741,2309854411.8014917,2923134514.8913207,2931543680.094833
Union européenne,28828573672.874374,157196396937.98645,8160911131.745691,3122463359312.4634,50790452833.475876,26034874805.99237,39513238273.000046,18209135416.67647,131930454168.15237,31209460648.32536,23713686415.10283,4753580981.89719,9948441160.770187,11031629145.689152,8632221206.934599,10698128253.761528
Asie Pacifique,96810430678.75693,213573391564.58047,22695011041.426105,215311360502.81497,1461364623610.9033,43537356344.83733,61365442741.15254,27527615129.997242,98810854487.78185,124066248230.09833,33411790947.816696,30986254679.07721,8738253455.861652,13616802725.133091,41868637518.044556,15774600818.108263
Afrique,22174480570.565205,110434479316.08679,18787351236.841446,196863062049.083,31748272108.637474,1092921387363.3569,18451908420.967567,4698838390.215883,46411151415.33406,17770824883.84465,9464415420.464674,3910110309.4830327,12242217676.038206,5049427598.298506,3955940558.2245736,6314071056.150494
Moyen-Orient,25370389713.891884,115349666883.26328,13707976503.286478,132141545527.01207,83445327807.64091,21545158957.203808,815391249685.467,4471616805.389634,41607917527.56987,84405787763.3552,7102625674.574003,8472556390.198213,5858744381.166085,4956208951.802694,8720169348.93194,7329974584.970015
Russie,41708167375.831474,70932528829.49724,8694844496.375122,417864984035.5921,81707298899.18758,10370102663.897081,41642391924.377495,822752525090.3925,119132180867.10498,24995648616.087727,34373967935.2558,3338729241.0948024,5178138075.361828,4811198283.557335,3962421999.3698363,4480675835.244817
Europe,11878878223.969097,67864282039.385635,4353231456.537094,180146353410.0069,25715782658.034706,11519743410.567448,28968488925.126793,52243381563.97933,999819847313.8955,9538630789.583282,8361250851.766362,2433347676.6908503,2560416749.5756936,3248145766.9451704,3088320661.011653,4456365174.938572
Japon,25662282508.3987,63223179412.3215,1613563981.4352968,24075014044.374275,39897035001.536,1845654971.6942823,5831439257.904077,592669084.5271024,7676126688.263574,919675717472.5265,4785033106.756891,1652905406.7985218,1311225116.657595,2000780964.1235023,2462720743.7668805,2011339512.4581928
Amerique Latine et Caraïbes,8004412954.23873,140452014616.38284,2306802079.668264,49413941880.76395,12103857355.768997,4579362383.6449,9259872796.822899,2907147025.1195097,13686675006.707884,9984900946.664703,645077040255.7823,975946199.1905264,22091464543.851017,8984103081.223341,1400050531.554777,6396797303.580063
Indonésie,10490760014.913052,28849867847.11786,3793656142.847387,20983348218.393925,33545020978.376476,4607552650.666261,7432373440.197472,675454423.3795513,6897035894.171834,23071398394.274597,2895593807.6504183,329520569963.6706,984272289.9139811,1083730374.902278,5354421518.706185,1789946251.7275994
Brésil,4982056268.611616,25894454090.850204,756531139.5823743,23060245411.774925,8322272262.573613,1785254166.5719988,11708658274.07219,2364004097.4574494,5307506542.053836,3933089176.1097317,22770354655.133427,362205812.49207306,639346160754.2936,2223712022.6353326,606901198.0934833,1051069117.3282636
Mexique,577277263.2783006,55977408788.916855,294964356.3532784,3934857641.3848844,1270926779.8021946,217408818.63216743,424819817.32653844,115556530.92027771,948683007.7637969,1124055165.2851682,6103949314.54185,72604230.8493514,547879037.6224514,367837319832.3238,199001100.55422917,1102122717.5277812
Australie,27229619155.684124,38459106502.58801,8120225739.809635,25888451453.318367,52048482305.81283,3625645017.352413,12586449144.275776,1290717886.9670954,9607353518.340826,39800010246.50089,3323541182.2552295,4847416955.808185,1761064014.3074076,2581416068.3751373,390338338685.2873,3048746674.9324107
Canada,3980163778.470657,199294519615.8226,942528514.9759951,13340084607.223124,6340129297.362697,1377992150.8014832,2168302080.5939636,512643421.8820163,4652381134.189235,5191009080.832529,4468357239.632291,381220979.3871772,1123405989.2706788,4173170698.7846813,830368774.4980179,334503560815.75494
