Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,8250092867913.468,439955210648.73474,92604515885.01678,333963833048.5333,579211370431.0459,91808461389.54788,168419779958.7493,53472631538.289856,117837056578.04065,170301309560.29956,121027289542.53304,33455785511.63465,45697620416.28366,26301596735.23503,58725118518.24279,42486735169.549545
Etats-Unis,67688570014.832306,4322244414573.916,16515335956.09184,121916328884.14964,79624303445.25555,18997682152.48581,34328818030.20831,10434037439.16466,49707859667.00484,38588282267.19553,78176264132.63365,5387491790.894151,21314558727.72635,69057078853.89769,11426713012.065968,73857520678.3886
Inde,32793953882.855274,50700031742.749084,2098019116364.3281,68502044556.26524,75806332404.10307,32334887334.832436,87657771814.14716,5471176787.258484,28296452390.618664,12558016168.191948,14186453080.217548,6698101564.866189,7016738318.603567,3026399569.195102,6528879969.523188,5219587042.525763
Union européenne,94525669613.45457,115153309820.19795,20347031486.33258,2926846459542.626,70374725581.18564,45073603043.08003,59380486113.447426,39975831122.73952,145386387905.947,27907568881.988556,24060613788.905582,5667650225.057002,16292120006.456917,9832487206.106638,15012297482.584354,14306220002.01465
Asie Pacifique,281224130504.2374,190042676020.5294,65327061208.9603,292323759467.2907,1893967875420.6604,81825833254.6397,106758957076.98016,50145123649.19336,110383183085.72705,113752088876.26651,55268055814.170845,58166280994.15003,22550631012.115147,13552701713.776075,67147149408.78547,22723566098.295578
Afrique,59793177013.3616,91051393124.01103,33841623066.63173,154954562598.3504,45825857011.401665,1462412199593.671,45289851643.0686,7985774110.730448,38675724017.401405,17229710029.87532,18353659693.511227,5271171448.270836,16559410531.4581,6183689757.706165,9056752610.614058,11624285254.39996
Moyen-Orient,125813875607.54048,150580658452.01733,75985265945.14037,185305520679.0351,169257691182.2067,74809068517.1978,1188060286738.3718,12089947226.467505,71908520024.72758,101795261285.59511,22061675759.877502,18310403207.22793,13759893852.498932,8500069329.364204,17648268601.0952,13911553088.044641
Russie,65618227508.26652,50285910043.63613,14689011462.601799,338824589435.14,88394274733.02919,19386938836.4864,28644424971.13914,1059340065427.2633,189292542079.12848,26287718193.799194,13500461280.546505,4651532238.1087475,6347391294.2914715,3681703486.700446,6344438029.614473,6756973335.956365
Europe,23751647998.69191,44706373537.18379,10998887623.555695,152901104518.60464,37318052980.50385,21872175929.12508,53886322448.51953,58368947226.62734,1055848812994.9819,8852879772.695122,8783142065.15977,3162115999.312134,6007786707.814066,2801724589.715188,5208261210.928608,5787676118.830418
Japon,70518910413.38072,40772556813.28616,9418726863.44221,27008898838.990025,64111197810.93405,5475968573.515041,13470851235.3614,4138479820.3617916,9294362519.211933,913898855941.7333,9530875092.416166,4959495025.275678,3512675211.734269,2763572666.884087,6244354270.673113,3001315324.8406997
Amerique Latine et Caraïbes,46015424987.056885,132592147859.8412,10372586388.054018,76470888397.13712,32729773967.269188,20472792009.977303,22587281295.238995,21883608494.524498,21782335859.512154,12243109900.825516,792310265582.728,2661546301.4613075,35876028030.81217,10401123498.517906,3357985413.517194,9714282135.096962
Indonésie,32403977065.595997,17772406202.155704,18151837382.415527,16689659382.24766,49629502223.241165,4146722349.439472,7828644986.797152,1659972234.5387113,5523510020.57436,15093619457.98609,3532676617.5204215,503204145121.7482,1865524623.6001387,887814167.0285293,5363130373.934366,1498688861.3966868
Brésil,16875446425.254526,18163148302.961517,2721448293.346035,18178749614.332623,14852557730.637619,6078656985.884416,24468888014.38173,8716264186.535116,5415220532.0879755,4195976880.102188,26134002549.700676,1046452730.0103818,818026395143.9646,1638079695.8356864,1007752715.6768438,1969115080.9250553
Mexique,5280140850.225461,90423355972.53528,1669353574.828058,9008933595.126966,4735830049.411815,1266676526.5034552,1912240021.44091,1638968756.6446617,2647097718.2569885,2488810592.9369206,13898004931.080112,298609598.11949027,2666296051.8283224,418968935090.0779,845061499.7322519,4918108213.413589
Australie,38281941983.7735,19379501591.486347,19478035594.08594,22091528259.533882,51756080871.84558,4802536350.3391,11929372824.225735,5149669655.391763,9094828746.998093,35932434517.327194,4240193661.6717324,9818011279.369087,2761872476.1632695,1476866531.980353,458012240025.1771,2338975199.0214615
Canada,12302375270.579613,165780895749.36517,3029840263.8002553,18876464146.89896,11116520864.02209,3083472806.9039755,4865859180.184059,1733229326.1335278,6853732070.200202,6600451852.110905,9318807232.53758,931564676.4224958,2431193993.2965007,7150127915.328395,1930061136.5335534,356548992300.40753
