Chine,Etats-Unis,Inde,Union européenne,Asie Pacifique,Afrique,Moyen-Orient,Russie,Europe,Japon,Amerique Latine et Caraïbes,Indonésie,Brésil,Mexique,Australie,Canada
Chine,3265577254180.8994,154774787473.67834,8303635611.080414,104709211147.83263,291460620979.02625,16548072433.132484,27225944650.46107,10382518070.601843,33229621753.999275,95817266774.85008,20684662157.459473,11525179738.770073,5398165504.880192,5158477777.752266,13122129415.351366,10051046239.829062
Etats-Unis,14121120318.500858,4301694533820.783,4617522614.8342905,104280876511.06497,84856093338.14467,9187117826.96023,20527994030.538265,4896628321.185593,51860900997.39304,69641212573.74686,53157587658.16072,4434956294.268903,13007649581.433298,42607867940.14072,8918293803.379883,56466343092.66375
Inde,4344253014.021533,21539214391.45512,1339065510007.3132,28209985339.038967,41689132748.171776,7616981076.439748,23326120777.653866,3845418586.7145243,11735442354.16947,7766733011.447879,3905890512.575045,3065953670.6210685,1127165579.7596555,1190999937.3645306,2783299651.121792,2206828559.822645
Union européenne,16883840862.178898,118158097071.57565,7363393835.389007,3193308817718.0854,74583548792.93831,29110350238.150593,48357726822.36409,30658802514.48025,120812810934.82214,32444767438.417336,26752512440.868156,7712426662.992252,9660980356.909086,8263597276.510057,11486127444.893948,11579388879.52151
Asie Pacifique,60410561463.135796,201814149236.68884,15353736038.950449,177519944361.10568,1442837692832.5327,32201261471.982853,36377388946.39776,36903883132.257195,66832924697.50757,121930516734.06989,23615974965.91674,38254284867.80806,8442157261.651013,8856314567.262712,35005122911.107735,15858249085.91676
Afrique,9890373081.732975,121346305110.12877,14234678712.669128,214467761188.7182,46358443486.51423,1088330118519.2855,12491400348.690666,3590876935.7690306,48950074860.15081,22332962599.33142,11799958686.997837,4248981544.3938704,13526406577.420008,4363097300.229554,4609651293.356519,8648537128.52076
Moyen-Orient,17077910026.492289,83334141545.98305,20326065953.201412,133607291903.07771,89198592304.2182,12762436005.193722,744803525747.951,4440103898.560401,40386420023.404655,103808960357.88017,7657875696.470531,8826325441.095692,7543129865.544617,3422066160.2103906,8448952024.21241,8513912246.93403
Russie,24481328303.638763,52631242565.35315,6031980862.575246,323937176568.2686,97506299354.9821,7245386264.038397,23398927642.838497,948489353437.1831,144604931456.69934,25154178234.061913,24679682070.274418,4303255475.152128,3824746321.0810347,2951254182.7517796,3439883390.9507923,4883573121.041193
Europe,6568597670.616171,50848250654.37509,3403327577.812474,152848837584.27496,29667476896.270252,8888098908.23476,20433103734.780937,51852406836.45856,1106233393752.577,11248674252.924522,7809513706.223491,2753171197.391868,2196162151.5765667,2579653809.958881,4010392023.380061,4139958824.977244
Japon,8638718136.766647,50690119784.34643,1332551476.1779163,20143081973.92911,58666038192.26369,1818048418.2592835,5847276879.529364,853129604.9695008,7085327217.727824,948932915736.1685,5810786307.159992,3703692412.552497,1280512570.5435545,1473021765.4217436,3364586249.9898276,2016715191.0424612
Amerique Latine et Caraïbes,6798177857.829881,118161079933.72232,1784054491.8972008,59610465928.7111,20026192384.65975,4801339091.064426,12277291096.48175,2572828905.288526,15959154332.13853,15196845428.283363,678267510955.2806,1798919849.3988714,33436524360.491127,6322795238.420216,1997097485.8051312,6336197986.905591
Indonésie,8741754706.041933,17509903725.335888,1582558887.7442436,11412740946.677687,37320989973.708755,1239263371.5052242,3539719052.1738806,785514678.4793316,4542167360.350005,22845923640.672546,1642515509.9461997,336014124880.365,567323495.9015526,593404654.3464499,6170338704.443544,995569021.4274775
Brésil,1050900828.6355665,9257612454.282433,287583586.849007,7675019171.255015,5392073104.730103,851633599.4684393,2336341666.627432,585366712.2702758,1916058916.4808269,2231095262.5802026,13968554564.110907,541394655.8550792,618335368753.4277,655451147.0348561,422648421.5863688,623492368.9316714
Mexique,595762125.3602606,52135406280.09798,265935672.24294975,4808073447.603438,2833174837.14387,374075787.0768013,850673626.5854279,172307603.3402623,1349055174.4175487,1747070185.0575206,8300199317.744036,268501669.56868744,1036551076.1739303,339423976925.3105,381053413.36503524,1617010337.2210615
Australie,9736279337.04965,19297794508.81805,5051513474.480481,15583339550.863476,48448580514.10427,2905887995.7866297,5047314552.891722,1345479001.779,6554777044.640528,28727777928.0278,2433994482.2482376,7688543275.838516,1270015193.1836274,933092915.4054397,324007498130.31976,2029364215.5897233
Canada,3385881396.598017,140758972313.2586,896554121.9544461,16143176082.453547,11516303551.320457,2395370608.878276,2991682996.3776717,908334803.0620184,5537817295.473669,8610093393.191393,5691742828.498103,953344324.7785697,1898881141.0239637,2833305278.1741867,1408615968.8339205,352789467131.0763
